qid,label_en,description_en,instance_of_uuid,instance_of,sex_uuid,sex,occupation_uuid,occupation,occupation_ref1_hash,occupation_ref1_referenceUrl,occupation_ref1_retrieved_nodeId,occupation_ref1_retrieved_val,occupation_ref1_retrieved_prec,birthdate_uuid,birthdate_nodeId,birthdate_val,birthdate_prec,birthdate_ref1_hash,birthdate_ref1_referenceUrl,birthdate_ref1_retrieved_nodeId,birthdate_ref1_retrieved_val,birthdate_ref1_retrieved_prec,birthplace_uuid,birthplace,birthplace_ref1_hash,birthplace_ref1_referenceUrl,birthplace_ref1_retrieved_nodeId,birthplace_ref1_retrieved_val,birthplace_ref1_retrieved_prec,deathdate_uuid,deathdate_nodeId,deathdate_val,deathdate_prec,deathdate_ref1_hash,deathdate_ref1_referenceUrl,deathdate_ref1_retrieved_nodeId,deathdate_ref1_retrieved_val,deathdate_ref1_retrieved_prec,deathplace_uuid,deathplace,deathplace_ref1_hash,deathplace_ref1_referenceUrl,deathplace_ref1_retrieved_nodeId,deathplace_ref1_retrieved_val,deathplace_ref1_retrieved_prec,works_in_collection_uuid,works_in_collection,works_in_collection_ref1_hash,works_in_collection_ref1_referenceUrl,works_in_collection_ref1_retrieved_nodeId,works_in_collection_ref1_retrieved_val,works_in_collection_ref1_retrieved_prec,citizenship_country_uuid,citizenship_country,citizenship_country_ref1_hash,citizenship_country_ref1_referenceUrl,citizenship_country_ref1_retrieved_nodeId,citizenship_country_ref1_retrieved_val,citizenship_country_ref1_retrieved_prec,ulan_uuid,ulan,ulan_ref1_hash,ulan_ref1_retrieved_nodeId,ulan_ref1_retrieved_val,ulan_ref1_retrieved_prec
Q105090025,Andrea Andriani,Italian printmaker,C1DCB851-C682-4D13-97D9-15CF6453487C,Q5,,,1CBF7844-5858-40C3-B062-5EA6E1908A4F,Q11569986,,,,,,308A3030-BDA9-44DC-9790-A0944B5EAD4A,2d8a22b7-cd3e-4205-adf1-487263e225e2,1584-00-00T00:00:00Z,9,,,,,,,,,,,,,2E4CE454-6DD9-42A0-ABB1-5C46B25261B0,15115bc7-fdac-4add-a8df-4a52de3f167c,1610-00-00T00:00:00Z,9,,,,,,,,,,,,,E1028F59-8AD2-4FDC-8EE0-CB5909FA81AF,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,29c923f1-0cd8-4e37-b83c-aa5b36cf196e,2021-01-27T00:00:00Z,11,9F2A3848-96C1-4627-824D-27E6DC1102FB,Q38,,,,,,,,,,,
Q105090027,Anton Wierix III,Flemish printmaker,5759F8EC-A5D5-4C3D-8DA2-882E75B1D971,Q5,A1714E47-7B9F-45C6-A5E6-6E0EFA61EF61,Q6581097,55999307-0D22-4001-BFE0-2151741A338C,Q11569986,,,,,,BB18C383-779C-4719-BF37-8AC3A0D38F9F,adc47319-4dcc-4561-b204-050be7b80115,1596-00-00T00:00:00Z,9,,,,,,,,,,,,,00AF960C-6393-4F3C-B3B4-7AECFE6F9CF9,e25b19a0-5b49-4050-bbb8-d5753094d656,1624-00-00T00:00:00Z,9,,,,,,,,,,,,,630910CB-22EA-4129-AF3B-DEC4B58D8827,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,c926ed9b-eca2-4f05-b54a-062d76b39246,2021-01-27T00:00:00Z,11,,,,,,,,,,,,,
Q105090031,Hinaya Ryuho,book artist,A62A4BD0-EAA8-4867-B5B1-58B6B885793F,Q5,6392C776-9421-4BDE-984B-9587E27534AD,Q6581097,66E12D6A-809E-4CC2-88EE-447AD60E7F1D,Q56884373,,,,,,22A7CF41-37CA-4870-BCB7-EFD9B987F6C7,7896d243-0930-4e49-8144-7f4b45032d71,1599-00-00T00:00:00Z,9,,,,,,2B0A3A07-5177-4EB2-8700-E79F2563B5B0,Q17,,,,,,CF2BC1BE-9835-4F03-80CB-5A1E16A30256,b2de3f26-083c-4a26-8694-87efcf177a5a,1669-00-00T00:00:00Z,9,,,,,,,,,,,,,294CB818-9DEC-45BE-AB36-F187D2BDFD42,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,b180a2f0-f348-45d0-8762-bcc903ef9b84,2021-01-27T00:00:00Z,11,,,,,,,,,,,,,
Q105090034,Tōteki Unkoku,painter,8C43E33B-3BFE-4099-94D8-1B0FE21B0EEF,Q5,,,BE8E1E37-C68F-4A0E-9F0F-B489317125E3,Q1028181,,,,,,4C33E03D-3B22-40BB-A0DE-E1E8F694B780,036c86aa-f4b0-4c48-bf4b-6e1be61da416,1606-00-00T00:00:00Z,9,,,,,,,,,,,,,6AB78422-D68F-4126-B9B4-A02A393A9919,940cf0c4-68cc-47a3-a7aa-c146e371f94f,1664-00-00T00:00:00Z,9,,,,,,,,,,,,,495200DF-CD43-4D31-8A95-B9B9186F15D4,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,de96f928-fd74-4d3f-8fd7-25eee30e4c4b,2021-01-27T00:00:00Z,11,,,,,,,,,,,,,
Q105090038,Jacques Prou,French printmaker,FCAE9F6C-A7B2-42CF-96EA-365170723D34,Q5,F32AAD66-A2AA-480D-A53A-E144E9E3F459,Q6581097,707C4BA7-E915-4C13-BFF9-8A3742B47E3C,Q11569986,,,,,,9E149F91-E162-4912-AC9A-1C91E8B9CD2F,9e6e2a33-a312-4ca5-b989-60480743f402,1620-00-00T00:00:00Z,9,,,,,,,,,,,,,2183D8E7-DC66-47F2-8616-0E0A6C68761A,ee8b5d66-ddbf-4312-a255-b57936f12bfe,1683-00-00T00:00:00Z,9,,,,,,,,,,,,,8598D363-0AD2-464B-8C57-AC1429E7AE35,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,16746be6-ce7d-41bb-9dd0-33dbfb391d48,2021-01-27T00:00:00Z,11,DE77F191-7941-439C-A30E-8F1FB0AE129B,Q142,,,,,,274C4252-82BA-436E-B3D9-2D37C79973E8,500124831,41fa5e38cea39b08b7ee3108d6e14b606c385cce,e4b75abb-382a-42a6-9dd7-76c69ce36f6e,2021-01-27T00:00:00Z,11
Q105090040,Shugaku Watanabe,painter,79774C9B-31E0-4024-B0E1-741D4B50A121,Q5,,,EE53F431-DF0B-49FE-9B14-F53E5F99B37D,Q1028181,,,,,,7615BD33-DC60-4EE9-A9EB-84F9A0B11B08,10451afa-54f0-48ce-91ae-14ec0c2c8a72,1644-00-00T00:00:00Z,9,,,,,,,,,,,,,E40D0CAF-A70C-4B6C-AE10-D2C296752A58,12f43e0c-035c-49d6-a9f5-7397544431ac,1734-00-00T00:00:00Z,9,,,,,,,,,,,,,F823EDA0-30E2-4722-9387-EF82F5880576,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,bef7bb5a-e4d4-4520-a40a-aa519b211191,2021-01-27T00:00:00Z,11,,,,,,,,,,,,,
Q105090044,Baisetsudo,book artist,441B1A77-91B2-47EF-BE91-324071C12D36,Q5,,,64E822A3-ABD7-4142-94DF-9566FE80482C,Q56884373,,,,,,6E51B856-8343-484C-BA30-5EA720F973B6,2521e6ef-0e3d-48e9-8e7c-1277d6d7e51f,1751-00-00T00:00:00Z,9,,,,,,,,,,,,,81073990-44DC-409B-9A66-102B8B3DD4F1,9e444f9a-d177-43aa-a4c6-35c37558298e,1764-00-00T00:00:00Z,9,,,,,,,,,,,,,2F1F90ED-411A-48CD-8D04-485E4FF3651D,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,4e1457ef-dc6e-4cf2-a729-4f9d92349257,2021-01-27T00:00:00Z,11,,,,,,,,,,,,,
Q105090047,Jacques Couche,printmaker,13797170-7B6F-4272-9B46-328CB9CAC3CC,Q5,136B91CE-0747-40A7-AD18-7C5C19571FD7,Q6581097,60ECEFFC-86EE-4AFA-9FB8-30A57BF09519,Q11569986,,,,,,41DA59D6-B6FB-4545-AE3F-83183BB561F0,7cec0f97-8d7a-4937-bf31-e1d66f2b6d9a,1759-00-00T00:00:00Z,9,,,,,,BEDE47D5-E8D6-45DB-A425-8D9A3A925013,Q28520,,,,,,,,,,,,,,,,,,,,,,E09236CF-DCBF-48AB-9404-18CE29FF791A,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,e01a32e8-88d7-4535-97f6-9ea19dca9faa,2021-01-27T00:00:00Z,11,,,,,,,,,,,,,
Q105090050,Lemercier,French printmaker,0825DCA1-16D0-494E-B0FE-C3B6DD6BD974,Q5,46692868-20E9-48E1-93EF-83832A615146,Q6581097,360EA0D4-A41F-460D-B0C9-54A50237F57B,Q11569986,,,,,,A7B54EE3-F36B-4442-9836-5FF1BB565310,47e1d2fb-4284-4ad5-b563-9c90df320a13,1770-00-00T00:00:00Z,9,,,,,,,,,,,,,6550A21B-D08E-40EC-8A50-CB8081E04675,0b0ed4c7-90ab-4e4d-af9e-35719fad88b0,1930-00-00T00:00:00Z,9,,,,,,,,,,,,,85D6C008-83A9-4270-836D-65A36BE7C241,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,c2cb3e28-4355-454a-a1c4-aca3ba4b1d33,2021-01-27T00:00:00Z,11,963374F2-2BC5-450E-B24E-5ED23FEAB2B8,Q142,,,,,,97A682FF-85DB-4551-86F0-AE0DB0427E3E,500050139,41fa5e38cea39b08b7ee3108d6e14b606c385cce,1a4f99a7-6f07-4498-8f9a-62db55e5944b,2021-01-27T00:00:00Z,11
Q105090053,Charles Clayton,British printmaker,E2C36C29-5281-4FBC-8817-23A9A6BE9FA5,Q5,8B3207A9-A752-43EF-88FF-F1B463749A73,Q6581097,0AF3B43F-C6BF-4DB7-B590-9CBAE90D214C,Q11569986,,,,,,5E0A6965-A129-4887-8032-1F88BAF70A8E,2ddabb75-ef6e-43e0-b191-b0312e7e60ff,1771-00-00T00:00:00Z,9,,,,,,,,,,,,,8A62BC63-5394-4F93-9490-F5C64C01169B,8488417c-67cb-4eec-af51-7ca22e4ad348,1930-00-00T00:00:00Z,9,,,,,,,,,,,,,3B8326FB-2E54-4FC0-96E2-4D9B3F9CDB79,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,214b7600-ac88-4e99-b7b1-a7857282ba04,2021-01-27T00:00:00Z,11,7E1A09BF-49E9-4B8F-BF25-C54043AABDFA,Q145,,,,,,539D3778-7ECD-4E68-B33F-9F4A03E9794C,500080867,41fa5e38cea39b08b7ee3108d6e14b606c385cce,e1acbc45-7026-4af0-852b-ed96fc90c2ef,2021-01-27T00:00:00Z,11
Q105090055,Friedrich August Schlegel,German artist,EC151B98-3C41-478C-996A-81B8D09D661B,Q5,C7AD1C77-6948-46CA-B445-5A44E1CBDF94,Q6581097,0497A404-64C5-4D67-AB25-86CC825AD6C1,Q1028181,,,,,,30438FCC-AFCA-416C-891D-4B4B69798E30,34334a67-b38b-44c9-adab-5faec9a57b8b,1828-00-00T00:00:00Z,9,,,,,,,,,,,,,03EE65A2-4707-40F8-AAA1-76FFDDA21ACB,87642c7f-1f19-499c-a9ca-ab9e2fb23f1d,1928-00-00T00:00:00Z,9,,,,,,,,,,,,,F5A73E1C-CF5C-4524-A27E-6FC72ED5964B,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,de9ceb98-9177-4c21-87ed-98425d4fda7c,2021-01-27T00:00:00Z,11,CA4A504D-549D-4487-AEBE-FA34455EBE0C,Q183,,,,,,A51CC7F1-06C5-4222-92B3-C3EAF5557E68,500091512,41fa5e38cea39b08b7ee3108d6e14b606c385cce,021156c8-009d-456f-94fc-f404c7932676,2021-01-27T00:00:00Z,11
Q105090057,Sugawara Hakuryu,painter,2F2A13D7-5E8D-42AF-92E2-A288BDA4C6E6,Q5,EFAF76D6-B799-4F98-812F-5C2ECB7224BB,Q6581097,4DA3B1B0-ADCF-442D-909E-42978085B456,Q1028181,,,,,,C7055041-29F1-45E5-B7AC-CC57FC12E816,22d2e8d7-f669-45c3-a4fa-c504a8cd92ce,1833-00-00T00:00:00Z,9,,,,,,FF7738E4-08A8-447E-AA0A-1DB53CD2D502,Q1192050,,,,,,8B6EA514-DBCF-4AE0-ACEC-BEAB09DE0912,5d4c0194-13c3-482b-aad3-cb761ff59a41,1898-00-00T00:00:00Z,9,,,,,,,,,,,,,EE20EFEF-900E-4933-9B42-C4610DB246A2,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,1ed65785-da7c-4bdf-bc69-164ed5aea875,2021-01-27T00:00:00Z,11,41A09566-FF83-452F-92BA-794189FD0CA4,Q17,,,,,,,,,,,
Q105090061,August M. Young,painter,A4874352-EB09-4D93-826F-F6E59999FC91,Q5,9C76C050-1752-4109-8CD8-A960AECD1986,Q6581097,16F1496A-EAEE-471A-A097-E2FC59597EA5,Q1028181,,,,,,4C09B058-8349-4A59-8A9C-0349181B13E2,218178e2-ca4f-4d0b-a850-425c4433bb84,1837-00-00T00:00:00Z,9,,,,,,,,,,,,,4BF5DF98-BDCC-479E-954C-8976B00FCC25,750673da-80a5-494a-b584-a080ef1ce6ea,1913-00-00T00:00:00Z,9,,,,,,,,,,,,,C1817737-6B53-4D08-B2F2-A34173C26F7B,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,b3714292-e6ab-4924-802e-3aaa4bda87c3,2021-01-27T00:00:00Z,11,,,,,,,,,,,,,
Q105090064,Jean-Baptiste-Clement Bourne,printmaker,DF914D1F-AD9A-4131-A810-DCE9F6DE4254,Q5,FF05BA9D-2C3F-4A84-A43D-16F6A6B8CA98,Q6581097,302A8C3B-7572-4425-9395-5EA68134B800,Q11569986,,,,,,321BF411-527E-45E4-B5B1-3A82670221A3,1dcb681a-8d73-4aa8-bedb-0f59e1c30847,1844-00-00T00:00:00Z,9,,,,,,,,,,,,,8B95753E-C684-4853-B834-3B54875EDE3F,c8603250-596f-4ad7-a07d-6c5bd54d63d9,1866-00-00T00:00:00Z,9,,,,,,,,,,,,,079565DD-6654-4D75-9A89-B2F63688E790,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,9b3e05b4-a7d7-4ecc-a66a-64e5600438c7,2021-01-27T00:00:00Z,11,,,,,,,,,,,,,
Q105090067,George Etta Brinkley Cohen,American artist and philanthropist,B050DCBD-7A28-4546-8B0C-EAC86E4A5E85,Q5,1A871823-7618-4E1A-B534-093970BB19ED,Q6581072,1DD7B140-3E20-41C1-987B-9BE318E52E99,Q7541856,,,,,,9008286D-C618-4307-AAB6-9EFE4B3C4BBE,0e3bad9b-c525-4556-bf6a-31bdc43536a9,1854-00-00T00:00:00Z,9,,,,,,947E8FE1-C106-4584-9BC6-EB58D7822720,Q23197,,,,,,2F0076EB-83F6-43EA-8738-3A584BE31725,c6b236de-72b9-42fa-aeed-ce726770758e,1930-00-00T00:00:00Z,9,,,,,,,,,,,,,EBA938C8-A3A9-485C-8557-4693CBEDE3C4,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,933f37b4-1180-4aba-90ac-bdbbb070f89a,2021-01-27T00:00:00Z,11,78BC5F31-9DD7-4880-BC4C-9B045D9E4CCD,Q30,,,,,,,,,,,
Q105090069,Chikuyôdô,printmaker,48C42AE4-8605-4DE7-AD80-F2C0E5103C75,Q5,,,2DE9FECE-3BD9-4717-AB5C-584529EC4A2B,Q11569986,,,,,,0B5CDA8C-F1C4-4B46-8747-E6FA713C8F29,aa5d3154-f914-4eb6-8255-6c4c35c98788,1860-00-00T00:00:00Z,9,,,,,,,,,,,,,9AEF5785-706C-4C78-BA75-8CE7F1171748,9aec297e-af3c-4608-857e-b745531b3282,1890-00-00T00:00:00Z,9,,,,,,,,,,,,,9D5B4789-8D27-4DD6-964C-F01E5FCB05D6,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,328379c2-53ec-4e73-b3ac-f133028259ad,2021-01-27T00:00:00Z,11,,,,,,,,,,,,,
Q105090073,Peggy Smith,"American painter, active 20th century",28F06897-2E46-48FE-91BA-7D78107624C3,Q5,6761C3BC-DE26-47AD-BC58-70F422B68623,Q6581072,4670D4C1-D759-43D4-A20F-4E5F75A00CD1,Q1028181,,,,,,109866FA-A384-4D67-B7AA-C859423BF284,6e355a47-b0e9-4e80-92f5-1d794acb26c8,1861-00-00T00:00:00Z,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D610B0B8-EC86-4176-AA33-E53C22747C96,Q18563658,2c81b8ff1a1ae0b563d902fbec07a3b2fa61b549,https://library.artstor.org/#/collection/100140247,5569875e-3b88-407b-b01c-d36b2bd2fdb8,2021-01-27T00:00:00Z,11,92025513-D72B-42E8-BF6C-61D8B50F9839,Q30,,,,,,59E921CE-EF15-43EF-97D2-64749B472FB0,500055676,41fa5e38cea39b08b7ee3108d6e14b606c385cce,7f02bb2e-5848-430a-b243-eea26037fe89,2021-01-27T00:00:00Z,11
