value,label,count
P31,instance of,1050
P106,occupation,967
P21,sex or gender,962
P569,date of birth,921
P214,VIAF ID,870
P735,given name,860
P7859,WorldCat Identities ID,846
P27,country of citizenship,841
P7763,copyright status as a creator,798
P213,ISNI,778
P244,Library of Congress authority ID,773
P245,Union List of Artist Names ID,771
P19,place of birth,765
P570,date of death,738
P6379,has works in the collection,720
P2163,FAST ID,711
P650,RKDartists ID,675
P4927,Invaluable.com person ID,658
P3782,Artnet artist ID,656
P227,GND ID,632
P646,Freebase ID,628
P2843,Benezit ID,598
P20,place of death,580
P734,family name,574
P373,Commons category,563
P269,IdRef ID,553
P268,Bibliothèque nationale de France ID,553
P5008,on focus list of Wikimedia project,531
P7704,Europeana entity,504
P2042,Artsy artist ID,478
P7848,Frick Art Reference Library Artist File ID,476
P1006,Nationale Thesaurus voor Auteurs ID,471
P3430,SNAC Ark ID,457
P18,image,454
P2252,National Gallery of Art artist ID,441
P8317,Philadelphia Museum of Art entity ID,429
P1412,"languages spoken, written or signed",426
P7902,Deutsche Biographie ID,418
P5597,Artcyclopedia artist ID,402
P1472,Commons Creator page,397
P4200,Christie's creator ID,392
P8406,Grove Art Online ID,373
P7444,Rijksmuseum Research Library authority ID,371
P1207,NUKAT ID,370
P69,educated at,365
P1711,British Museum person or institution ID,364
P2174,Museum of Modern Art artist ID,359
P6844,abART person ID,354
P648,Open Library ID,348
P3762,openMLOL author ID,346
P7293,PLWABN ID,336
P950,Biblioteca Nacional de España ID,331
P1343,described by source,327
P3603,Minneapolis Institute of Art constituent ID,314
P6295,ARTIC artist ID,302
P937,work location,298
P691,NKCR AUT ID,294
P5271,Saint Louis Art Museum person ID,294
P5489,artist-info artist ID,287
P4145,Athenaeum person ID,277
P6578,MutualArt artist ID,277
P1559,name in native language,268
P5273,Nelson-Atkins Museum of Art person ID,268
P1795,Smithsonian American Art Museum person/institution ID,265
P4432,AKL Online artist ID,255
P1417,Encyclopædia Britannica Online ID,253
P1315,NLA Trove ID,250
P1367,Art UK artist ID,249
P6275,copyright representative,249
P463,member of,244
P166,award received,243
P1988,Le Delarge ID,239
P1871,CERL Thesaurus ID,237
P4663,DACS ID,236
P5019,Brockhaus Enzyklopädie online ID,232
P135,movement,229
P8034,Vatican Library VcBA ID,228
P2041,National Gallery of Victoria artist ID,222
P3965,Bridgeman artist ID,222
P2342,AGORHA person/institution ID,212
P136,genre,212
P9049,dati.beniculturali.it agent ID,204
P949,National Library of Israel ID,203
P6002,WikiArt ID,203
P101,field of work,201
P1296,Gran Enciclopèdia Catalana ID,198
P3219,Encyclopædia Universalis ID,197
P1138,Kunstindeks Danmark Artist ID,196
P3222,NE.se ID,193
P349,National Diet Library ID,192
P800,notable work,189
P3901,ADAGP artist ID,189
P6714,Whitney Museum of American Art artist ID,186
P6804,Art Gallery of South Australia creator ID,185
P5368,National Gallery of Canada artist ID,183
P2741,Tate artist ID,181
P409,Libraries Australia ID,179
P1580,University of Barcelona authority ID,176
P3372,Auckland Art Gallery artist ID,176
P3544,Te Papa agent ID,168
P1005,Portuguese National Library ID,165
P2268,Musée d'Orsay artist ID,163
P1816,National Portrait Gallery (London) person ID,160
P4342,Store norske leksikon ID,158
P1066,student of,157
P4553,RA Collections ID,156
P1015,BIBSYS ID,154
P1017,Vatican Library ID (former scheme),152
