inventory_number,string
#2002.028,Jizhou ware with leaf decoration
#2002.029,Jizhou ware tea bowl
#2002.033,Dish with partridge feather mottles (Northern blackware of Jizhou type)
#2004.091,Vase with marbleized glaze pattern
#2008.164,A Drunken Peasant Pushed into a Pigsty
#2011.002,One of a pair of carved hawk figures with inlaid orange glass eyes with yellow inlay around eyes
#2011.003,One of a pair of carved hawk figures with inlaid orange glass eyes with yellow inlay around eyes
#1992.476,"Circular Mirror with a Design of a Fence, Flowers, and Two Butterflies"
#1992.499,Circular Eave Tile with an Impressed 16-Petalled Chrysanthemum
#1992.519,Kanzashi (Woman's Hair Ornament) with Multi-Color Pattern
#1992.520,Kanzashi (Woman's Hair Ornament) with Abstract Design
#1992.529,Kanzashi (Woman's Hair Ornament) With a Design
#1992.530,Kanzashi (Woman's Hair Ornament) with a Design of Scattered Flowers
#1992.531,Kanzashi (Woman's Hair Ornament) with a Design of Chrysanthemums and a Stream
#1992.532,Kanzashi (Woman's Hair Ornament) with Tips Capped in Gold Leaf
#1992.533,Kanzashi (Woman's Hair Ornament) with Crystal Tips
#1992.534,"Kanzashi (Woman's Hair Ornament) with a Design of Bamboo Grass, Chrysanthemums, and Cherry Blossoms"
#1992.535,Kanzashi (Woman's Hair Ornament) with a Design of Flowers
#1992.536,"Kanzashi (Woman's Hair Ornament) with a Design of a Bridge, Weeping Willow, and Two Bats"
#1992.537,Kanzashi (Woman's Hair Ornament) with a Green Glass Bead
#1995.033,Blue Meo tribal knife in sheath with ivory handle
#1995.034,Blue Meo tribal opium pipe
#1996.021,Untitled
#1997.004,Wine pouring vessel in the shape of a snail with dragon-shaped handle
#1997.152,Perfumer
#1999.035,Untitled
#1999.036,Untitled
#1999.037,Untitled
#1999.038,Untitled
#1999.039,Untitled
#1999.148,Doucai ware jardiniere
#1999.175,A River God
#1999.225,"Jade pheasant (one of a pair), with head leaning right"
#1999.226,"Jade pheasant (one of a pair), with head leaning left"
#1999.227,"Pi disc, with center hole carved in antique design style. The verso is carved with Dao designs."
#1999.249,Putting Our Heads Together
#1979.0989P,Bottle
#1979.0995P,Silver-plate candle stick (one of a pair)
#1979.0996P,Silver-plate candle stick (one of a pair)
#1979.1061P,Doll
#1979.1062P,Bells on a blue rope
#1979.1064P,Cup
#1979.1071P,George Peabody plate
#1979.1089P,Zori (Woven reed shoes for children)
#1979.1095P,Black kite
#1979.1105P,Tea cup
#1979.1106P,Tea cup
#1979.1107P,Tea cup
#1979.1108P,Tea cup
#1979.1109P,Tea cup
#1979.1112P,Jar (one of a pair)
#1979.1113P,Jar (one of a pair)
#1980.034,Standing Kuan Yin
#1980.039,"Head of a Maenad, (from an antefix)"
#1983.011,"Mr. and Mrs. Frank Logan Medal, for the Art Institute of Chicago"
#1985.062,Black ladle with geometric designs
#1986.044,"Gourd Shaped Vase with design of 2 figures viewing scroll in garden, and morning glories, patterned flowers, and lotus motif at base (Kutani ware)"
#1986.045,Covered jar with handles and a design of cranes on white ground with red and gold elsewhere (Kutani ware)
#1986.049,bianco sopra bianco bowl decorated with ducks and lotus
#1986.052,Charger with a design of landscape and figures (Kutani ware)
#1986.053,Charger with a brocade pattern and lotus forms with old men talking (Kutani ware)
#1986.054,Bowl with blue and white transfer ware design
#1986.055,Plate with a flower and bird design (Satsuma ware)
#1986.056,"Bowl with white, orange, and purple chrysanthemums behind bamboo sleeve fences in a garden with a butterfly (Kinkozan ware)"
#1986.064,Plate with a design of a crane (Ko-Kutani ware)
#1986.066,Hand mirror with a lotus design on back
#1988.133,Jadeite pi (bi) ring with a dragon relief
#1988.136,Jade hairpin with a fish design
#1988.137,Jade hairpin with a plant design
#1988.138,Jade gourd
#1991.016,Carved white jade disc or pendant with a rosewood stand
#1992.025,Menuki (Sword Hilt Ornament) with a Design of a Flying Bat and a Crescent Moon
#1992.026,Menuki (Sword Hilt Ornament) with a Design of a Tripod Holding Sacred Fungus
#1992.027,Menuki (Sword Hilt Ornament) with a Design of Emperor and Empress Dolls for the Girls' Doll Festival
#1992.028,Menuki (Sword Hilt Ornament) with a Design of a Chinese Lion-Dog
#1992.029,Menuki (Sword Hilt Ornament) with a Design of Two Seated Demons
#1992.030,"Menuki (Sword Hilt Ornament) with a Design of a Fisherman in a Boat, Holding a Dip Net"
#1992.031,Menuki (Sword Hilt Ornament) with a Design of Two Swallows in Flight
#1992.032,Menuki (Sword Hilt Ornament) with a Design of a Pair of Flying Cranes
#1992.033,Menuki (Sword Hilt Ornament) with a Design of a Rabbit Dressed as a Warrior
#1992.034,Menuki (Sword Hilt Ornament) with a Design of a Rat with a Branch of Fruit
#1992.035,Menuki (Sword Hilt Ornament) with a Design of a Blowfish and a Giant Radish
#1992.036,Menuki (Sword Hilt Ornament) with a Design of a Puppy with a Hoe
#1992.037,Menuki (Sword Hilt Ornament) with a Design of Ebisu (One of the Seven Lucky Gods)
