qid,label_en,exhibited_creator_uuid,exhibited_creator,exhibited_creator_ref1_hash,exhibited_creator_ref1_referenceUrl,exhibited_creator_ref1_retrieved_nodeId,exhibited_creator_ref1_retrieved_val,exhibited_creator_ref1_retrieved_prec
Q109133749,"Sympathetic Magic: Works of Faith, Healing and Transformation",ab3d2367-4a23-4a9d-ca48-eb7d8848fa15,Q5577,82b41fac8f6a4f4554f490398430ab4026a98088,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/resurrection/,a4c417a758abacdda55816de8da96ef9,2022-04-21T00:00:00Z,11
Q109133749,"Sympathetic Magic: Works of Faith, Healing and Transformation",c9c81154-436d-0fb9-42f3-4175efb18788,Q97607711,b69dfd1a0c2c24185ccce43b903bd191f988ae74,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/crib/,a4c417a758abacdda55816de8da96ef9,2022-04-21T00:00:00Z,11
Q109133749,"Sympathetic Magic: Works of Faith, Healing and Transformation",97301b98-47b2-ab09-8ca0-0ad527b7ebd8,Q5603,e462be6da6099cedd59875d1c5b3bf5221ec1338,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/madonna-and-child/,a4c417a758abacdda55816de8da96ef9,2022-04-21T00:00:00Z,11
Q114336917,Then & Now: Five Centuries of Woodcuts,5f723c2c-4805-e354-2a7b-3c50a7b88cfb,Q191748,a0a77ce29f97493ed009d2d9ae88c5f0ca8c90a9,https://newsonline.library.vanderbilt.edu/2019/01/then-now/,6c2c70bd907c7791502b19363b88dc50,2022-10-03T00:00:00Z,11
Q114336917,Then & Now: Five Centuries of Woodcuts,f5934066-4e7b-9d0f-2983-a40b46bc4bb7,Q153746,27f2aab153af975abb4a847c2841a803546e95d3,,6c2c70bd907c7791502b19363b88dc50,2022-10-03T00:00:00Z,11
Q114336917,Then & Now: Five Centuries of Woodcuts,34ad065d-4a0c-d706-a9be-60b7f1b1dba6,Q1967967,27f2aab153af975abb4a847c2841a803546e95d3,,6c2c70bd907c7791502b19363b88dc50,2022-10-03T00:00:00Z,11
Q114336917,Then & Now: Five Centuries of Woodcuts,f58c242f-4f8e-9eb5-30a5-e4ed64cda9a1,Q94296230,a0a77ce29f97493ed009d2d9ae88c5f0ca8c90a9,https://newsonline.library.vanderbilt.edu/2019/01/then-now/,6c2c70bd907c7791502b19363b88dc50,2022-10-03T00:00:00Z,11
Q114336917,Then & Now: Five Centuries of Woodcuts,ecf83a65-47a3-26f4-d4cb-c3a45d86e5a4,Q2605345,a0a77ce29f97493ed009d2d9ae88c5f0ca8c90a9,https://newsonline.library.vanderbilt.edu/2019/01/then-now/,6c2c70bd907c7791502b19363b88dc50,2022-10-03T00:00:00Z,11
Q114336917,Then & Now: Five Centuries of Woodcuts,bb1a600c-46bf-e689-ae53-fac759da6f3a,Q262771,9adb5aa15fd86155afa11dcd846435cda89ea4d0,https://newsonline.library.vanderbilt.edu/2019/01/then-now/,,,
Q114336917,Then & Now: Five Centuries of Woodcuts,ac7ed502-482b-ac28-5d22-0879c97611ca,Q5580,9adb5aa15fd86155afa11dcd846435cda89ea4d0,https://newsonline.library.vanderbilt.edu/2019/01/then-now/,,,
Q114336917,Then & Now: Five Centuries of Woodcuts,722b6dfe-42a7-aa84-bfed-59165db28a3d,Q164696,,,,,
Q114336917,Then & Now: Five Centuries of Woodcuts,b36aaad7-4582-076e-71ac-2ad82332993e,Q3620374,9adb5aa15fd86155afa11dcd846435cda89ea4d0,https://newsonline.library.vanderbilt.edu/2019/01/then-now/,,,
Q114336917,Then & Now: Five Centuries of Woodcuts,f5ed78f7-4cfd-2fdc-4230-0fcfcee8d7b4,Q1976706,9adb5aa15fd86155afa11dcd846435cda89ea4d0,https://newsonline.library.vanderbilt.edu/2019/01/then-now/,,,
