ssid,filename,title,creator_string,date,classification,medium,measurements,style_period,country_culture,seals_inscriptions,signature,description,publications,exhibitions,accession_number,date_acquired,gift_of,purchased_from,credit_line,provenance,collection,last_change,notes,rights,media_url
28884744,2020.005.tif,G2 Cover 11.06.2020,"Himid, Lubaina",2020,Prints,print on Hahnemühle Photorag Fine Art paper,12 x 10 in. ,,United Kingdom,,,,,,2020.005,2020,,The Guardian Print Shop (Gallery Purchase),Collection of Vanderbilt University Fine Arts Gallery,,,,,IN COPYRIGHT,https://forum.jstor.org/assets/28884744/representation-view
28884738,,Portrait of Julián Trujillo Largacha,"Mendoza, Pantaléon",late 19th century CE,Paintings,oil on canvas,,,Colombia,,,,,,2020.003,,"Lisa Carr in honor of her father, Albert Trujillo",,Collection of Vanderbilt University Fine Arts Gallery,Descended through donor's father's family. ,,,,NO KNOWN COPYRIGHT,
28884737,2020.004.jpg,Manhattan Skyline,"Gallagher, Sears (American painter, illustrator, and graphic artist, 1869-1955)",,,etching,12.25 x 9 in. ,,United States,,"Signed by artist, lower left corner.",,,,2020.004,2020,,"Wiscasset Bay Gallery (Gallery purchase with funds from the Andrew W. Mellon Chair in the Humanities, Vanderbilt University)",,,Collection of Vanderbilt University Fine Arts Gallery,,,COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/28884737/representation-view
28589522,2020-002.jpg,Relics,"Woodruff, Hale Aspacio (American painter, 1900-1980)",1935 CE,Graphic Arts,linocuts (prints), 9 x 11.25 in,,United States,"""""Relics"" - Artists Proof - Hale Woodruff 1935 / To Dr. and Mrs. J. Newton Hill, from Ted and Hale Woodruff""",Hale Woodruff,,,,2020.002,2020,,Purchased with Jack May Print Fund,Collection of Vanderbilt University Fine Arts Gallery,,,,,COPYRIGHT UNDETERMINED,https://forum.jstor.org/assets/28589522/representation-view
28262628,2020-001.tif,"The Chimneys, Portsmouth","Hassam, Childe (American painter and printmaker, 1859-1935)",1915 CE,Printmaking,etching,,,United States,,,,,,2020.001,2020,"Andrew W. Mellon Chair in the Humanities, Vanderbilt University",,Collection of Vanderbilt University Fine Arts Gallery,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/28262628/representation-view
28245987,2019-001.tif,The Woolworth through the Arch,"Pennell, Joseph (American printmaker, illustrator, and author, ca. 1860-1926)",ca. 1921 CE,Printmaking,etching on antique paper,9.75 x 6.75 in. ,,United States,,,,,,2019.001,2019,,The Old Print Shop (Purchased with funds from the ,,,,,,COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/28245987/representation-view
26760322,2017.001.021.tif,Ninth Hour,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",,Graphic Arts-Printmaking,Wood engraving,5.75 x 3 in. ,,United States,Ninth Hour,Fritz Eichenberg,,,,2017.001.021,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #781",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760322/representation-view
26760323,2017.001.022.tif,The Steps,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",,Graphic Arts-Printmaking,Wood engraving,6.25 x 5 in. ,,United States,C,Fritz Eichenberg,,,,2017.001.022,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #788",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760323/representation-view
26760324,2017.001.023.tif,Gulliver's Travels: Beating a Horse,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1922 CE,Graphic Arts-Printmaking,Lithograph,4.75 x 2 in. ,,United States,,Fritz Eichenberg,,,,2017.001.023,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #767",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760324/representation-view
26760325,2017.001.024.tif,Gulliver's Travels: Walking a Tight Rope,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1922 CE,Graphic Arts-Printmaking,Lithograph,4.75 x 3 in. ,,United States,,Fritz Eichenberg,,,,2017.001.024,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #797",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760325/representation-view
26760326,2017.001.025.jpg,Circus Musicians (State 1),"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1925 CE,Graphic Arts-Printmaking,Etching,5.25 x 3 in. ,,United States,,,,,,2017.001.025,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #723",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760326/representation-view
26760327,2017.001.026.jpg,Circus Scenes - High Wire Act,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1925 CE,Graphic Arts-Printmaking,Etching,5.25 x 3 in. ,,United States,,,,,,2017.001.026,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #761",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760327/representation-view
26760328,2017.001.027.tif,Lumber Yard,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1930 CE,Graphic Arts-Printmaking,Wood engraving,10.25 x 8 in. ,,United States,Lumber Yard,Fritz Eichenberg,,,,2017.001.027,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #777",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760328/representation-view
26760329,2017.001.028.jpg,Comrades in Arms,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1933 CE,Graphic Arts-Printmaking,Etching,9.75 x 8 in. ,,United States,,,,,,2017.001.028,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #571",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760329/representation-view
26760330,2017.001.029.tif,"Her Son, #1","Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)",1933 CE,Graphic Arts-Printmaking,Etching,9.75 x 7 in. ,,United States,,Fritz Eichenberg,,,,2017.001.029,2017,"Walter F. Schatz and Mary Pullig Schatz, MD",,Collection of Vanderbilt University Fine Arts Gallery,,,Wed Jun 20 00:00:00 EDT 2018,"Gift acquisition paperwork in file for 2017.001.001
Schatz record #770",COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26760330/representation-view
