accession,has_image
1956.001,yes
1956.003,yes
1956.026,yes
1956.027,yes
1956.028,yes
1956.029,yes
1956.032,yes
1956.034,yes
1956.035,yes
1956.036,yes
1956.037,yes
1956.038,yes
1956.042,yes
1956.043,yes
1956.049,yes
1956.051,yes
1956.054,yes
1956.056,yes
1956.002,yes
1956.004,yes
1956.005,yes
1956.006,yes
1956.007,yes
1956.008,yes
1956.009,yes
1956.010,yes
1956.011,yes
1956.012,yes
1956.013,yes
1956.014,yes
1956.015,yes
1956.016,yes
1956.017,yes
1956.018,yes
1956.019,yes
1956.020,yes
1956.021,yes
1956.022,yes
1956.023,yes
1956.024,yes
1956.025,yes
1956.030,yes
1956.031,yes
1956.039,yes
1956.041,yes
1956.044,yes
1956.045,yes
1956.046,yes
1956.047,yes
1956.048,yes
1956.050,yes
1956.052,yes
1956.053,yes
1956.057,yes
1956.058,yes
1956.059,yes
1957.001,yes
1957.007,yes
1957.038,yes
1957.040,yes
1957.041,yes
1957.002,yes
1957.003,yes
1957.005,yes
1957.008,yes
1957.004,yes
1957.009,yes
1957.010,yes
1957.012,yes
1957.014,yes
1957.016,yes
1957.017,yes
1957.018,yes
1957.019,yes
1957.020,yes
1957.021,yes
1957.022,yes
1957.023,yes
1957.024,yes
1957.025,yes
1957.026,yes
1957.027,yes
1957.028,yes
1957.029,yes
1957.030,yes
1957.031,yes
1957.032,yes
1957.033,yes
1957.034,yes
1957.035,yes
1957.039,yes
1957.042,yes
1957.043,yes
1957.044,yes
1957.046,yes
1964.001,yes
1964.002,yes
1964.003,yes
1964.004,yes
1964.005,yes
1964.006,yes
1964.007,yes
1964.008,yes
1964.009,yes
1964.010,yes
1964.011,yes
1964.012,yes
1964.013,yes
1964.014,yes
1964.015,yes
1964.016,yes
1964.017,yes
1964.018,yes
1964.019,yes
1964.020,yes
1965.004,yes
1965.007,yes
1965.008,yes
1965.009,yes
1965.011,yes
1965.012,yes
1965.014,yes
1965.013,yes
1965.018,yes
1965.019,yes
1965.020,yes
1965.022,yes
1965.023,yes
1965.026,yes
1965.025,yes
1965.027,yes
1965.029,yes
1965.030,yes
1965.033,yes
1965.038,yes
1965.039,yes
1965.001,yes
1965.002,yes
1965.003,yes
1965.005,yes
1965.006,yes
1965.015,yes
1965.016,yes
1965.017,yes
1965.021,yes
1965.031,yes
1965.034,yes
1966.004,yes
1966.001,yes
1966.003,yes
1966.005,yes
1966.007,yes
1966.006,yes
1966.008,yes
1966.009,yes
1966.010,yes
1966.011,yes
1966.014,yes
1966.022,yes
1967.001,yes
1967.002a,yes
1967.002b,yes
1967.002e,yes
1967.002d,yes
1967.002c,yes
1967.002f,yes
1967.002g,yes
1967.002h,yes
1967.002i,yes
1967.002j,yes
1967.002k,yes
1967.002l,yes
1967.002m,yes
1967.002n,yes
1967.003,yes
1968.001,yes
1968.002,yes
1968.003,yes
1968.005,yes
1968.006,yes
1968.009,yes
1968.010,yes
1968.012,yes
1969.004,yes
1969.011,yes
1969.019,yes
1969.040,yes
1969.041,yes
1969.042,yes
1969.043,yes
1969.044,yes
1969.045,yes
1969.046,yes
1969.047,yes
1969.048,yes
1969.049,yes
1969.050,yes
1969.051,yes
1969.052,yes
1969.053,yes
1969.055,yes
1969.056,yes
1969.057,yes
1969.058,yes
1969.059,yes
1969.060,yes
1969.061,yes
1969.062,yes
1969.063,yes
1969.064,yes
1969.065,yes
1969.066,yes
1969.068,yes
1969.070,yes
1969.073,yes
1969.003,yes
1969.005,yes
1969.007,yes
