local_filename,qid_x,local_identifier_x,rank_x,label,notes_x,kilobytes,height,width,photo_inception,subdir,extension,qid_y,commons_id,local_identifier_y,label_en,directory,rank_y,image_name,iiif_manifest,notes_y
,,,,,,,,,,,,Q65080716,M81681029,1956.032,The Entombment,,,"Lucas Cranach the Elder, The Entombment, in or before 1509, NGA 37023.jpg",https://www.nga.gov/api/v1/iiif/presentation/manifest.json?cultObj:id=37023,Merged from Q103309678. Can't figure out why it isn't getting picked up by Listeria - only getting old version.
,,,,,,,,,,,,Q76552832,M81854064,1965.002,Zacharie Astruc,,,"Félix Bracquemond, Zacharie Astruc, 1865, NGA 151064.jpg",https://www.nga.gov/api/v1/iiif/presentation/manifest.json?cultObj:id=151064,The image is not identical to the one in our collection. Merged from Q103310115.
,,,,,,,,,,,,Q80566046,M85506789,1979.0659P,Madonna and Child with Apollonia and Another Female Saint,,,Gerolamo Giovenone - Madonna and Child with Saint Apollonia and one other saint.jpg,,
,,,,,,,,,,,,Q90716090,M31171961,,Emily Thorn Vanderbilt Sloane,,,Emily Thorn Vanderbilt Sloane White.jpg,,
,,,,,,,,,,,,Q94002062,M18081868,2002.014,Marine Landscape,,,Paul-Jean Clays - Paysage marin.jpg,,
,,,,,,,,,,,,Q94702774,M6649731,1979.0648P,A Baptismal Ceremony,,,Amico Aspertini.1474–1552A Baptismal Ceremony Cress Collection.jpg,,
1956-001.tif,Q102961253,1956.001,primary,,,73531,2611,4805,2020-07-23,1956,tif,Q102961253,M122562148,1956.001,A group of muffs and other articles of dress on a table,1956,primary,A group of muffs and other articles of dress on a table - Vanderbilt Fine Arts Gallery - 1956-001.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.001.json,
1956-003.tif,Q103297456,1956.003,primary,,,47806,3600,2265,2020-08-18,1956,tif,Q103297456,M122641532,1956.003,Bishop Hacket,1956,primary,Bishop Hacket - Vanderbilt Fine Arts Gallery - 1956-003.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.003.json,
1956-026.tif,Q103310082,1956.026,primary,,,11861,1702,1188,2020-07-23,1956,tif,Q103310082,M122695549,1956.026,The Resurrection,1956,primary,The Resurrection - Vanderbilt Fine Arts Gallery - 1956-026.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.026.json,
1956-027.tif,Q103308843,1956.027,primary,,,126728,5651,3826,2020-07-23,1956,tif,Q103308843,M124763336,1956.027,St. Martin and the Beggar,1956,primary,St. Martin and the Beggar - Vanderbilt Fine Arts Gallery - 1956-027.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.027.json,
1956-028.tif,Q102974499,1956.028,primary,,,111022,5078,3730,2020-07-23,1956,tif,Q102974499,M124775301,1956.028,The Lamentation of Christ,1956,primary,The Lamentation of Christ - Vanderbilt Fine Arts Gallery - 1956-028.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.028.json,
1956-029.tif,Q103306456,1956.029,primary,,,5679,1124,861,2020-07-23,1956,tif,Q103306456,M122676750,1956.029,Peasant Woman with a Goose,1956,primary,Peasant Woman with a Goose - Vanderbilt Fine Arts Gallery - 1956-029.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.029.json,
1956-032.tif,Q65080716,1956.032,primary,,,144511,5993,4114,2020-07-23,1956,tif,,,,,,,,,
1956-034.tif,Q102974492,1956.034,primary,,,398437,9682,7022,2020-07-23,1956,tif,Q102974492,M124774515,1956.034,The Lamentation of Christ,1956,primary,The Lamentation of Christ - Vanderbilt Fine Arts Gallery - 1956-034.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.034.json,
1956-035.tif,Q103299222,1956.035,primary,,,13261,1800,1256,2020-07-23,1956,tif,Q103299222,M122650253,1956.035,Dialectica,1956,primary,Dialectica - Vanderbilt Fine Arts Gallery - 1956-035.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.035.json,
1956-036.tif,Q102970016,1956.036,primary,,,159174,6189,4388,2020-07-23,1956,tif,Q102970016,M124762379,1956.036,Presentation of Jesus in the Temple,1956,primary,Presentation of Jesus in the Temple - Vanderbilt Fine Arts Gallery - 1956-036.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.036.json,
1956-037.tif,Q102974686,1956.037,primary,,,28819,1898,2590,2020-07-21,1956,tif,Q102974686,M122611990,1956.037,The Pilgrim,1956,primary,The Pilgrim - Vanderbilt Fine Arts Gallery - 1956-037.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.037.json,
1956-038.tif,Q102974550,1956.038,primary,,,89247,3438,4429,2020-07-21,1956,tif,Q102974550,M122611941,1956.038,The Man Between the Two Pines,1956,primary,The Man Between the Two Pines - Vanderbilt Fine Arts Gallery - 1956-038.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.038.json,
1956-042.tif,Q106577455,1956.042,primary,,,36150,2219,2779,2020-08-17,1956,tif,Q106577455,M122709062,1956.042,"The Virgin, Christ Child, and St. John",1956,primary,"The Virgin, Christ Child, and St. John - Vanderbilt Fine Arts Gallery - 1956-042.tif",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.042.json,
1956-043.tif,Q105092167,1956.043,primary,,,82796,4266,3311,2020-08-18,1956,tif,Q105092167,M122707118,1956.043,The Christian Hero,1956,primary,The Christian Hero - Vanderbilt Fine Arts Gallery - 1956-043.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.043.json,
1956-049.tif,Q103296578,1956.049,primary,,,45147,3351,2298,2020-08-18,1956,tif,Q103296578,M122617371,1956.049,A Sybil,1956,primary,A Sybil - Vanderbilt Fine Arts Gallery - 1956-049.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.049.json,
1956-051.tif,Q102961312,1956.051,primary,,,6413,1256,870,2020-08-17,1956,tif,Q102961312,M122562771,1956.051,A Philosopher,1956,primary,A Philosopher - Vanderbilt Fine Arts Gallery - 1956-051.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.051.json,
1956-054.tif,Q102973210,1956.054,primary,,,10596,1887,957,2020-08-17,1956,tif,Q102973210,M122608740,1956.054,St. Andrew,1956,primary,St. Andrew - Vanderbilt Fine Arts Gallery - 1956-054.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.054.json,
1956-056.tif,Q103308802,1956.056,primary,,,246309,7571,5551,2020-07-23,1956,tif,Q103308802,M124762889,1956.056,St. Jerome Hearing the Trumpet of the Last Judgement,1956,primary,St. Jerome Hearing the Trumpet of the Last Judgement - Vanderbilt Fine Arts Gallery - 1956-056.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.056.json,
1956.001.jpg,Q102961253,1956.001,suppress,,,39,274,472,2010-02-22,1956,jpg,,,,,,,,,
1956.002.jpg,Q103296446,1956.002,suppress,,,81,581,432,2010-02-22,1956,jpg,,,,,,,,,
1956.002.tif,Q103296446,1956.002,primary,,,86058,4471,3284,2012-10-17,1956,tif,Q103296446,M122617251,1956.002,A Flower Piece (after Jan van Huysum),1956,primary,A Flower Piece (after Jan van Huysum) - Vanderbilt Fine Arts Gallery - 1956.002.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.002.json,
1956.003.jpg,Q103297456,1956.003,suppress,,,146,746,472,2010-02-22,1956,jpg,,,,,,,,,
1956.004.jpg,Q103310070,1956.004,primary,,,122,696,452,2010-02-22,1956,jpg,Q103310070,M122695514,1956.004,The Raising of Lazarus (after Leandro Bassano),1956,primary,The Raising of Lazarus (after Leandro Bassano) - Vanderbilt Fine Arts Gallery - 1956.004.jpg,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.004.json,
1956.005.jpg,Q103301130,1956.005,,,,45,448,267,2010-02-22,1956,jpg,,,,,,,,,
1956.005.zip,Q103301130,1956.005,,,,658376,0,0,2018-12-12,1956,zip,,,,,,,,,
1956.006.jpg,Q102974173,1956.006,primary,,,58,365,436,2010-02-22,1956,jpg,Q102974173,M122611522,1956.006,The Farmhouse by the Water,1956,primary,The Farmhouse by the Water - Vanderbilt Fine Arts Gallery - 1956.006.jpg,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.006.json,
1956.007.jpg,Q103306172,1956.007,suppress,,,112,591,451,2010-02-22,1956,jpg,,,,,,,,,
1956.007.med.jpg,Q103306172,1956.007,suppress,,,1539,1200,913,2010-02-07,1956,jpg,,,,,,,,,
1956.007.tif,Q103306172,1956.007,primary,,,33728,3888,2958,2010-02-03,1956,tif,Q103306172,M122676580,1956.007,Ornament designs,1956,primary,Ornament designs - Vanderbilt Fine Arts Gallery - 1956.007.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.007.json,
1956.008.jpg,Q102962018,1956.008,primary,,,34,461,295,2010-02-22,1956,jpg,Q102962018,M122564608,1956.008,"Beggar Woman with a Bowl, from Les Gueux (The Beggars), a series of 25 etchings",1956,primary,"Beggar Woman with a Bowl, from Les Gueux (The Beggars), a series of 25 etchings - Vanderbilt Fine Arts Gallery - 1956.008.jpg",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.008.json,
1956.009.jpg,Q103298861,1956.009,primary,,,29,407,272,2010-02-22,1956,jpg,Q103298861,M122649995,1956.009,"Corpulent Beggar with Empty Cap, plate 21, from Les Gueux (The Beggars), a series of 25 etchings",1956,primary,"Corpulent Beggar with Empty Cap, plate 21, from Les Gueux (The Beggars), a series of 25 etchings - Vanderbilt Fine Arts Gallery - 1956.009.jpg",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.009.json,
1956.010.jpg,Q102962009,1956.010,primary,,,78,737,479,2010-02-22,1956,jpg,Q102962009,M122564601,1956.010,"Beggar with Dog, from Les Gueux (The Beggars), a series of 25 etchings",1956,primary,"Beggar with Dog, from Les Gueux (The Beggars), a series of 25 etchings - Vanderbilt Fine Arts Gallery - 1956.010.jpg",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.010.json,
1956.011.jpg,Q102962014,1956.011,primary,,,32,435,287,2010-02-22,1956,jpg,Q102962014,M122564604,1956.011,"Beggar Woman Holding Coins, from Les Gueux (The Beggars), a series of 25 etchings",1956,primary,"Beggar Woman Holding Coins, from Les Gueux (The Beggars), a series of 25 etchings - Vanderbilt Fine Arts Gallery - 1956.011.jpg",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.011.json,
1956.012-1956.015.med.jpg,,x1956.012-1956.015,,,composite of four works,979,975,1200,2010-02-07,1956,jpg,,,,,,,,,
1956.012.jpg,Q106577405,1956.012,suppress,,,270,377,500,2010-02-21,1956,jpg,,,,,,,,,
1956.012.tif,Q106577405,1956.012,primary,,,2325,768,1019,2010-02-10,1956,tif,Q106577405,M122708925,1956.012,Pax,1956,primary,Pax - Vanderbilt Fine Arts Gallery - 1956.012.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.012.json,
1956.013.jpg,Q102961468,1956.013,suppress,,,264,373,500,2010-02-21,1956,jpg,,,,,,,,,
1956.013.tif,Q102961468,1956.013,primary,,,2607,810,1085,2010-02-10,1956,tif,Q102961468,M122562963,1956.013,Abondantia,1956,primary,Abondantia - Vanderbilt Fine Arts Gallery - 1956.013.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.013.json,
1956.014.jpg,Q102962048,1956.014,suppress,,,261,370,500,2010-02-21,1956,jpg,,,,,,,,,
1956.014.tif,Q102962048,1956.014,primary,,,2443,780,1055,2010-02-10,1956,tif,Q102962048,M122564613,1956.014,Bellum,1956,primary,Bellum - Vanderbilt Fine Arts Gallery - 1956.014.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.014.json,
1956.015.jpg,Q102964894,1956.015,suppress,,,266,374,500,2010-02-21,1956,jpg,,,,,,,,,
1956.015.tif,Q102964894,1956.015,primary,,,2416,780,1043,2010-02-10,1956,tif,Q102964894,M122586492,1956.015,Fames,1956,primary,Fames - Vanderbilt Fine Arts Gallery - 1956.015.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.015.json,
1956.016.jpg,Q102974065,1956.016,suppress,,,38,320,442,2010-02-22,1956,jpg,,,,,,,,,
1956.016.med.jpg,Q102974065,1956.016,suppress,,,1330,810,1200,2010-02-07,1956,jpg,,,,,,,,,
1956.016.tif,Q102974065,1956.016,primary,,,12482,1696,2512,2010-02-02,1956,tif,Q102974065,M122611401,1956.016,The Boathouse,1956,primary,The Boathouse - Vanderbilt Fine Arts Gallery - 1956.016.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.016.json,
1956.017.jpg,Q105095755,1956.017,primary,,,44,327,484,2010-02-22,1956,jpg,Q105095755,M122707264,1956.017,"Fishermen Drawing in their Nets (after Giulio Romano, 1499-1546)",1956,primary,"Fishermen Drawing in their Nets (after Giulio Romano, 1499-1546) - Vanderbilt Fine Arts Gallery - 1956.017.jpg",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.017.json,
1956.018.jpg,Q103307108,1956.018,suppress,,,42,679,487,2010-02-22,1956,jpg,,,,,,,,,
1956.018.med.jpg,Q103307108,1956.018,suppress,,,1179,1200,837,2010-02-07,1956,jpg,,,,,,,,,
1956.018.tif,Q103307108,1956.018,primary,,,32833,4006,2795,2010-02-03,1956,tif,Q103307108,M122685310,1956.018,Portrait of Nicolas Fouquet,1956,primary,Portrait of Nicolas Fouquet - Vanderbilt Fine Arts Gallery - 1956.018.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.018.json,
1956.019.jpg,Q103301821,1956.019,suppress,,,80,542,436,2010-02-22,1956,jpg,,,,,,,,,
1956.019.med.jpg,Q103301821,1956.019,suppress,,,1427,1200,968,2010-02-07,1956,jpg,,,,,,,,,
1956.019.tif,Q103301821,1956.019,primary,,,31178,3631,2928,2010-02-03,1956,tif,Q103301821,M122660683,1956.019,Jean-Pierre Camus,1956,primary,Jean-Pierre Camus - Vanderbilt Fine Arts Gallery - 1956.019.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.019.json,
1956.020.jpg,Q103300064,1956.020,suppress,,,73,661,464,2010-02-22,1956,jpg,,,,,,,,,
1956.020.med.jpg,Q103300064,1956.020,suppress,,,1205,1200,849,2010-02-07,1956,jpg,,,,,,,,,
1956.020.tif,Q103300064,1956.020,primary,,,18421,2981,2109,2010-02-02,1956,tif,Q103300064,M122651847,1956.020,Fontaines Chinois (Chinese Fountain),1956,primary,Fontaines Chinois (Chinese Fountain) - Vanderbilt Fine Arts Gallery - 1956.020.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.020.json,
1956.021.jpg,Q103308282,1956.021,suppress,,,74,624,499,2010-02-22,1956,jpg,,,,,,,,,
1956.021.med.jpg,Q103308282,1956.021,suppress,,,1332,1200,973,2010-02-07,1956,jpg,,,,,,,,,
1956.021.tif,Q103308282,1956.021,primary,,,22461,3075,2493,2010-02-02,1956,tif,Q103308282,M122686997,1956.021,Septieme Cahier de Trophées de Musique #6 (Seventh Book of Trophies of Music #6),1956,primary,Septieme Cahier de Trophées de Musique -6 (Seventh Book of Trophies of Music -6) - Vanderbilt Fine Arts Gallery - 1956.021.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.021.json,
1956.022.jpg,Q106577407,1956.022,primary,,,70,372,473,2010-02-22,1956,jpg,Q106577407,M122708927,1956.022,"Pipe Bird or Hunting Birds, from a series of seventeen works entitled ‘Pastorales’ after Jacques Stella (1596-1657)",1956,primary,"Pipe Bird or Hunting Birds, from a series of seventeen works entitled ‘Pastorales’ after Jacques Stella (1596-1657) - Vanderbilt Fine Arts Gallery - 1956.022.jpg",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.022.json,
1956.023.jpg,Q106577423,1956.023,primary,,,85,382,477,2010-02-22,1956,jpg,Q106577423,M122708991,1956.023,Shepherds pursuing a wolf that has captured a sheep,1956,primary,Shepherds pursuing a wolf that has captured a sheep - Vanderbilt Fine Arts Gallery - 1956.023.jpg,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.023.json,
1956.024.jpg,Q106577450,1956.024,primary,,,60,341,437,2010-02-22,1956,jpg,Q106577450,M122709049,1956.024,The Harvest,1956,primary,The Harvest - Vanderbilt Fine Arts Gallery - 1956.024.jpg,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.024.json,
1956.025.jpg,Q106577446,1956.025,suppress,,,81,380,469,2010-02-22,1956,jpg,,,,,,,,,
1956.025.tif,Q106577446,1956.025,primary,,,65739,2970,3776,2016-05-17,1956,tif,Q106577446,M122709009,1956.025,The Dance,1956,primary,The Dance - Vanderbilt Fine Arts Gallery - 1956.025.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.025.json,
1956.026.jpg,Q103310082,1956.026,suppress,,,285,500,348,2010-02-21,1956,jpg,,,,,,,,,
1956.026.tif,Q103310082,1956.026,suppress,,,1757,928,646,2010-02-09,1956,tif,,,,,,,,,
1956.027.jpg,Q103308843,1956.027,suppress,,,65,412,280,2010-02-22,1956,jpg,,,,,,,,,
1956.028.jpg,Q102974499,1956.028,suppress,,,71,428,312,2010-02-22,1956,jpg,,,,,,,,,
1956.029.jpg,Q103306456,1956.029,suppress,,,274,500,387,2010-02-21,1956,jpg,,,,,,,,,
1956.029.tif,Q103306456,1956.029,suppress,,,866,618,478,2010-02-09,1956,tif,,,,,,,,,
1956.030.jpg,Q103307737,1956.030,primary,,,77,393,380,2010-02-22,1956,jpg,Q103307737,M122685624,1956.030,"Rudolph I; Stephen, King of Hungary; Clovis and Charlemagne",1956,primary,"Rudolph I; Stephen, King of Hungary; Clovis and Charlemagne - Vanderbilt Fine Arts Gallery - 1956.030.jpg",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.030.json,
1956.031.jpg,Q103296873,1956.031,primary,,,16,225,141,2010-02-22,1956,jpg,,,,,,,,,
1956.032.JPG,Q65080716,1956.032,suppress,,,232,530,360,2006-10-30,1956,JPG,,,,,,,,,
1956.034.jpg,Q102974492,1956.034,suppress,,,209,488,360,2006-10-30,1956,jpg,,,,,,,,,
1956.035.jpg,Q103299222,1956.035,suppress,,,232,500,343,2010-02-21,1956,jpg,,,,,,,,,
1956.035.tif,Q103299222,1956.035,suppress,,,1819,952,652,2010-02-09,1956,tif,,,,,,,,,
1956.036.jpg,Q102970016,1956.036,suppress,,,36,316,225,2010-02-22,1956,jpg,,,,,,,,,
1956.037.jpg,Q102974686,1956.037,suppress,,,270,347,500,2010-02-21,1956,jpg,,,,,,,,,
1956.037.tif,Q102974686,1956.037,suppress,,,4059,979,1404,2010-02-11,1956,tif,,,,,,,,,
1956.038.jpg,Q102974550,1956.038,suppress,,,255,383,500,2010-02-21,1956,jpg,,,,,,,,,
1956.038.tif,Q102974550,1956.038,suppress,,,10766,1674,2189,2010-02-11,1956,tif,,,,,,,,,
1956.039.jpg,Q102974871,1956.039,suppress,,,348,500,447,2010-02-21,1956,jpg,,,,,,,,,
1956.039.tif,Q102974871,1956.039,primary,,,4371,1287,1150,2010-02-11,1956,tif,Q102974871,M122612032,1956.039,The Two Gossips,1956,primary,The Two Gossips - Vanderbilt Fine Arts Gallery - 1956.039.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.039.json,
1956.041.jpg,Q106577451,1956.041,primary,,,67,345,477,2010-02-22,1956,jpg,Q106577451,M122709053,1956.041,"The Holy Family, after Frans Floris I (1519/20-1570)",1956,primary,"The Holy Family, after Frans Floris I (1519-20-1570) - Vanderbilt Fine Arts Gallery - 1956.041.jpg",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.041.json,
1956.042.tif,Q106577455,1956.042,suppress,,,19094,2278,2861,2012-08-16,1956,tif,,,,,,,,,
1956.043.jpg,Q105092167,1956.043,suppress,,,55,358,278,2010-02-22,1956,jpg,,,,,,,,,
1956.044.jpg,Q103299187,1956.044,primary,,,51,456,382,2010-02-22,1956,jpg,Q103299187,M122650231,1956.044,Descent from the Cross,1956,primary,Descent from the Cross - Vanderbilt Fine Arts Gallery - 1956.044.jpg,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.044.json,
1956.045.jpg,Q102964106,1956.045,primary,,,57,334,498,2010-02-22,1956,jpg,Q102964106,M122584188,1956.045,Death of Ananias,1956,primary,Death of Ananias - Vanderbilt Fine Arts Gallery - 1956.045.jpg,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.045.json,
1956.046.jpg,Q106577320,1956.046,primary,,,66,351,489,2010-02-22,1956,jpg,Q106577320,M122708874,1956.046,David and Goliath,1956,primary,David and Goliath - Vanderbilt Fine Arts Gallery - 1956.046.jpg,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.046.json,
1956.047.jpg,Q103308432,1956.047,primary,,,58,388,312,2010-02-22,1956,jpg,Q103308432,M122687091,1956.047,"Sibyl Reading, Facing Left",1956,primary,"Sibyl Reading, Facing Left - Vanderbilt Fine Arts Gallery - 1956.047.jpg",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.047.json,
1956.048.jpg,Q103298325,1956.048,primary,,,99,611,450,2010-02-22,1956,jpg,Q103298325,M122642182,1956.048,Charles V,1956,primary,Charles V - Vanderbilt Fine Arts Gallery - 1956.048.jpg,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.048.json,
1956.049.tif,Q103296578,1956.049,suppress,,,31347,3390,2367,2018-12-12,1956,tif,,,,,,,,,
1956.050.jpg,Q103551116,1956.050,suppress,,,51,311,400,2010-02-22,1956,jpg,,,,,,,,,
1956.050.tif,Q103551116,1956.050,primary,,,67387,2956,3889,2012-10-30,1956,tif,Q103551116,M122705314,1956.050,The Pier with a Lamp,1956,primary,The Pier with a Lamp - Vanderbilt Fine Arts Gallery - 1956.050.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.050.json,
1956.051.jpg,Q102961312,1956.051,suppress,,,24,264,184,2010-02-22,1956,jpg,,,,,,,,,
1956.052.jpg,Q106577374,1956.052,primary,,,43,277,442,2010-02-22,1956,jpg,Q106577374,M122708899,1956.052,Martyrdom of Saints Peter and Paul,1956,primary,Martyrdom of Saints Peter and Paul - Vanderbilt Fine Arts Gallery - 1956.052.jpg,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.052.json,
1956.053.jpg,Q103297140,1956.053,primary,,,61,484,383,2010-02-22,1956,jpg,Q103297140,M122641400,1956.053,"Augustus and the Tiburtine Sibyl, after Parmigianino (1503-1540)",1956,primary,"Augustus and the Tiburtine Sibyl, after Parmigianino (1503-1540) - Vanderbilt Fine Arts Gallery - 1956.053.jpg",https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.053.json,
1956.054.jpg,Q102973210,1956.054,suppress,,,29,375,208,2010-02-22,1956,jpg,,,,,,,,,
1956.056.jpg,Q103308802,1956.056,suppress,,,68,471,354,2010-02-22,1956,jpg,,,,,,,,,
1956.057.jpg,Q106577304,1956.057,primary,,,58,328,478,2010-02-22,1956,jpg,Q106577304,M122708873,1956.057,Chofu Crystal River in Musashi Province from the series Fashionable Beauties of the Green Houses at the Six Crystal Rivers,1956,primary,Chofu Crystal River in Musashi Province from the series Fashionable Beauties of the Green Houses at the Six Crystal Rivers - Vanderbilt Fine Arts Gallery - 1956.057.jpg,https://iiif-manifest.library.vanderbilt.edu/gallery/1956/1956.057.json,
1956.058.jpg,Q102966507,1956.058,suppress,,,51,315,482,2010-02-22,1956,jpg,,,,,,,,,
