qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir
Q102961253,1956.001.jpg,1956.001,suppress,,,39,274,472,2010-02-22,1956
Q102961253,1956-001.tif,1956.001,primary,,,73531,2611,4805,2020-07-23,1956
Q103296446,1956.002.jpg,1956.002,suppress,,,81,581,432,2010-02-22,1956
Q103296446,1956.002.tif,1956.002,primary,,,86058,4471,3284,2012-10-17,1956
Q103297456,1956.003.jpg,1956.003,suppress,,,146,746,472,2010-02-22,1956
Q103297456,1956-003.tif,1956.003,primary,,,47806,3600,2265,2020-08-18,1956
Q103310070,1956.004.jpg,1956.004,primary,,,122,696,452,2010-02-22,1956
Q103301130,1956.005.jpg,1956.005,,,,45,448,267,2010-02-22,1956
Q103301130,1956.005.zip,1956.005,,,,658376,0,0,2018-12-12,1956
Q102974173,1956.006.jpg,1956.006,primary,,,58,365,436,2010-02-22,1956
Q103306172,1956.007.jpg,1956.007,suppress,,,112,591,451,2010-02-22,1956
Q103306172,1956.007.tif,1956.007,primary,,,33728,3888,2958,2010-02-03,1956
Q103306172,1956.007.med.jpg,1956.007,suppress,,,1539,1200,913,2010-02-07,1956
Q102962018,1956.008.jpg,1956.008,primary,,,34,461,295,2010-02-22,1956
Q103298861,1956.009.jpg,1956.009,primary,,,29,407,272,2010-02-22,1956
Q102962009,1956.010.jpg,1956.010,primary,,,78,737,479,2010-02-22,1956
Q102962014,1956.011.jpg,1956.011,primary,,,32,435,287,2010-02-22,1956
Q106577405,1956.012.jpg,1956.012,suppress,,,270,377,500,2010-02-21,1956
Q106577405,1956.012.tif,1956.012,primary,,,2325,768,1019,2010-02-10,1956
,1956.012-1956.015.med.jpg,x1956.012-1956.015,,,composite of four works,979,975,1200,2010-02-07,1956
Q102961468,1956.013.jpg,1956.013,suppress,,,264,373,500,2010-02-21,1956
Q102961468,1956.013.tif,1956.013,primary,,,2607,810,1085,2010-02-10,1956
Q102962048,1956.014.jpg,1956.014,suppress,,,261,370,500,2010-02-21,1956
Q102962048,1956.014.tif,1956.014,primary,,,2443,780,1055,2010-02-10,1956
Q102964894,1956.015.jpg,1956.015,suppress,,,266,374,500,2010-02-21,1956
Q102964894,1956.015.tif,1956.015,primary,,,2416,780,1043,2010-02-10,1956
Q102974065,1956.016.jpg,1956.016,suppress,,,38,320,442,2010-02-22,1956
Q102974065,1956.016.tif,1956.016,primary,,,12482,1696,2512,2010-02-02,1956
Q102974065,1956.016.med.jpg,1956.016,suppress,,,1330,810,1200,2010-02-07,1956
Q105095755,1956.017.jpg,1956.017,primary,,,44,327,484,2010-02-22,1956
Q103307108,1956.018.med.jpg,1956.018,suppress,,,1179,1200,837,2010-02-07,1956
Q103307108,1956.018.tif,1956.018,primary,,,32833,4006,2795,2010-02-03,1956
Q103307108,1956.018.jpg,1956.018,suppress,,,42,679,487,2010-02-22,1956
Q103301821,1956.019.med.jpg,1956.019,suppress,,,1427,1200,968,2010-02-07,1956
Q103301821,1956.019.tif,1956.019,primary,,,31178,3631,2928,2010-02-03,1956
Q103301821,1956.019.jpg,1956.019,suppress,,,80,542,436,2010-02-22,1956
Q103300064,1956.020.tif,1956.020,primary,,,18421,2981,2109,2010-02-02,1956
Q103300064,1956.020.jpg,1956.020,suppress,,,73,661,464,2010-02-22,1956
Q103300064,1956.020.med.jpg,1956.020,suppress,,,1205,1200,849,2010-02-07,1956
Q103308282,1956.021.tif,1956.021,primary,,,22461,3075,2493,2010-02-02,1956
Q103308282,1956.021.jpg,1956.021,suppress,,,74,624,499,2010-02-22,1956
Q103308282,1956.021.med.jpg,1956.021,suppress,,,1332,1200,973,2010-02-07,1956
Q106577407,1956.022.jpg,1956.022,primary,,,70,372,473,2010-02-22,1956
Q106577423,1956.023.jpg,1956.023,primary,,,85,382,477,2010-02-22,1956
Q106577450,1956.024.jpg,1956.024,primary,,,60,341,437,2010-02-22,1956
Q106577446,1956.025.tif,1956.025,primary,,,65739,2970,3776,2016-05-17,1956
Q106577446,1956.025.jpg,1956.025,suppress,,,81,380,469,2010-02-22,1956
Q103310082,1956-026.tif,1956.026,primary,,,11861,1702,1188,2020-07-23,1956
Q103310082,1956.026.tif,1956.026,suppress,,,1757,928,646,2010-02-09,1956
Q103310082,1956.026.jpg,1956.026,suppress,,,285,500,348,2010-02-21,1956
Q103308843,1956-027.tif,1956.027,primary,,,126728,5651,3826,2020-07-23,1956
Q103308843,1956.027.jpg,1956.027,suppress,,,65,412,280,2010-02-22,1956
Q102974499,1956.028.jpg,1956.028,suppress,,,71,428,312,2010-02-22,1956
Q102974499,1956-028.tif,1956.028,primary,,,111022,5078,3730,2020-07-23,1956
Q103306456,1956.029.jpg,1956.029,suppress,,,274,500,387,2010-02-21,1956
