qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir,original_kilobytes,compressed_deflate_kilobytes,compressed_lzw_kilobytes,original_Mb,compressed_deflate_Mb,compressed_lzw_Mb
Q103308843,1956-027.tif,1956.027,primary,,,118074,5651,3826,2020-07-23,1956,126728,118074,161540,1.237578125,1.15306640625,1.5775390625
Q102974499,1956-028.tif,1956.028,primary,,,104052,5078,3730,2020-07-23,1956,111022,104052,142771,1.08419921875,1.0161328125,1.394248046875
Q102974492,1956-034.tif,1956.034,primary,,,357174,9682,7022,2020-07-23,1956,398437,357174,484310,3.890986328125,3.48802734375,4.72958984375
Q102970016,1956-036.tif,1956.036,primary,,,140440,6189,4388,2020-07-23,1956,159174,140440,190285,1.55443359375,1.371484375,1.858251953125
Q103308802,1956-056.tif,1956.056,primary,,,229122,7571,5551,2020-07-23,1956,246309,229122,314085,2.405361328125,2.23751953125,3.067236328125
Q102966507,1956.058.tif,1956.058,primary,,,110590,6540,10288,2020-02-28,1956,197147,110590,119899,1.925263671875,1.07998046875,1.170888671875
Q102974903,1970-068.tif,1970.068,primary,,,178278,4736,7153,2020-07-21,1970,198533,178278,242632,1.938798828125,1.74099609375,2.369453125
Q103300240,1971-064.tif,1971.064,primary,,,94734,4261,3355,2020-08-17,1971,111696,94734,118363,1.09078125,0.92513671875,1.155888671875
Q103312113,1972-077.tif,1972.077,primary,,,106565,5160,3659,2020-08-17,1972,110668,106565,146773,1.0807421875,1.040673828125,1.433330078125
Q105096006,1973.001.tif,1973.001,primary,,,53911,5200,3384,2011-07-11,1973,103147,53911,66767,1.007294921875,0.526474609375,0.652021484375
Q102974180,1973.013.tif,1973.013,primary,,,89328,3456,5184,2014-09-30,1973,104999,89328,119380,1.025380859375,0.87234375,1.1658203125
Q104030928,1974.021.tif,1974.021,primary,,,83853,5184,3456,2014-09-30,1974,104996,83853,106065,1.0253515625,0.818876953125,1.035791015625
Q103300185,1975.062.tif,1975.062,primary,,,87194,5184,3456,2014-10-01,1975,104994,87194,115555,1.02533203125,0.85150390625,1.128466796875
Q103300178,1975.063.tif,1975.063,primary,,,87693,5184,3456,2014-10-01,1975,104994,87693,115671,1.02533203125,0.856376953125,1.129599609375
Q103307961,1975.064.tif,1975.064,primary,,,86974,5184,3456,2014-10-01,1975,104994,86974,113360,1.02533203125,0.84935546875,1.10703125
Q106582838,1976.036.tif,1976.036,primary,,,80313,5184,3456,2014-09-30,1976,104993,80313,98441,1.025322265625,0.784306640625,0.961337890625
Q103297990,1977.003.tif,1977.003,primary,,,85726,5184,3456,2013-01-28,1977,104995,85726,112637,1.025341796875,0.83716796875,1.099970703125
Q102966055,1977.009.tif,1977.009,primary,,,69376,3456,5184,2016-03-30,1977,105005,69376,85240,1.025439453125,0.6775,0.832421875
