accession_number,qid,label_en,description_en,creator,instance_of,inception_val,inception_earliest_date_val,inception_latest_date_val,height_val,width_val,thickness_val,diameter_val,style_period,rights,media_url,status
1970.067,Q102976613,Veduta della Piazza di Monte Cavallo (View of the Piazza del Monte Cavallo),print by Giovanni Battista Piranesi,Q316307,Q11060274,1908-01-01T00:00:00Z,1870-01-01T00:00:00Z,1945-01-01T00:00:00Z,18.5,27.75,,,,COPYRIGHT NOT EVALUATED,https://forum.jstor.org/assets/26753692/representation-view,artist died before copyright cutoff
1970.062,Q102976639,"Veduta Interna dell' Atrio del Portico di Ottavia (Internal View of the Atrium of the Portico of Octavia), from Vedute di Roma (Views of Rome)",print by Giovanni Battista Piranesi,Q316307,Q11060274,1908-01-01T00:00:00Z,1870-01-01T00:00:00Z,1945-01-01T00:00:00Z,16.5,21.75,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26753687/representation-view,artist died before copyright cutoff
1970.063,Q102976596,Veduta dell' Arco di Tito (View of the Arch of Titus),print by Giovanni Battista Piranesi,Q316307,Q11060274,1908-01-01T00:00:00Z,1870-01-01T00:00:00Z,1945-01-01T00:00:00Z,16,24.75,,,,,https://forum.jstor.org/assets/26753688/representation-view,artist died before copyright cutoff
1970.064,Q102976607,Veduta della Piazza della Rotonda (View of the Plaza Rotunda),print by Giovanni Battista Piranesi,Q316307,Q11060274,1908-01-01T00:00:00Z,1870-01-01T00:00:00Z,1945-01-01T00:00:00Z,16.25,21.75,,,,,https://forum.jstor.org/assets/26753689/representation-view,artist died before copyright cutoff
1970.065,Q102976626,Veduta di Campo Vaccino [View of the Roman Forum (Cow Pasture)] from Vedute di Roma (Views of Rome),print by Giovanni Battista Piranesi,Q316307,Q11060274,1908-01-01T00:00:00Z,1870-01-01T00:00:00Z,1945-01-01T00:00:00Z,18.75,28.25,,,,,https://forum.jstor.org/assets/26753690/representation-view,artist died before copyright cutoff
1970.066,Q106567736,Veduta delle antiche Sostruzioni fatte da Tarquinio Superbo dette il Bel Lido,print by Giovanni Battista Piranesi,Q316307,Q11060274,1908-01-01T00:00:00Z,1870-01-01T00:00:00Z,1945-01-01T00:00:00Z,17.75,26.75,,,,,https://forum.jstor.org/assets/26753691/representation-view,artist died before copyright cutoff
1979.0074,Q102966235,Hundred Guilder Print,print by Rembrandt van Rijn,Q5598,Q11060274,1925-01-01T00:00:00Z,1920-01-01T00:00:00Z,1929-01-01T00:00:00Z,10.5,15,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754285/representation-view,artist died before copyright cutoff
2015.037q,Q103310516,"Transit III, from American Abstract Artists 50th Anniversary Print Portfolio",print by Ward Jackson,Q6117834,Q11060274,1987-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760011/representation-view,artist died before copyright cutoff
2012.008f,Q102974950,"The Well House, from American Abstract Artists 60th Anniversary Print Portfolio",print by Marvin P. Brown,Q6786928,Q11060274,1997-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759788/representation-view,artist died before copyright cutoff
2012.008p,Q102975349,"Transverse, from American Abstract Artists 60th Anniversary Print Portfolio",print by Ward Jackson,Q6117834,Q11060274,1997-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759807/representation-view,artist died before copyright cutoff
