inventory_number,label,title
#2000.077,"Position East: Artists of East Nashville Group Show, Sherri Warner Hunter, Barbara Harris, (and more)","Position East: Artists of East Nashville Group Show, Sherri Warner Hunter, Barbara Harris, Victotia Boone, Bill Brimm, Jeff Hand, Jan Bell,Marla Faith, Thurman Rivers, Dwana ""Sam"" Wherry, Charles Laurence Nelson"
#2000.104,"Mongrel Music, Alejandro Escovedo, The Backsliders, Big Sandy and his Fly-Rite Boys, Boozoo Chavis (and more)","Mongrel Music, Alejandro Escovedo, The Backsliders, Big Sandy and his Fly-Rite Boys, Boozoo Chavis, Buddy & Julie Miller,  Chris Smither, Dave Alvin & The Guilty Men, Greg Trooper, The Iguanas (and more)"
#2001.019,Perpetual Obscurity Records Presents Paul Thorn - Trailer  Park Philosopher (and more),"Perpetual Obscurity Records Presents Paul Thorn - Trailer  Park Philosopher - Live from Tupelo, Miss. ""Ain't Love Strange"" - Forbidden White Trash Stories"
#2001.024,One Show Only - Mr. & Mrs. Robert P. Walsh request the honor of your presence at the wedding of their daughter,"One Show Only - Mr. & Mrs. Robert P. Walsh request the honor of your presence at the wedding of their daughter Bridget Margaret to Tomothy H. Abare, 24th June 2000"
#2001.032,"In Concert - One Night Only - Marty Stuart, Emmylou Harris, Patty Loveless, Sam Bush (and more)","In Concert - One Night Only - Marty Stuart, Emmylou Harris, Patty Loveless, Sam Bush, Steve Earle, Gail Davies, Larry Corddle & Lonesome Standard Time, Patty Mitchell & the Bluebloods"
#2002.016,The Enlightened Savage (can titles: Artist's Brains with Rice; Art Historian Alphabet and more),The Enlightened Savage (can titles: Artist's Brains with Rice; Art Historian Alphabet; Cream of Dealer; Fundraiser's Adobo; Museum Director's Tripe; Model's Meat; Collector's Broth; Critic's Tongue; Curator's Liver; Anthropologist with Noodles)
#2003.030,"Plate 59 from Les Beau Jour de la Vie; As published in Le Charivari, April 26, 1845 Quand on a son portrait au salon","Plate 59 from Les Beau Jour de la Vie; As published in Le Charivari, April 26, 1845 Quand on a son portrait au salon (When one has his picture in the salon)"
#2004.083,"Assorted ephemera, October Foundation, 33 cards including Hans Waanders, Perches (and more)","Assorted ephemera, October Foundation, 33 cards including Hans Waanders, Perches, Hamish Fulton, Hill Walk-Art for a Mountain Hut, Ian Hamilton Finlay, Blue Flower."
#2004.092,"Paper Blanket-Grid of Light, with an essay entitled ""Killaars Culture"" by Ine Gevers Concept and design by Fransje Killaars","Paper Blanket-Grid of Light, with an essay entitled ""Killaars Culture"" by Ine Gevers Concept and design by Fransje Killaars, Realization by Anne Mieke Eggenkamp and Fransje Killaars, Photographs by Roy Villevoye and Gertjan van Rooij, Amsterdam Published on the occasion of the exhibition, ""Installation Kyoto,"" 2004, Sfera Exhibition Space, Kyoto, Japan, 3.4.2004-31.5.2004"
#2005.001b,John,"John (from American Portfolio: A portfolio of six lithographs in color by: Lester Johnson, Alice Neel, Romare Bearden, Henry Pearson, Sharon Sutton, Will Barnet)"
#2005.001c,Girl in the Garden,"Girl in the Garden (from American Portfolio: A portfolio of six lithographs in color by: Lester Johnson, Alice Neel, Romare Bearden, Henry Pearson, Sharon Sutton, Will Barnet)"
#2005.001d,Judgement of Paris with 1924 lagonda,"Judgement of Paris with 1924 lagonda (from American Portfolio: A portfolio of six lithographs in color by: Lester Johnson, Alice Neel, Romare Bearden, Henry Pearson, Sharon Sutton, Will Barnet)"
#2005.001e,Silk Stockings and Candlelit Cafes,"Silk Stockings and Candlelit Cafes (from American Portfolio: A portfolio of six lithographs in color by: Lester Johnson, Alice Neel, Romare Bearden, Henry Pearson, Sharon Sutton, Will Barnet)"
#2005.001f,Adriane,"Adriane (from American Portfolio: A portfolio of six lithographs in color by: Lester Johnson, Alice Neel, Romare Bearden, Henry Pearson, Sharon Sutton, Will Barnet)"
#2006.008,"A Catalogue Raisonné of the Objects, Flora & Fauna, Angel Detritus, Characters & Architectural Elements of Eden and Nobotown","A Catalogue Raisonné of the Objects, Flora & Fauna, Angel Detritus, Characters & Architectural Elements of Eden and Nobotown; Elements of a Woodcut Motion Picture title The Jackleg Testament, Part One: Jack & Eve."
#2007.001,"Paper Blanket-Grid of Light, With an essay entitled ""Killaars Culture"" by Ine Gevers Concept and design by Fransje Killaars","Paper Blanket-Grid of Light, With an essay entitled ""Killaars Culture"" by Ine Gevers Concept and design by Fransje Killaars, Realization by Anne Mieke Eggenkamp and Fransje Killaars, Photographs by Roy Villevoye and Gertjan van Rooij, Amsterdam Published on the occasion of the exhibition, ""Installation Kyoto,"" 2004, Sfera Exhibition Space, Kyoto, Japan, 3.4.2004-31.5.2004"
#2007.026,"Untitled (Rural scene with two figures (gods); one in sky seated on an eagle, other figure seated on land)","Untitled (Rural scene with two figures (gods); one in sky seated on an eagle and holding sheaf of grain, other figure seated on land with sword and snake and wearing a crown)"
#2007.045,Untitled (View of the column erected by the Roman Senate in honor of the Emperor Trajan on which are represented his Dacian battles),"Untitled (View of the column erected by the Roman Senate in honor of the Emperor Trajan on which are represented his Dacian battles, after painting by Agapito Franzetti)"
#2009.002b,"Title page from the portfolio ""Felixmüller—Holzschnitte.""","Title page from the portfolio ""Felixmüller--Holzschnitte."" Includes a self-portrait of the artist that is also featured on the cover; table of contents; and typical calophon information (no. 66 of 100). Preface noted below is on the verso."
#2009.002e,--and to Sing Songs to the Lute (--und singen Lautenlieder) From the portfolio Felixmüller—Woodcuts (Felixmüller—Holzschnitte.),"--and to Sing Songs to the Lute (--und singen Lautenlieder) From the portfolio Felixmüller—Woodcuts (Felixmüller—Holzschnitte.,  Text within print: ""Fille du roi donnez moi votre coeur."" (Daughter of the King give me your heart.), from a popular song of the 85th Regiment of Saintonge, France entitled ""Trois jeunes tambours"" (""Three young drummers"")."
#2009.003a,"Roofs of St. Petersburg (Vignette), from Crime and Punishment, Part 1 by Fyodor Dostoevsky","Roofs of St. Petersburg (Vignette), from Crime and Punishment, Part 1 by Fyodor Dostoevsky From: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003b,"The Policeman, from Crime and Punishment, Chapter 4 by Fyodor Dostoevsky","The Policeman, from Crime and Punishment, Chapter 4 by Fyodor DostoevskyFrom: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003c,"Dream of a Horse, from Crime and Punishment, Chapter 5 by Fyodor Dostoevsky","Dream of a Horse, from Crime and Punishment, Chapter 5 by Fyodor Dostoevsky From: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003d,"The Fiancé, from Crime and Punishment, Chapter 5 by Fyodor Dostoevsky","The Fiancé, from Crime and Punishment, Chapter 5 by Fyodor Dostoevsky From: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003e,"Nightlife at the Tavern, from Crime and Punishment, Chapter 6 by Fyodor Dostoevsky","Nightlife at the Tavern, from Crime and Punishment, Chapter 6 by Fyodor DostoevskyFrom: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003f,"Mother and Sister, from Crime and Punishment, Chapter 7 by Fyodor Dostoevsky","Mother and Sister, from Crime and Punishment, Chapter 7 by Fyodor DostoevskyFrom: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003g,"Along the Neva (Vignette), from Crime and Punishment, Part 3 by Fyodor Dostoevsky","Along the Neva (Vignette), from Crime and Punishment, Part 3 by Fyodor DostoevskyFrom: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003h,"The Inspector, from Crime and Punishment, Chapter 5 by Feodor Dostoevsky","The Inspector, from Crime and Punishment, Chapter 5 by Feodor DostoevskyFrom: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003i,"The Dream of Murder, from Crime and Punishment, Chapter 6 by Fyodor Dostoevsky","The Dream of Murder, from Crime and Punishment, Chapter 6 by Fyodor DostoevskyFrom: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003j,"Lazarus (Vignette), from Crime and Punishment, Part 4 by Fyodor Dostoevsky","Lazarus (Vignette), from Crime and Punishment, Part 4 by Fyodor DostoevskyFrom: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003k,"Sonia Reading Bible, from Crime and Punishment, Chapter 4 by Fyodor Dostoevsky","Sonia Reading Bible, from Crime and Punishment, Chapter 4 by Fyodor DostoevskyFrom: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.003l,"The Mad Woman (Vignette), from Crime and Punishment, Part 5 by Fyodor Dostoevsky","The Mad Woman (Vignette), from Crime and Punishment, Part 5 by Fyodor DostoevskyFrom: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
