inventory_number,string,lang
#2012.002,"Prospetto del Lastricato e de'margini dell' antica via Appia, delineato cosi come si vede verso Roma poco piu' in qua' della citta' d'Albano from Antichità d'Albano e di Castel Gandolfo, plate XXV (A view of the Paving and curb of the Via Appia Antica, from ""Antiquities of Albano and of Castel Gandolfo"")",it
#1995.063,"Plate 45 from Moeurs Conjugales (Married Life); originally published in Le Charivari, April 19, 1842. Ciel! après trois mois d'absence, je trouve ma femme déméngée! et quels souvenirs me laisse-t-elle, grand Dieu! (Heavens!  After three months absence, I find my wife has moved! And what remembrances she leaves me, great God!)",en
#1995.064,"Plate 23 from Moeurs Conjugales (Married Life); originally published in Le Charivari, April 12, 1840. (La Femme)  Je viens de découvrir une mêche dans votre gilet! (Me Mari embarassé) Bon! bon! tu sais que je m'occupe de curiosité, je l'ai achetée aux commissaires priseurs. On dit que ça vient de Cléopatre!",fr
#1995.065,"Plate 16 from Bohémiens de Paris (Bohemians of Paris) originally published in Le Charivari, January 11, 1842. Le Protecteur (The Protector) Eh mon cher!-je vous retrouve enfin: vous ne me remettez pas, c’est moi qui avant mes malheurs-vous ai fait faire ce superbe marché. Lequel. Vous ne vous rappelez pas-enfin c’est grâçe à moi-à mon tour il me manque des fonds pour une spéculation, pretéz, moi donc cinq francs!",fr
#1995.066,"Plate 23 from Bohémiens de Paris (Bohemians of Paris); originally published in Le Charivari, February 20, 1842. Je ne connais pas cette signature—C'est la mienne. C'est possible connais pas.—Ancien fondateur de plusieurs banques-des fameuses banques, retiré des affaires et engageant ma signature pour voler-au secours de l'industrie!",fr
#1999.172aa,"Les animaux du Jardin des Plantes faisant queue comme tout le monde pour avoir leur viande (The animals from the Botanical Garden standing in line like everyone else in order to get their meat), from Album du Siége",fr
#1999.172bb,"Plus de gaz. Le beau sexe tenant cependant à se faire voir le soir sur le boulevard. (No more gas. The fair sex insisting, in the meantime, on making themselves visible in the evening on the boulevard.)",en
#1999.172dd,"Le Bombardement. Qu’estce que c’est que ça, papa? C’est le dernier bouquet des feux du 15 août. (The Bombardment. What is that, daddy? It’s the last of August 15th’s most beautiful fireworks.)",fr
#1999.172e,"Pauvre France! Le tronc est foudroyé, mais les racines tiennent bon! (Poor France!…Her trunk has been struck, but her roots stand fast!), from Album du Siége",fr
#1979.0924p,"Que malheur qu'il ait été dans ce pays d'Italie!….il me néglige maintenant pour les œuvres d'art…, comme il appelle ça…. How unfortunate…that he was in this country of Italy!…he is neglecting me now for works of art, as he calls this thing…",en
#1979.0925P,"Plate 3 from Canotiers et Canotieres (Boaters and Boaters) (1st suite) Voilà là-bas un petit canotier qui est bien gentil! Comment faire sa connaissance. Tombe à l’eau il te repêchera c’est une manière comme une autre d’entrer en conversation! Merci il n’aurait qu’à me demander ensuite une prime de 25 francs, je serais bien avancée!",fr
#1979.0927P,"Plate 2 from Au Bal Masqué (6th suite) Mademoiselle Adèle, si vous continuez à rentrer à des heures aussi indues, je vous ferai donner congé par le propriétaire! Père Moufflet! je vous promets qu’après la mi-carême, je n’irai plus au bal de l’Opéra! Nous verrons bien ça!",fr
#1979.0943P,"Plate 12 from Au Bal Masqué (3rd suite) —Beau domino.., veux-tu souper avec moi….. —Mossieu’!….je ne soupe jamais avec une personne que je ne connais pas!.. —Mais.., nous demeurons dans le même quartier. —Alors, c’est différent….j’accepte!…",fr
#1979.0944P,"Plate 19 from Au Bal Masqué (The Masked Ball) Fourth suite, 1860 Tiens!….voici Léontine-, elle n’est pas avec Gustave. Non! Elle est avec un Anglais, il me semble. Oui! La malheureuse, elle est indigne d’être française elle passe à l’étranger!",fr
#1979.0945P,"Plate 20 from Au Bal Masqué (The Masked Ball) Fourth suite, 1860 Ma chère, je te conseille de ne jamais donner ton adresse à un homme masqué….Pourquoi ça…Au dernier bal, un bel Espagnol orné d’une petite tunique abricot et un grand nez en carton m’a suppliée de lui dire où je demeurais, j’ai eu la folie d’y consentir, et le lendemain, au lieu de recevoir la visite d’un noble étranger, j’ai vu arriver un créancier que j’étais parvenue à dépister depuis six mois-mon espagnol était un anglais!!!",fr
