inventory_number,string
#2020.005,"Himid, Lubaina"
#2020.003,"Mendoza, Pantaléon"
#2020.004,"Gallagher, Sears (American painter, illustrator, and graphic artist, 1869-1955)"
#2020.002,"Woodruff, Hale Aspacio (American painter, 1900-1980)"
#2020.001,"Hassam, Childe (American painter and printmaker, 1859-1935)"
#2019.001,"Pennell, Joseph (American printmaker, illustrator, and author, ca. 1860-1926)"
#2017.001.021,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.022,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.023,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.024,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.025,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.026,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.027,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.028,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.029,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.030,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.031,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.032,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.033,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.034,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.035,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.036,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.037,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.038,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
#2017.001.039,"Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"
