inventory_number,string
#2000.068,Gwen Haberman
#2001.049,Rachel Parrish
#2001.141,Margaret Pasek
#2003.001,Multiple Artists
#2004.055,October Foundation
#2004.056,October Foundation
#2004.057,Multiple Artists
#2004.080,Karen Genter
#2004.083,October Foundation
#2006.001,Mark McDevitt
#2007.011,B. Bernards
#2007.012,John Mulder
#2007.013,J. Clark
#2007.023,J. Goodyear
#2007.024,J. Goodyear
#2007.039,G. Adam
#2007.055,G. Adam
#2010.006,E.P. Hoffmann
#2012.008hh,Wifred Graf Schwerin von Krosigk
#2013.013,M. Slowicki
#2013.014,Danka Lustyk
#2013.020,M Chwedczuk
#2013.021,A Krauze
#2015.038c,Emily Berger
#2015.038d,Susan Bonfils
#2015.038z,David MacKenzie
#2015.075.01,Heinz Handschick
#2015.075.02,Heinz Handschick
#2015.075.03,Heinz Handschick
#2015.075.04,A.E.
#2015.075.05,A.E.
#2015.075.06,A.E.
#2015.075.07,Heidenreich
#2015.075.08,D. Heidenreich
#2015.075.09,D. Heidenreich
#2015.075.10,K. Winkles
#2015.075.11,Otte
#2015.075.15,G. Burke
#2015.075.18,Ernst
#2015.075.19,Ernst
#2015.075.20,Hel Gold
#2015.075.21,Gerasch
#2015.075.22,H.J. Malik
#2015.075.24,Gernot Branolt
#2015.075.25,O.S.
#2015.075.26,O.S.
#2015.075.46,Christophe Kutner
#2016.005.03,Katie Risseeuw
#2016.005.09,Mare Blocker
#2016.005.18,Karen Zimmermann
#2016.005.21,Cynthia Marsh
#2016.005.26,Aaron Cohick
#2017.001.008,Kitabat
#1993.005,Chao Fen
#1993.013,Woo Bong
#1993.014,Woo Bong
#1993.179,"attributed to nephew of Kanjiro, Kawai"
#1993.195,John Leach
#1994.334,Various Artists
#1995.004,Yu-u sai Toshiaki
#1996.022,Knud Gastlund
#1996.024,Departament de Cultura de la Generalitat de Catalunya
#1996.034,Musée de Poche
#1996.036,Llorenç Prats
#1996.055,Pierre Franz Cabanes
#1996.056,Pierre Franz Cabanes
#1996.057,Pierre Franz Cabanes
#1996.058,Pierre Franz Cabanes
#1996.059,Manuel Fandos
#1996.133,Pablo Richman
#1996.184,Ryosen
#1996.185,Kado
#1996.192,Kiyoe Tabata
#1996.195,Goyo Hashimoto
#1997.061,Arturo Heras
#1997.076,Arturo Heras
#1997.098,Comp Estellido
#1997.109,Flasho
#1997.110a,Garzon Florez
#1997.110b,Garzon Florez
#1997.110c,Garzon Florez
#1997.110d,Garzon Florez
#1997.110e,Garzon Florez
#1997.143,Jane Peiser
#1998.008,Ronald McBurnie
#1998.016,Joaquim Nolla
#1998.018,Alfred Barrós
#1998.035,Barcelona Treballs Gràfics
#1999.031,Arturo Heras
#1979.0916P,Fantarini?
#1979.0982P,Lily Spinola
#1979.0984P,M. Pildas
#1979.0985P,Charles Singer
#1979.0986P,C. W. Schaever
#1979.0988P,John Howard
#1979.1118P,E. Fisher
#1979.1138P,Clinton Brown
#1979.1142P,Dutch Saunders
#1979.1181P,A. Hendee
#1979.1207P,Georgii-Hemming
