name,accession,height,width,subdir
p-1814atrecto copy.jpg,p-18.4atrecto,2048,1242,1956
A-539.jpg,A-53.,1365,2048,1979
stevenson2000-055.jpg,stev.nson2000-055,1822,2048,2000
p-1808atdetail.jpg,p-18.8atdetail,1365,2048,2015
p-1808atrecto.jpg,p-18.8atrecto,2048,1569,2015
p-1808bt1.jpg,p-18.8bt1,1106,2048,2015
p-1809atrecto.jpg,p-18.9atrecto,2048,1365,2015
p-1808bt2.jpg,p-18.8bt2,1108,2048,2015
p-1809atverso.jpg,p-18.9atverso,2048,1365,2015
p-1809btrecto.jpg,p-18.9btrecto,2048,1365,2015
p-1809btverso.jpg,p-18.9btverso,2048,1365,2015
p-1810atrecto.jpg,p-18.0atrecto,1950,2048,2015
p-1810atverso.jpg,p-18.0atverso,1959,2048,2015
p-1810btrecto.jpg,p-18.0btrecto,1949,2048,2015
p-1810btverso.jpg,p-18.0btverso,1954,2048,2015
p-1811atrecto .jpg,p-18.1atrecto ,1361,2048,2015
p-1811atverso.jpg,p-18.1atverso,1415,2048,2015
p-1811btrecto.jpg,p-18.1btrecto,2048,1768,2015
p-1811btverso.jpg,p-18.1btverso,2048,1752,2015
p-1812atrecto.jpg,p-18.2atrecto,2048,1713,2015
p-1812atverso.jpg,p-18.2atverso,2048,1696,2015
p-1812btrecto.jpg,p-18.2btrecto,2048,1722,2015
p-1812btverso.jpg,p-18.2btverso,2048,1723,2015
p-1813atrecto.jpg,p-18.3atrecto,2048,1506,2015
p-1813atverso.jpg,p-18.3atverso,2048,1498,2015
p-1813btrecto.jpg,p-18.3btrecto,2048,1547,2015
p-1813btverso.jpg,p-18.3btverso,2048,1561,2015
2007-001wrongnumber.jpg,2007.001,1482,1152,Straggler photos
1993-089wrongnum.jpg,1993.089,1365,2048,1993
1994-427wrongno.jpg,1994.427,1365,2048,1994
