qid,label_en,collection_uuid,collection,collection_start_time_nodeId,collection_start_time_val,collection_start_time_prec,collection_end_time_nodeId,collection_end_time_val,collection_end_time_prec,collection_ref1_hash,collection_ref1_statedIn,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
Q80566046,Madonna and Child with Apollonia and Another Female Saint,2B2B822E-FE17-4490-9604-69BABADA9D1A,Q74149551,,,,,,,68f59ce09a539d3c23954e3749e2b1736537de59,,https://archive.org/details/gri_33125001303847/page/n321,,,
Q80566046,Madonna and Child with Apollonia and Another Female Saint,964FCE8D-B104-41B0-AA9B-A7C1BD82382A,Q18563658,,,,,,,,,,,,
Q90716090,Emily Thorn Vanderbilt Sloane,71841F9A-2182-4794-B26F-44C58A3DE77F,Q18563658,,,,,,,75da126b09f294405739d2c1ab7814bd4943c2f6,,,28c026f855e3967e337424f56f9607cc,2020-04-15T00:00:00Z,11
Q94002062,Marine Landscape,3f03ddb2-4ed2-1117-c3a5-e6213d91c883,Q18563658,,,,,,,,,,,,
Q94440586,Portrait of a Gentleman,1fdfed4a-4ab8-e360-bba9-6ae010282aee,Q18563658,,,,,,,,,,,,
Q94543371,"Saint Barbara, in the shape of a roundel, with the four corners of the work added at a later date",0beb8b16-461c-ac4f-7fdd-641d5caf1d3b,Q18563658,,,,,,,,,,,,
Q94544652,"The Crucifixion with the Virgin Mary, St. Mary Magdalene, St. John the Evangelist, and a Female Saint",fb387479-4f48-3e34-e24a-6bde1d40e464,Q18563658,,,,,,,,,,,,
Q94549679,Crucifixion of St. Andrew,c038bf8e-48ae-a206-f9a1-9297942c825e,Q18563658,,,,,,,,,,,,
Q94553168,Bishop or Saint,e76e7648-40b6-3c91-158d-14e822d374ca,Q18563658,,,,,,,,,,,,
Q94696481,Madonna and Child with St. Anne,4535fdf8-4912-4ff6-f3b4-246ef5ee5ca8,Q18563658,,,,,,,,,,,,
Q94696574,Madonna with Three Saints and John,dd1e1f66-465f-3a8a-a181-d5702238cae7,Q18563658,,,,,,,,,,,,
Q94696638,St. Sebastian,be7c5e1b-4aa5-acbd-a2fc-76564df23462,Q18563658,,,,,,,,,,,,
Q94696965,Madonna and Child,5da44873-4728-3578-1ae3-fd340a02e8e5,Q18563658,,,,,,,,,,,,
Q94701366,Seated Warrior,5b48d2a1-4fd8-c02d-669e-156f647cb1b5,Q18563658,,,,,,,,,,,,
Q94702218,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere""",5fad95b8-4e5d-3510-a1b3-45745be23d2c,Q18563658,,,,,,,,,,,,
Q94702395,St. Louis of Toulouse,08e76ba1-4987-48ef-1410-afb94a0530ff,Q18563658,,,,,,,,,,,,
Q94702413,Madonna and Child,d9351313-47b8-df88-2416-c141c22574d8,Q18563658,,,,,,,,,,,,
Q94702420,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist",0db489af-4ef9-49ab-8ed2-f2842514d9d2,Q18563658,,,,,,,,,,,,
Q94702774,A Baptismal Ceremony,2cccadf1-4f0d-0fa1-4c94-9e47682c6ece,Q18563658,,,,,,,,,,,,
Q94702974,St. Sebastian,abb93624-4220-7a19-1db4-8d0a8c85f948,Q18563658,,,,,,,,,,,,
Q94824558,Cat,762cd30c-4c8e-f025-6159-45f8d4eac832,Q18563658,,,,,,,,,,,,
Q94826345,Ding ware vessel with incised designs of lilies,1d8985b0-4f6e-0bf1-9ef5-09eaf5803e8f,Q18563658,,,,,,,,,,,,
Q94827808,Byzantine coin,4da80ea0-47ae-de76-d16c-edb8ba54a253,Q18563658,,,,,,,,,,,,
Q94830050,Running Bear Effigy,633aaff4-403a-73f9-46ab-3a759615b574,Q18563658,,,,,,,,,,,,
Q94832545,Still-life with Poppies,d8efdb1c-4bbe-65a7-f629-f656d46b6096,Q18563658,,,,,,,,,,,,
Q94835121,Reclining Nude,696b43ea-4de3-1b71-2cdd-6b7fbd0f9758,Q18563658,,,,,,,,,,,,
Q94837681,Angry Cat,fdf15bf0-4e60-c34e-02ae-fb04215a9639,Q18563658,,,,,,,,,,,,
Q94970906,Ball player in warrior bird costume,8cacd5be-48d5-b2ce-118a-f4d1d7c0aa2a,Q18563658,,,,,,,,,,,,
Q94971052,Quilt with blue & red star pattern,735f865a-4c44-fda1-478e-15fbb3b1277d,Q18563658,,,,,,,,,,,,
Q94971493,Red-figure kylix,e99c01c1-443a-5bcd-9d08-fabe941f6d7a,Q18563658,,,,,,,,,,,,
Q94971573,The Infant Shakespeare Attended by Nature and the Passions,7013b30f-4c79-191e-a148-6c27d60190ba,Q18563658,,,,,,,,,,,,
Q95743293,Portrait of Dolly Parton,3780a11e-4ee2-6ce8-804f-5029e44eae80,Q18563658,,,,,,,,,,,,
Q95743325,Polaroid of Dolly Parton,5471de56-479b-8a70-9139-228b2b2cd796,Q18563658,,,,,,,,,,,,
Q95743495,Supper at Emmaus,44876307-495a-6910-ab79-5f81aba7a09c,Q18563658,,,,,,,,,,,,
Q96063416,West African Doll,a153dd75-45db-aeb2-a6f2-317cf3a24225,Q18563658,,,,,,,,,,,,
