qid,label_en,described_at_url_uuid,described_at_url,described_at_url_ref1_hash,described_at_url_ref1_statedIn,described_at_url_ref1_referenceUrl,described_at_url_ref1_retrieved_nodeId,described_at_url_ref1_retrieved_val,described_at_url_ref1_retrieved_prec
Q80566046,Madonna and Child with Apollonia and Another Female Saint,595CB5C8-BDAC-4A36-89C1-53914420F705,https://archive.org/details/gri_33125001303847/page/n321,,,,,,
Q90716090,Emily Thorn Vanderbilt Sloane,41e97e93-447e-3e89-f91c-eab507a40757,https://tnportraits.org/portrait/emily-thorn-vanderbilt-sloane-white-1852-1946/,,,,,,
Q90716090,Emily Thorn Vanderbilt Sloane,de24d9f4-4b23-cf6e-c755-35e713dba398,https://www.akg-images.co.uk/archive/Emily-Thorn-Vanderbilt-Sloane-2UMEBMYX4ZHP5.html,,,,,,
Q94002062,Marine Landscape,,,,,,,,
Q94440586,Portrait of a Gentleman,,,,,,,,
Q94543371,"Saint Barbara, in the shape of a roundel, with the four corners of the work added at a later date",,,,,,,,
Q94544652,"The Crucifixion with the Virgin Mary, St. Mary Magdalene, St. John the Evangelist, and a Female Saint",9ccbb56f-4fc4-db3b-873b-aad7545c8b95,http://www.kressfoundation.org/collection/ViewCollection.aspx?id=72&artistID=19952,,,,,,
Q94549679,Crucifixion of St. Andrew,,,,,,,,
Q94553168,Bishop or Saint,,,,,,,,
Q94696481,Madonna and Child with St. Anne,439a573e-4e73-9e5d-6347-6aa4926cd0a7,http://www.kressfoundation.org/collection/ViewCollection.aspx?id=72&artistID=20000,,,,,,
Q94696574,Madonna with Three Saints and John,49871771-48bc-7b30-8b1a-03f5f813d326,http://www.kressfoundation.org/collection/ViewCollection.aspx?id=72&artistID=18946,,,,,,
Q94696638,St. Sebastian,7451022b-44fb-1e12-e1ca-fac45757e41a,http://www.kressfoundation.org/collection/ViewCollection.aspx?id=72&artistID=20110,,,,,,
Q94696965,Madonna and Child,753a6ae9-4c61-8c48-2553-2ab949f99aaf,http://www.kressfoundation.org/collection/ViewCollection.aspx?id=72&artistID=18940,,,,,,
Q94701366,Seated Warrior,,,,,,,,
Q94702218,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere""",,,,,,,,
Q94702395,St. Louis of Toulouse,,,,,,,,
Q94702413,Madonna and Child,,,,,,,,
Q94702420,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist",,,,,,,,
Q94702774,A Baptismal Ceremony,,,,,,,,
Q94702974,St. Sebastian,,,,,,,,
Q94824558,Cat,,,,,,,,
Q94826345,Ding ware vessel with incised designs of lilies,,,,,,,,
Q94827808,Byzantine coin,,,,,,,,
Q94830050,Running Bear Effigy,,,,,,,,
Q94832545,Still-life with Poppies,,,,,,,,
Q94835121,Reclining Nude,,,,,,,,
Q94837681,Angry Cat,,,,,,,,
Q94970906,Ball player in warrior bird costume,,,,,,,,
Q94971052,Quilt with blue & red star pattern,,,,,,,,
Q94971493,Red-figure kylix,,,,,,,,
Q94971573,The Infant Shakespeare Attended by Nature and the Passions,,,,,,,,
Q95743293,Portrait of Dolly Parton,,,,,,,,
Q95743325,Polaroid of Dolly Parton,,,,,,,,
Q95743495,Supper at Emmaus,,,,,,,,
Q96063416,West African Doll,,,,,,,,
