qid,label_en,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_statedIn,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec
Q80566046,Madonna and Child with Apollonia and Another Female Saint,EC4698BD-D34D-4076-AAD0-2879EB2DF686,Q3305213,,,,,,
Q90716090,Emily Thorn Vanderbilt Sloane,64a6d2a5-4e31-faff-ccdf-c40f0d8b9c1d,Q3305213,,,,,,
Q94002062,Marine Landscape,393c89df-4dc3-9dca-0aa9-fff2f89a07b0,Q3305213,,,,,,
Q94440586,Portrait of a Gentleman,84f4c882-4375-6849-19be-035b4372288e,Q3305213,,,,,,
Q94543371,"Saint Barbara, in the shape of a roundel, with the four corners of the work added at a later date",07623eb8-4c89-9973-ae7d-abe96a9de9e9,Q1473346,,,,,,
Q94544652,"The Crucifixion with the Virgin Mary, St. Mary Magdalene, St. John the Evangelist, and a Female Saint",219c960e-4932-adcd-1064-5a62fcaf4f57,Q3305213,,,,,,
Q94549679,Crucifixion of St. Andrew,1d1248bc-4d0f-47f0-35b2-f0375e814e5b,Q3305213,,,,,,
Q94553168,Bishop or Saint,762d2114-4d3b-add3-a49f-8b968e93f9f5,Q860861,,,,,,
Q94696481,Madonna and Child with St. Anne,e8314763-41d5-4dd5-c06b-765609e0c4a7,Q3305213,,,,,,
Q94696481,Madonna and Child with St. Anne,6464c37c-4fab-b61c-0fa0-ea83fe175323,Q1348059,,,,,,
Q94696574,Madonna with Three Saints and John,6627b865-46ce-3d42-b6ca-0a23e9addf30,Q3305213,,,,,,
Q94696638,St. Sebastian,4492c9b4-4e01-b00c-48dc-150f00e7a428,Q3305213,,,,,,
Q94696965,Madonna and Child,8c3ccb3a-403e-663a-e60d-0aa9efe8d5ee,Q3305213,,,,,,
Q94701366,Seated Warrior,b2e53f22-430c-9fb5-d379-8f4dcb8af1ca,Q860861,,,,,,
Q94702218,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere""",77d9ec3a-4a75-9d40-c2c5-6b53aa9ccba5,Q3305213,,,,,,
Q94702395,St. Louis of Toulouse,3e424b3d-42fd-f1da-c011-f6b3ee9aba7b,Q3305213,,,,,,
Q94702413,Madonna and Child,8ed7de7c-4a3b-f750-f8a5-75c019096097,Q3305213,,,,,,
Q94702420,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist",74d24c08-441a-57a7-aa75-53e0c6e89f92,Q3305213,,,,,,
Q94702774,A Baptismal Ceremony,df43ea0a-46af-a298-2985-880d63c9c158,Q3305213,,,,,,
Q94702974,St. Sebastian,0c97d32a-4a57-af93-2870-f526217d4cde,Q3305213,,,,,,
Q94824558,Cat,0b4c7729-4436-a160-0151-abd4edb92dd5,Q860861,,,,,,
Q94826345,Ding ware vessel with incised designs of lilies,a9c95429-4060-634b-ebf2-b8ea4b760336,Q191851,,,,,,
Q94827808,Byzantine coin,d2789901-4af0-b934-6f3d-b277889c8791,Q41207,,,,,,
Q94830050,Running Bear Effigy,93360401-474d-e682-50ff-18ad98d947a8,Q860861,,,,,,
Q94832545,Still-life with Poppies,e191db88-4f39-8a45-9a52-c8da644c85a3,Q3305213,,,,,,
Q94835121,Reclining Nude,df83c726-4763-0f0b-87b6-d662c13878dc,Q3305213,,,,,,
Q94837681,Angry Cat,55b62441-4d5f-a179-595b-a2b8c28dfc9b,Q3305213,,,,,,
Q94970906,Ball player in warrior bird costume,86ae840b-43de-c6ae-9083-c2b4395f7442,Q860861,,,,,,
Q94971052,Quilt with blue & red star pattern,44dbfded-49e5-83b9-8b1b-b549bf0f912f,Q1064538,,,,,,
Q94971493,Red-figure kylix,055057ae-455c-14aa-6ce9-a6fce8717c29,Q668349,,,,,,
Q94971573,The Infant Shakespeare Attended by Nature and the Passions,75e1b663-40d9-defb-dfd6-5d0c293361b5,Q3305213,,,,,,
Q95743293,Portrait of Dolly Parton,8c2b4738-43d7-96d4-1bdf-f5fb4ba8acaa,Q11633,,,,,,
Q95743325,Polaroid of Dolly Parton,b102ba3d-454e-0c31-14ef-19717d22258e,Q125191,,,,,,
Q95743495,Supper at Emmaus,c94df52e-472e-daa2-6c70-782274299ced,Q245117,,,,,,
Q96063416,West African Doll,667e34d9-420c-31ad-0b79-90a781edc6a0,Q4689996,,,,,,
