qid,label_en,material_used_uuid,material_used,material_used_applies_to_part,material_used_ref1_hash,material_used_ref1_statedIn,material_used_ref1_referenceUrl,material_used_ref1_retrieved_nodeId,material_used_ref1_retrieved_val,material_used_ref1_retrieved_prec
Q102305506,The Christ of the Breadlines,,,,,,,,,
Q102315563,Seated female funerary figure,,,,,,,,,
Q102315787,Head of a Young Girl or a Goddess,,,,,,,,,
Q102949359,"""I Hate You For Hitting My Mother,"" Minneapolis",,,,,,,,,
Q102958387,"(An Imaginary) Night Attack in the War Between the Hogen, Heiji, Minamoto, Yoshitomo, and Shirakawa [Forces]",,,,,,,,,
Q102958390,"#1, Scenes from a Marriage, Garth and Lisa",,,,,,,,,
Q80566046,Madonna and Child with Apollonia and Another Female Saint,97F09055-7138-47A3-9501-364DD1E03917,Q296955,,,,,,,
Q90716090,Emily Thorn Vanderbilt Sloane,73F4192A-BE1A-43BC-A8A5-2C53A54E6947,Q296955,,75da126b09f294405739d2c1ab7814bd4943c2f6,,,28c026f855e3967e337424f56f9607cc,2020-04-15T00:00:00Z,11
Q90716090,Emily Thorn Vanderbilt Sloane,C1305493-657F-4829-AB42-DE409A61CE5A,Q12321255,Q861259,75da126b09f294405739d2c1ab7814bd4943c2f6,,,28c026f855e3967e337424f56f9607cc,2020-04-15T00:00:00Z,11
Q94002062,Marine Landscape,,,,,,,,,
Q94440586,Portrait of a Gentleman,90beb639-41ca-7ab5-e667-552fadeb27b7,Q296955,,,,,,,
Q94440586,Portrait of a Gentleman,2bbc02a4-4552-d837-dcbf-3ff37450e603,Q12321255,Q861259,,,,,,
Q94543371,"Saint Barbara, in the shape of a roundel, with the four corners of the work added at a later date",16ed8c26-4fdd-0ec8-57a5-388ce0afef8e,Q1473346,,,,,,,
Q94543371,"Saint Barbara, in the shape of a roundel, with the four corners of the work added at a later date",c5762971-48ac-42d2-bb94-806e4ab931bc,Q16466835,,,,,,,
Q94544652,"The Crucifixion with the Virgin Mary, St. Mary Magdalene, St. John the Evangelist, and a Female Saint",10412300-46c0-f287-fe3d-9c9b809bab02,Q175166,,,,,,,
Q94544652,"The Crucifixion with the Virgin Mary, St. Mary Magdalene, St. John the Evangelist, and a Female Saint",b04234a3-4142-c4b1-b9bd-b78f4efaad2c,Q1348059,,,,,,,
Q94549679,Crucifixion of St. Andrew,021e35fe-4f52-8462-57bb-6fffab35aaef,Q296955,,,,,,,
Q94549679,Crucifixion of St. Andrew,593d1b02-482b-b08d-ebd9-0f4fc92ead79,Q753,Q861259,,,,,,
Q94553168,Bishop or Saint,4789add7-45d9-591a-e5c8-cef84b274471,Q287,,,,,,,
Q94553168,Bishop or Saint,252935f7-4d66-b685-94c3-871b4dcd7ad7,Q174219,,,,,,,
Q94696481,Madonna and Child with St. Anne,35d9f69c-4da1-97a0-7e3a-349a42a51873,Q174219,,,,,,,
Q94696574,Madonna with Three Saints and John,1b3689e6-46f8-1512-68ad-20202fa08a9b,Q1348059,,,,,,,
Q94696574,Madonna with Three Saints and John,9b366f0a-4d7c-19a7-5a42-6c753769d386,Q175166,,,,,,,
Q94696638,St. Sebastian,ee41f08e-4123-5be0-9a4d-e3c2a8fd10a0,Q175166,,,,,,,
Q94696638,St. Sebastian,cf1aea5a-4a06-1775-1791-bf1b413e982d,Q1348059,,,,,,,
Q94696965,Madonna and Child,3532a08d-454f-8d07-462d-060a8e1aeae3,Q1348059,,,,,,,
Q94696965,Madonna and Child,8db3c308-46e9-bcae-4a33-438dc3df4a3c,Q175166,,,,,,,
Q94701366,Seated Warrior,527b44c8-4efa-b493-9c90-38cc5be29105,Q42302,Q174219,,,,,,
Q94701366,Seated Warrior,527b44c8-4efa-b493-9c90-38cc5be29105,Q42302,Q860861,,,,,,
Q94702218,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere""",1e6f33b0-44a5-c23d-481b-a43a276070f6,Q175166,,,,,,,
Q94702218,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere""",ec2285ad-47a1-333d-ce32-1b5c11151dc1,Q1348059,,,,,,,
Q94702395,St. Louis of Toulouse,1ce89590-4a20-af72-3b96-fb0255b6e64f,Q175166,,,,,,,
Q94702395,St. Louis of Toulouse,c2aeef24-4a78-b9b4-2ba6-8371e7ebef95,Q1348059,,,,,,,
Q94702413,Madonna and Child,3b96f070-4cb1-7341-72fc-67a151a78b82,Q1348059,,,,,,,
Q94702413,Madonna and Child,d3620f18-4b28-dfd3-eec2-4493a1240da0,Q175166,,,,,,,
Q94702420,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist",16d03a69-4cf3-f91e-a942-b5701b0d4c8f,Q1348059,,,,,,,
Q94702420,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist",f2515edd-429c-0d26-8c1c-a7c9d4f17c22,Q175166,,,,,,,
Q94702774,A Baptismal Ceremony,42de8307-4330-7b78-ae77-de5cb0ef0876,Q1348059,,,,,,,
Q94702774,A Baptismal Ceremony,6a29a319-4e4f-b1ce-2fd9-a8f16180e4eb,Q175166,,,,,,,
Q94702974,St. Sebastian,8638011f-4548-4f23-a6f6-c49e7efa4826,Q175166,,,,,,,
Q94702974,St. Sebastian,cebed321-4b68-39dc-bc91-a972220da4ea,Q296955,,,,,,,
Q94702974,St. Sebastian,d3082923-4957-2784-7d4c-20470bfb2c89,Q1348059,Q861259,,,,,,
Q94824558,Cat,2d87420e-4817-4939-1dc2-0eabc6fc6310,Q34095,,,,,,,
Q94826345,Ding ware vessel with incised designs of lilies,bde21493-4da7-3a94-304b-fb8b7eb05c24,Q130693,,,,,,,
Q94827808,Byzantine coin,c7980e14-4180-68de-d4f9-7d60d52b51aa,Q897,,,,,,,
Q94830050,Running Bear Effigy,1ff75ff6-4960-3524-95fd-49474c9115c6,Q830894,,,,,,,
Q94832545,Still-life with Poppies,9b3ef763-4c65-ad06-e377-b66d24ba347e,Q296955,,,,,,,
Q94832545,Still-life with Poppies,ef86ad36-4397-d349-438b-dbf4f7f2d8c6,Q12321255,,,,,,,
Q94835121,Reclining Nude,23d9dc8f-40df-e2e3-ba7c-de5331780374,Q296955,,,,,,,
Q94835121,Reclining Nude,7a717bd1-4333-7685-ef63-39eb0ccb1ad8,Q12321255,,,,,,,
Q94837681,Angry Cat,72f4ef2a-47e0-b1fe-c87b-baf890b1b35b,Q127418,,,,,,,
Q94970906,Ball player in warrior bird costume,028c6c6f-4804-ab2d-f47c-5b402ae45787,Q45621,,,,,,,
Q94971052,Quilt with blue & red star pattern,b3deaaaf-4b45-c9c9-3ae5-a9d39d4e2e58,Q11457,,,,,,,
Q94971493,Red-figure kylix,d8ca02e4-469b-d91f-3b83-0f9ee2122509,Q60424,,,,,,,
Q94971573,The Infant Shakespeare Attended by Nature and the Passions,65f31cc9-4777-0b1d-5dc8-160caa5674f5,Q296955,,,,,,,
Q94971573,The Infant Shakespeare Attended by Nature and the Passions,b492493f-4c55-8c64-2280-eb3a31bbbedc,Q12321255,,,,,,,
Q95743293,Portrait of Dolly Parton,,,,,,,,,
Q95743325,Polaroid of Dolly Parton,,,,,,,,,
Q95743495,Supper at Emmaus,b01a8013-44a6-68c4-78bb-09ad2d6e5d7b,Q286,,,,,,,
Q96063416,West African Doll,3ccea54f-4eb8-b4b3-9215-3dccfd6ecb4d,Q1161827,,,,,,,
Q96063416,West African Doll,25eb75bb-46ab-d1b0-4b71-4f7014d2de0a,Q76626,,,,,,,
