qid,label
Q1107510,KeresztÃ©ny SzÃ³
Q1381202,Evangelische Theologie
Q1514304,Journal of Homosexuality
Q15707062,Journal of American History
Q15707782,Journal of Early Christian Studies
Q15710071,Journal of the American Academy of Religion
Q15710137,Review & Expositor
Q15710287,Toronto Journal of Theology
Q15716275,Neue Zeitschrift für Systematische Theologie und Religionsphilosophie
Q15716311,Sixteenth Century Journal
Q15716423,Philosophy Today
Q15716491,Union Seminary Quarterly Review
Q15716523,Fides et historia
Q15716715,Notre Dame Philosophical Reviews
Q15724475,Praktische Theologie
Q15746447,The Bible Today
Q15749151,Berliner Theologische Zeitschrift
Q15749660,Religion Compass
Q15749979,PEETERS ONLINE JOURNALS-Studies in Liturgy
Q15750019,Journal of Feminist Studies in Religion
Q15750632,Issues in Integrative Studies
Q15751172,"Race, Ethnicity and Education"
Q15752096,Sociological Spectrum
Q15752279,Worship
Q15753036,"Meridians: feminism, race, transnationalism"
Q15753228,Families in Society
Q15753491,Journal of Refugee Studies
Q15753618,Pastoral Liturgy
Q15753676,Nashim: A Journal of Jewish Women's Studies & Gender Issues
Q15753706,Journal of Pastoral Care & Counseling
Q15753995,Anglican Theological Review
Q15754071,Norsk teologisk tidsskrift
Q15754681,Horizons in Biblical Theology
Q15754869,Journal of the Kafka Society of America
Q15754942,American Journal of Theology and Philosophy
Q15755002,Political Theology
Q15755037,Jewish Social Studies
Q15755134,Theological Education
Q15755173,Virginia Magazine of History and Biography
Q15755506,The Journal of Southern History
Q15755591,Journal of African American Studies
Q15755692,Journal of the European Society of Women in Theological Research
Q15755753,Journal of American Ethnic History
Q15755905,Studies in Philology
Q15756224,Forum for Social Economics
Q15756294,Practical Theology
Q15756681,Journal of International Women's Studies
Q15757029,New theology review
Q15757109,TransversalitÃ©s: Revue de lâ€™Institut Catholique de Paris
Q15757115,La Maison-Dieu
Q15758971,Proceedings of the North American Academy of Liturgy
Q15759600,Enchoria
Q15759717,Review of Politics
Q15759761,Journal of Ecumenical Studies
Q15760054,"Black Women, Gender & Families"
Q15760154,Journal of Religious Ethics
Q15760387,Studia Liturgica
Q15760555,Hebrew Studies
Q15760865,Journal of Medieval and Early Modern Studies
Q15761107,International Journal of Practical Theology 
Q15762047,Review of Religious Research
Q15762263,positions
Q15762548,Ecumenical Review
Q15763031,Modern Judaism
Q15763170,Review for Religous
Q15763357,International Journal for Philosophy of Religion
Q15763974,Review of Biblical Literature
Q15763977,Perspectives in Religious Studies
Q15764166,Horizons
Q15764425,Sociology of Religion
Q15764810,Prooftexts
Q15766254,Pastoral Psychology
Q15766683,Teaching Theology & Religion
Q15766739,The Germanic Review
Q15766750,Journal of Children & Poverty
Q15767078,Australian Biblical Review
Q15767222,Theology and Sexuality
Q15767535,Journal of the Society of Christian Ethics
Q15767635,Method and Theory in the Study of Religion
Q15816429,Dialog
Q15816598,Homiletic
Q15816830,Black Theology : An International Journal
Q15816920,Bulletin for the Study of Religion
Q15817029,Sociological Focus
Q15817589,The International Journal of Africana Studies
Q15817868,East European Jewish Affairs
Q15864016,Christian History Institute
Q1667631,"International Council of Christians and Jews, Scholarly Contributions"
Q16857550,transversal
Q1766173,Choice
Q18215981,SAGE Open
Q1825683,The Christian Century
Q18350356,Humanity & Society
Q18392457,Spring
Q19392473,Tidsskrift for teologi og kirke.
Q1941982,Modern Austrian Literature
Q1952131,The International Journal of Psychoanalysis
Q20081140,Church History
Q20925657,The American Historian
Q2285224,Signs
Q22907599,Currents in Theology and Mission
Q22908629,Semeia
Q24037678,H-Net Reviews
Q2412214,The Jewish Quarterly Review
Q27713170,Second Opinion
Q27715702,Centennial Review
Q27715950,Koinonia
Q27716433,Soviet Studies
Q27716914,Sh'ma: a journal of Jewish responsibility
Q27716917,Christianity and Crisis
Q27716963,US Catholic
Q27717019,Church and State
Q27717126,Wesleyan Theological Journal
Q27717207,Encounter
Q27717700,Research in the Sociology of Health Care
Q27718682,The Western Journal of Black Studies
Q27719187,Bulletin of the Park Ridge Center
Q27719353,Conscience: Catholics for a Free Choice
Q27724813,Journal for Social Action in Counseling and Psychology
Q27724937,Journal of the Interdenominational Theological Center
Q27725823,International Journal of Social Science Studies
Q2842807,America: The National Catholic Review
Q28872485,Revue germanique internationale
Q303410,Concilium: Internationa journal of theology
Q3074754,"Focus, Boston University School of Theology"
Q3521429,The Jerusalem Report
Q3523724,Theological Studies
Q3656266,American Imago
Q38312865,New Directions for Philanthropic Fundraising
Q389936,American Historical Review
Q4041879,Journal of Biblical Literature
Q4041903,The Journal of Theological Studies
Q4051386,Theology Today
Q4903105,Bible Review
Q4903261,Biblical Archaeology Society Online Archive
Q4903264,Biblical Interpretation
Q4903269,Biblical Theology Bulletin
Q4984286,Buddhist–Christian Studies
Q5024509,Calvin Theological Journal
Q50426286,Estudos Teológicos
Q50426426,Estudos de Religião
Q50432461,Nederduitse Gereformeerde Teologiese Tydskrif
Q50434867,XVII-XVIII. Revue de la Société d’études anglo-américaines des XVIIe et XVIIIe siècles
Q50478535,The Covenant Quarterly
Q5053078,Catholic Biblical Quarterly
Q5061045,Central European History
Q50814896,Studies in Christian-Jewish Relations
Q50815593,Journal of French and Francophone Philosophy
Q50816836,Podium
Q5123518,City & Community
Q5158991,Concordia Theological Quarterly
Q5165005,Contemporary Sociology: A Journal of Reviews
Q5188217,Cross Currents
Q5281463,DisciplesWorld
Q5382167,Ephemerides Theologicae Lovanienses
Q5419149,Ex Auditu
Q5421618,Expository Times
Q5433232,Family Relations
Q5442855,Feminist Criminology
Q5442869,Feminist Theology
Q5448899,Film and History
Q5618698,Holocaust and Genocide Studies
Q5676604,Harvard Theological Review
Q53952460,Princeton Seminary Bulletin
Q57615071,Critical Research on Religion
Q5957267,Hypatia
Q6005495,The Historian 
Q6071283,Irish Theological Quarterly
Q6087079,Proceedings of the American Philosophical Society
Q62259203,Journal of Africana Religions
Q6294702,Journal for the Scientific Study of Religion
Q6294705,Journal for the Study of the Historical Jesus
Q6294865,Journal of Black Studies
Q6294876,Journal of British Studies
Q6294950,Journal of Church and State
Q6295487,Journal of Marriage and Family
Q6295844,Journal of Religion and Health
Q6295853,Journal of Religious History
