qid,label_en,main_subject_uuid,main_subject,main_subject_ref1_hash,main_subject_ref1_statedIn,main_subject_ref1_referenceUrl,main_subject_ref1_retrieved_nodeId,main_subject_ref1_retrieved_val,main_subject_ref1_retrieved_prec
Q100138720,Mari Annales de Recherches Interdisciplinaires,,,,,,,,
Q100144386,NABU Nouvelles Assyriologiques Breves et Utilitaires,,,,,,,,
Q100145461,Ideas: From the National Humanities Center,993dc6a7-4649-f823-7f9b-1b5f27df40f9,Q80083,,,,,,
Q100152626,Orientalia,acc7e9f1-44ec-fee1-2064-0fb57bda37a1,Q4752891,,,,,,
Q100152964,Revue Hittite et Asianique,,,,,,,,
Q100203879,Essedue Edizioni,,,,,,,,
Q100326549,Bulletin dei verbum,,,,,,,,
Q100326621,"Listening: journal of communication ethics, religion, and culture",,,,,,,,
Q100328257,SBL Society Report,,,,,,,,
Q100354047,Journal of Hispanic/Latino Theology,,,,,,,,
Q100354778,The Virginia Seminary Journal,,,,,,,,
Q100388108,Trinity Theological Journal,,,,,,,,
Q100602071,Bridges: a cross-cultural quarterly,,,,,,,,
Q100604470,Health Wise,,,,,,,,
Q100604537,The Other Journal,,,,,,,,
Q100605109,Wellsprings,,,,,,,,
Q100605240,Vanderbilt University Daily Register,,,,,,,,
Q100694040,Alive Now,,,,,,,,
Q100697033,Reflections,,,,,,,,
Q100697813,Journal of Women and Religion,,,,,,,,
Q100698279,The Other Side,,,,,,,,
Q100698886,Annual of the Society of Christian Ethics,,,,,,,,
Q100699162,AME Church Review,,,,,,,,
Q100699691,Grey City of the Chicago Maroon,,,,,,,,
Q100708533,Harvard Divinity Bulletin,,,,,,,,
Q100708763,Womanist,,,,,,,,
Q100718707,Achaemenid Research on Texts and Archaeology,134ad2ea-4ef4-2a5e-294f-548c8264e95a,Q4752891,,,,,,
Q100724052,Bulletin of Council on the Study of Religion,,,,,,,,
Q100938316,Faith and Form,67a1c3ab-4835-ccc0-b9ca-d75f5d1fea29,Q645717,,,,,,
Q100938316,Faith and Form,4a94328c-4bda-d958-f2db-aea087088d7a,Q2860334,,,,,,
Q100938861,Faith and Leadership,,,,,,,,
Q100943219,Journal of Namibian Studies: History Politics Culture,,,,,,,,
Q100978677,New Conversations,,,,,,,,
Q100979453,Nova et Vetera (English version),17e6a811-466a-cc69-f17a-1d05d5849350,Q34187,,,,,,
Q100979880,Occasional Papers,,,,,,,,
Q100980103,Soma: An International Journal of Theological Discourses and Counter-Discourses,,,,,,,,
Q100980566,Christian Spirituality Bulletin,,,,,,,,
Q100997636,Vital Theology,30821e68-453b-1227-0496-b45cecfdfacb,Q34178,,,,,,
Q1107510,Keresztény Szó,4d484d71-468f-ba69-e4ae-0a584ecc37f4,Q9592,,,,,,
Q1107510,Keresztény Szó,88bcc5db-4067-09da-01d5-38397a472fb6,Q5043,,,,,,
Q1167163,Das Argument,,,,,,,,
Q11956877,Acta ad Archaeologiam et Artium Historiam Pertinentia,,,,,,,,
Q1273053,Journal of Cuneiform Studies,104468EA-1D85-418D-A14A-2912C0AD1A89,Q156859,,,,,,
Q1381202,Evangelische Theologie,7f11882b-49f7-aeda-88e5-fd26b9382387,Q34178,,,,,,
Q1381202,Evangelische Theologie,cc846217-4398-e6f2-0ac2-6e6e103d796a,Q373069,,,,,,
Q1514304,Journal of Homosexuality,BDFE40D6-4383-42C0-B0CF-ACEA99B61274,Q98929208,,,,,,
Q15707062,Journal of American History,04483B9C-396E-49E0-8B71-A5DBC7055F4F,Q131110,,,,,,
Q15707782,Journal of Early Christian Studies,b434e9f5-466e-04a5-0ea3-7ac59ce027e6,Q235329,,,,,,
Q15710058,Studies in Iconography,FEA019B6-1E1D-477B-AB43-EEC2A97DBD6F,Q50637,,,,,,
Q15710071,Journal of the American Academy of Religion,E89CCFD4-D459-48BC-AC82-4F13784D08E6,Q34187,,,,,,
Q15710137,Review & Expositor,CF9A5636-9EEC-4F2F-9E91-C06BD8F528B1,Q34178,,,,,,
Q15710287,Toronto Journal of Theology,CB74A534-79B5-4BED-8E37-5796C04F1B78,Q34178,,,,,,
Q15716275,Neue Zeitschrift fuer Systematische Theologie und Religionsphilosophie,0ED66663-8D55-4CDE-839B-547F4730E570,Q34178,,,,,,
Q15716311,Sixteenth Century Journal,A192C09B-543C-4C5C-AB4F-19A2D6765637,Q309,,,,,,
Q15716311,Sixteenth Century Journal,bf1a89fd-4228-bafd-956d-fe2d2195967a,Q1066186,,,,,,
Q15716423,Philosophy Today,BD531928-1435-4AD4-BB20-7BF9B96A9143,Q5891,,,,,,
Q15716491,Union Seminary Quarterly Review,669D1FF9-AE2F-43DB-8B83-94AD229E2680,Q34178,,,,,,
Q15716523,Fides et Historia,48ADD5BE-F0CF-47F8-8056-A40D22BF00B9,Q309,,,,,,
Q15716715,Notre Dame Philosophical Reviews,,,,,,,,
Q15724368,Intercultural Theology: Journal of Mission Studies,,,,,,,,
Q15724475,Praktische Theologie,6139a249-43d9-3622-06ba-76e4a59ee93b,Q1383443,394f33a0562cc3bf7c124a0da07839cdd7af6e8d,Q186844,,,,
Q15724475,Praktische Theologie,d72c7ae1-4b93-7328-be3e-b2c2ec8eefa9,Q1381199,394f33a0562cc3bf7c124a0da07839cdd7af6e8d,Q186844,,,,
Q15746149,Maarav: a journal for the study of the Northwest Semitic languages and literatures,240e3b87-4752-36ea-84ae-95c258270fef,Q64810203,,,,,,
Q15746151,Mission Studies,,,,,,,,
Q15746447,The Bible Today,365c0c5d-40a2-5d3c-06b8-08222b190063,Q794605,,,,,,
Q15749151,Berliner Theologische Zeitschrift,DA62F478-FA4B-4B17-9827-4FA88E75C6A0,Q34178,,,,,,
Q15749660,Religion Compass,9b2f5182-4205-358d-eb14-8ff804e1ce41,Q34187,,,,,,
Q15749979,Questions Liturgiques,,,,,,,,
Q15750019,Journal of Feminist Studies in Religion,8e6709ad-4689-25ab-373e-146d24d3f689,Q7252,,,,,,
Q15750019,Journal of Feminist Studies in Religion,d23460bd-4a1e-267a-4b1f-f51a1e5267c8,Q60064288,,,,,,
Q15750632,Issues in Integrative Studies: an interdisciplinary journal,,,,,,,,
Q15750752,Journal of Presbyterian History,e669e47d-4d7f-8445-2fdd-a0263105b97c,Q1800439,,,,,,
Q15751172,"Race, Ethnicity and Education",D3A74C50-3C03-4533-9ED4-162AB63560BF,Q41870,,,,,,
Q15752096,Sociological Spectrum: official journal of the Mid-South Sociological Association,,,,,,,,
Q15752279,Worship,501d9baf-4c13-1eec-ac32-c46cf1fe049e,Q172331,,,,,,
Q15752279,Worship,4476c036-44f8-070c-f098-8cd86945cf30,Q2514663,,,,,,
Q15753036,Meridians,1c4f42ec-4b02-6924-065b-dcb14f7adbf2,Q1665984,,,,,,
Q15753036,Meridians,eda300a7-4fbf-6269-4566-36c88589444f,Q7252,,,,,,
Q15753228,Families in Society: the journal of contemporary social services,b9d42d6a-43dc-261f-119a-6f5a84f7abe2,Q16605260,,,,,,
Q15753228,Families in Society: the journal of contemporary social services,5f01e3f1-4f7a-72da-f6f3-51e80ad8bcc9,Q205398,,,,,,
Q15753491,Journal of Refugee Studies,23F686C3-6734-458A-8FC6-1918296C5EE3,Q1932514,,,,,,
Q15753618,Pastoral Liturgy,321af082-4129-a82c-c76c-43ffcf2accb4,Q172331,,,,,,
Q15753618,Pastoral Liturgy,f94623a6-4afe-29bb-8a7b-8363474ae0b0,Q34178,,,,,,
Q15753676,Nashim,5cbe5113-485a-eeaa-1c37-af414b600be7,Q1662673,,,,,,
Q15753676,Nashim,687c8548-42d6-683b-9035-12a34c77d08f,Q42002,,,,,,
Q15753706,Journal of Pastoral Care and Counseling,89A0769E-DE08-4180-9F4B-ABDBD2D12143,Q1081988,,,,,,
Q15753995,Anglican Theological Review,7B0B92EF-2D15-4096-8840-224D39DDA7CB,Q34178,,,,,,
Q15754071,Norwegian Theological Journal,34eb00bc-48ba-b6e2-0317-e148da3dd24e,Q1383443,,,,,,
Q15754229,Clio,5c0cb32c-4802-4ac7-3c1e-e8d42204be74,Q849359,,,,,,
Q15754229,Clio,0b53c1f6-42d4-13dd-03b4-519b0475e421,Q1066186,,,,,,
Q15754229,Clio,034eaef1-406f-a90e-ecdf-ff57aaf8a587,Q5891,,,,,,
Q15754347,Dead Sea Discoveries,7d9e3ebf-4d1f-972d-f28d-fc5108a48365,Q3533348,,,,,,
Q15754681,Horizons in Biblical Theology,6dfbb287-4016-ef48-6456-a6b60d292b44,Q794605,,,,,,
Q15754869,Journal of the Kafka Society of America,8c57ee83-4ab7-72e9-6e22-02702cf2c449,Q5891,,,,,,
Q15754869,Journal of the Kafka Society of America,efdb37d9-4699-34b0-bced-f4a206e9f166,Q3812439,,,,,,
Q15754942,American Journal of Theology and Philosophy,9bb2f978-4bbe-d8cb-9439-178715221658,Q34178,,,,,,
Q15754942,American Journal of Theology and Philosophy,c91c1fde-45ec-b777-e579-60a890e45399,Q5891,,,,,,
Q15755002,Political Theology,b5ccd0e3-43ad-64b4-fec5-540df8332452,Q781421,,,,,,
Q15755037,Jewish Social Studies,548e949c-4872-0301-214e-f80b27587467,Q42002,,,,,,
Q15755134,Theological Education,7cdb8393-49ad-bbf7-1f27-bb816147a449,Q34178,,,,,,
Q15755134,Theological Education,c12169c7-4a7a-5a07-7e98-e666e70bb096,Q8434,,,,,,
Q15755173,Virginia Magazine of History and Biography,3c33eb33-4d87-5acd-c2ad-6b2acc5af2f8,Q1370,,,,,,
