qid,label_en,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_statedIn,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_ref1_hash,inception_ref1_statedIn,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,discontinued_date_uuid,discontinued_date_nodeId,discontinued_date_val,discontinued_date_prec,discontinued_date_ref1_hash,discontinued_date_ref1_statedIn,discontinued_date_ref1_referenceUrl,discontinued_date_ref1_retrieved_nodeId,discontinued_date_ref1_retrieved_val,discontinued_date_ref1_retrieved_prec,official_website_uuid,official_website,official_website_work_language,official_website_ref1_hash,official_website_ref1_statedIn,official_website_ref1_referenceUrl,official_website_ref1_retrieved_nodeId,official_website_ref1_retrieved_val,official_website_ref1_retrieved_prec,follows_uuid,follows,follows_start_time_nodeId,follows_start_time_val,follows_start_time_prec,follows_ref1_hash,follows_ref1_statedIn,follows_ref1_referenceUrl,follows_ref1_retrieved_nodeId,follows_ref1_retrieved_val,follows_ref1_retrieved_prec,followed_by_uuid,followed_by,followed_by_start_time_nodeId,followed_by_start_time_val,followed_by_start_time_prec,followed_by_ref1_hash,followed_by_ref1_statedIn,followed_by_ref1_referenceUrl,followed_by_ref1_retrieved_nodeId,followed_by_ref1_retrieved_val,followed_by_ref1_retrieved_prec,publication_interval_uuid,publication_interval_nodeId,publication_interval_val,publication_interval_unit,publication_interval_ref1_hash,publication_interval_ref1_statedIn,publication_interval_ref1_referenceUrl,publication_interval_ref1_retrieved_nodeId,publication_interval_ref1_retrieved_val,publication_interval_ref1_retrieved_prec
Q100138720,Mari Annales de Recherches Interdisciplinaires,284512f6-4f77-9dd9-a337-62e33b1100d4,Q142,,,,,,,8db71b19-4269-359f-a9c9-163c77078733,e1afe267535045d03b042d597160ddf8,1982-01-01T00:00:00Z,9,,,,,,,d69103d1-43c1-53b1-a8cf-c0cf0fb0585b,4d2dbe814138b2321472cd4739421a8a,1990-01-01T00:00:00Z,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q100144386,NABU Nouvelles Assyriologiques Breves et Utilitaires,a297dec3-4062-02d1-dd49-0de1d0b73507,Q142,,,,,,,78db4cc2-4c98-d194-f269-d027bc722aa3,764eb9a11460dd8f6b5956f3f77f2129,1988-01-01T00:00:00Z,9,,,,,,,,,,,,,,,,,8b03fa3f-4cbf-5fd3-1955-964853e2ee77,http://sepoa.fr/?page_id=14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8b3d75a5-4fcd-dd4c-58d9-f4804121838c,2833eee66fc9d46671476d479e14b0a6,3,Q5151,,,,,,
Q100145461,Ideas: From the National Humanities Center,f073cd01-4019-857b-8a70-03913dae2f1d,Q30,,,,,,,b0536ae2-465d-fad3-5c2a-7717d454b8ae,811f31244f158332fb4f1e13ae9f4d50,1979-01-01T00:00:00Z,9,,,,,,,2b52774e-45df-6286-f91a-c9c2525e5822,d52588577463d86ae0db06ee93765764,2002-01-01T00:00:00Z,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8f04322d-4739-c67e-f909-9d36f6a5842a,363df464f9a59151ba0859fd261cfae6,6,Q5151,,,,,,
Q100152626,Orientalia,c7be7308-4fae-6272-e52d-bff8e7ead7c4,Q38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b652c6c1-485d-02ea-93bb-ddf4b39edb20,2833eee66fc9d46671476d479e14b0a6,3,Q5151,,,,,,
Q100152964,Revue Hittite et Asianique,b02a2654-44c2-7688-ce13-de2ad8fde6ff,Q142,,,,,,,f3285b08-402b-a5a6-e50e-86def4688d4e,dbd0be1d7c1dc59596f8f5fa3fc01747,1930-01-01T00:00:00Z,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ee711acb-46f7-c0c4-4f78-d98ec4d3af49,eec7ad2639de82e2e296edc01b4778b7,1,Q577,,,,,,
Q100203879,Essedue Edizioni,,,,,,,,,7c6b10c8-41d6-6caa-e33e-1141010b4123,6356f36d553fe338565b523f374eda3a,1981-01-01T00:00:00Z,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q100326549,Bulletin dei verbum,6aa5b5d3-427f-fcc6-d4c1-169b9eb64f51,Q183,,,,,,,28d4fabd-4b02-1fed-23ba-96902b8b8f17,b0b85edda40019fb5082aa68d172521b,1986-01-01T00:00:00Z,9,,,,,,,,,,,,,,,,,7bdad5d2-416c-d91a-66b8-9f53c1fe34b4,https://c-b-f.org/en/Materials/CBF-Bulletin-BDVdigital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q100326621,"Listening: journal of communication ethics, religion, and culture",4a9ca7cd-4cc9-68eb-a135-11075f2ab10d,Q30,,,,,,,b277f336-4482-11a0-2c49-8239aaada32c,5b788c4ac8f3dd75227ba8a7e026096c,1966-01-01T00:00:00Z,9,,,,,,,,,,,,,,,,,39a912af-4c22-42a9-53e2-983ed5e98092,http://www.listeningjournal.us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2698e75e-46b6-23cd-a0ad-088b43404c8b,8d78f8c3f267287e111c753eae34f684,4,Q5151,,,,,,
Q100328257,SBL Society Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ace677b-4115-5ede-9b68-800f53b213c0,https://www.sbl-site.org/aboutus/reports.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d7e9e55-43cf-902d-8897-49c0897e818f,eec7ad2639de82e2e296edc01b4778b7,1,Q577,,,,,,
Q100354047,Journal of Hispanic/Latino Theology,5b40522f-47dd-1db8-f4e2-f47ecd2d64e8,Q30,,,,,,,f88d2d77-43d8-0ef3-1e10-8f58ca5def2f,17c6f9268b93225c363698e76567a8af,1993-01-01T00:00:00Z,9,,,,,,,05ead8dd-4e72-0ae1-4bf1-35e290c66c7a,d08540251db5f4703c45d338e4657af7,2003-01-01T00:00:00Z,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ae5e47f2-4bf8-faeb-6114-6e16cc4b8c7a,2833eee66fc9d46671476d479e14b0a6,3,Q5151,,,,,,
