qid,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_statedIn,publisher_ref1_referenceUrl,publisher_ref1_retrieved_nodeid,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec,label_en
Q15754942,,,,,,,,,American Journal of Theology and Philosophy
Q15753995,592C498A-5C0E-473E-86BF-8531D0BBF115,Q7458159,,,,,,,Anglican Theological Review
Q15749151,AAB4834A-9B37-4EF4-AF87-6FEE83F80C7A,Q98818,,,,,,,Berliner Theologische Zeitschrift
Q4903269,8C41E708-E1F8-4686-B463-805B5BE45B13,Q251266,,,,,,,Biblical Theology Bulletin
Q15816830,7b1ecc81-46a8-d269-6b49-5c4bba3c1230,Q1508259,,,,,,,Black Theology
Q4984286,78BCA58F-389E-4A9C-BE7D-87579E3B8DC2,Q4358493,,,,,,,Buddhist–Christian Studies
Q15816920,06640965-443b-9aea-7c00-1ebe72f58af7,Q5384541,,,,,,,Bulletin for the Study of Religion
Q5024509,AD571913-BEEA-40EE-BD44-1DDF7598D61C,Q5024513,,,,,,,Calvin Theological Journal
Q5158991,EE104C7C-166B-4E0A-8863-AF688ADE8819,Q693844,,,,,,,Concordia Theological Quarterly
Q57615071,bcbe573b-49e3-c7ff-a39c-2d2dd151753b,Q251266,,,,,,,Critical Research on Religion
Q15817868,5FCCE325-A35B-46A0-8898-38F00C8CF39E,Q1508259,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,,East European Jewish Affairs
Q15762548,96F755D3-CAD9-4A14-93FA-D817E44350D5,Q767319,e30517c1c5f0c19bbcf025749b86d75f12a4f461,,http://wileyonlinelibrary.com/journals-list,825e5dfac279808a84e474cd92e55237,2018-04-25T00:00:00Z,11,Ecumenical Review
Q5382167,6DF0C868-A814-44AF-943D-7590AC940638,Q21406262,,,,,,,Ephemerides Theologicae Lovanienses
Q50426426,5EC3BF59-D92D-465F-BD4C-40D964689D34,Q7894387,7bdb9fe67e2d0a6d5d3e24b8fdaa738eee0dcfd3,Q1227538,https://doaj.org/toc/0103-801X,,,,Estudos de Religião
Q50426286,6DDBB50C-09D4-4FB0-8084-E80C29718E06,Q10274510,d3d9912915f98b0e2558226075c7b7b9b7028493,Q1227538,https://doaj.org/toc/0101-3130,,,,Estudos Teológicos
Q5433232,AB2C28A7-DC09-4D5C-90CB-EA9F816F9E80,Q767319,,,,,,,Family Relations
Q5442869,81FC8017-297D-4C8C-8ADE-EFA1C32548F9,Q251266,,,,,,,Feminist Theology
Q5676604,0BC8A795-C220-4325-95AC-A582D915F066,Q912887,,,,,,,Harvard Theological Review
Q15754681,ca4dde3f-4a08-6fb2-11c4-eab77c806b36,Q917031,,,,,,,Horizons in Biblical Theology
Q18350356,B2828715-BECE-414A-AA4F-A506222A7C74,Q251266,,,,,,,Humanity & Society
Q15763357,D4BEDF6E-5E61-4D12-B05E-02CD49EE0FC5,Q7580872,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,,International Journal for Philosophy of Religion
Q15761107,d77c266d-4d6e-f7fb-9b8a-6dd199099cf3,Q98818,,,,,,,International Journal of Practical Theology
Q6071283,F2EBB6BE-8CEA-4158-A72C-D9870C954A77,Q251266,,,,,,,Irish Theological Quarterly
Q15755037,75e765ee-4d9f-afbd-3ab2-8e9866976f0b,Q11130954,,,,,,,Jewish Social Studies
