qid,label_en,title_uuid,title,title_ref1_hash,title_ref1_statedIn,title_ref1_referenceUrl,title_ref1_retrieved_nodeid,title_ref1_retrieved_val,title_ref1_retrieved_prec
Q15754942,American Journal of Theology and Philosophy,3E6DC457-4058-4C58-8851-DF73AC7C3087,American Journal of Theology and Philosophy,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15753995,Anglican Theological Review,F0E9B252-B0C8-41FA-B7A8-5AADC2A168A6,Anglican Theological Review,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15749151,Berliner Theologische Zeitschrift,C1AC248A-9426-4B8D-9EDD-DD61BF19BA0E,Berliner Theologische Zeitschrift,,,,,,
Q15749151,Berliner Theologische Zeitschrift,4BC1C45E-7E24-4735-B9AA-40A69D21E64F,Berliner Theologische Zeitschrift,,,,,,
Q4903269,Biblical Theology Bulletin,4D00E841-89F7-47F1-AF05-7D4F64E836DD,Biblical Theology Bulletin,,,,,,
Q15816830,Black Theology,3580B292-14BE-4DEF-B8B2-54785FFB8EAF,Black Theology,cb027ec1dd27a771321740db85c04f34345e3922,Q15794938,,,,
Q4984286,Buddhist–Christian Studies,5218BD68-AEB4-46D8-A2AF-DDC2AD30638E,Buddhist-Christian Studies,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15816920,Bulletin for the Study of Religion,5F19B809-E7B6-4E38-866C-9F6135C2DAF5,Bulletin for the Study of Religion,cb027ec1dd27a771321740db85c04f34345e3922,Q15794938,,,,
Q5024509,Calvin Theological Journal,9B5FC4FF-999B-448A-AA30-BA4B3C4B227B,Calvin Theological Journal,,,,,,
Q5158991,Concordia Theological Quarterly,CF232E4B-615D-4CF5-ABAE-C73695DDB2D2,Concordia Theological Quarterly,,,,,,
Q57615071,Critical Research on Religion,5acb1c77-443d-c7ba-3952-7035db05ecdb,Critical Research on Religion,,,,,,
Q15817868,East European Jewish Affairs,83A3154F-5982-4F4A-9E94-1D1FD871FEE6,East European Jewish Affairs,cb027ec1dd27a771321740db85c04f34345e3922,Q15794938,,,,
Q15817868,East European Jewish Affairs,b56bfaff-48b7-a199-88fc-2387226bc2dc,Soviet Jewish Affairs,,,,,,
Q15762548,Ecumenical Review,71E5B7FA-D21E-41B5-94CE-66988A6DB16D,Ecumenical Review,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q5382167,Ephemerides Theologicae Lovanienses,9957A9AA-FB23-4122-93C2-2EE1F8E45267,Ephemerides Theologicae Lovanienses,,,,,,
Q50426426,Estudos de Religião,,,,,,,,
Q50426286,Estudos Teológicos,a11e6899-473f-1cd8-4392-820486357c77,Estudos Teologicos,,,,,,
Q5433232,Family Relations,150B0136-D7B9-444F-ADBE-900A986BD0C3,Family Relations,,,,,,
Q5442869,Feminist Theology,9D01E3DB-058E-44F7-9138-BF4027042468,Feminist Theology,,,,,,
Q5676604,Harvard Theological Review,D24248B6-6DA3-443F-A9A0-183F05730AA6,Harvard Theological Review,,,,,,
Q15754681,Horizons in Biblical Theology,6B552E5E-8151-4796-A635-112FF4B57ABA,Horizons in Biblical Theology,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q18350356,Humanity & Society,d1729a9a-4e6e-30e7-fc48-47cbae88b09d,Humanity & Society,,,,,,
Q15763357,International Journal for Philosophy of Religion,50AB7D6D-6C95-483E-9B0D-1E8F70562AE8,International Journal for Philosophy of Religion,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15761107,International Journal of Practical Theology,184757C2-95F6-4869-9C6A-69E101E1DF14,International Journal of Practical Theology,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q6071283,Irish Theological Quarterly,B4D3EB8F-01AA-44E8-96D2-8CCDA20F71E5,Irish Theological Quarterly,,,,,,
Q15755037,Jewish Social Studies,81C3B48D-2CE2-45E0-94CF-D6119E036DA3,"Jewish Social Studies: history, culture and society",1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q6294702,Journal for the Scientific Study of Religion,D66195B5-A55C-4A31-B925-F549860CCC33,Journal for the Scientific Study of Religion,,,,,,
Q62259203,Journal of Africana Religions,5ee42019-40d2-ba3b-2e4f-c52890106e34,Journal of Africana Religions,,,,,,
Q4041879,Journal of Biblical Literature,3937E6D3-D7CB-4FC4-AA8B-D33793E9A008,Journal of Biblical Literature,,,,,,
Q15707782,Journal of Early Christian Studies,6D7AC29B-D45D-40DC-93A7-47638E5A59C6,Journal of Early Christian Studies,,,,,,
Q15750019,Journal of Feminist Studies in Religion,C357449E-DC21-4EA8-81DB-64D65CF5C64D,Journal of Feminist Studies in Religion,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q50815593,Journal of French and Francophone Philosophy,,,,,,,,
Q6295487,Journal of Marriage and Family,0A4A2992-6811-4496-90EF-FD75A9DA55F2,Journal of Marriage and Family,,,,,,
Q63871713,Journal of Pastoral Theology,4435965C-6184-445C-B13F-2BDEA0E6D7C4,Journal of Pastoral Theology,,,,,,
Q15760154,Journal of Religious Ethics,498EB989-179A-4E32-9778-4FB7149F5EBF,Journal of Religious Ethics,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q6295853,Journal of Religious History,8F8B366C-613C-4277-AB44-AC98817F3392,Journal of Religious History,,,,,,
Q15710071,Journal of the American Academy of Religion,05D7EDAB-E2FB-4509-B4DD-826F7168F1A0,Journal of the American Academy of Religion,,,,,,
Q15755692,Journal of the European Society of Women in Theological Research,37AD4804-BB57-492F-82F3-CA7DE4666C2E,Journal of the European Society of Women in Theological Research,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15767535,Journal of the Society of Christian Ethics,37CADFED-BD1E-46BF-9DC6-402B724D63AB,Journal of the Society of Christian Ethics,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q91678397,Journal of theology,af6bf46e-40fe-bcf0-1a18-9bd57346f415,Journal of theology,,,,,,
Q63871731,Liturgy,331536AB-EC82-4B3A-A9D3-419BAB97A06A,Liturgy,,,,,,
Q15767635,Method and Theory in the Study of Religion,8AF7FFA3-2C08-4ACC-A110-F0717310F6C3,Method and Theory in the Study of Religion,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q1941982,Modern Austrian Literature,63BE438C-C438-459E-AB74-AEB6891EFD65,Modern Austrian Literature,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15763031,Modern Judaism,D1FDFCB5-90BF-45A8-A764-BC4A7F8D29F1,Modern Judaism: a journal of Jewish ideas and experience,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q6888892,Modern Theology,323CFF64-3985-4DB9-8A38-22792A221C4D,Modern Theology,,,,,,
Q50432461,Nederduitse Gereformeerde Teologiese Tydskrif,a46ca990-49b2-5378-5522-a2bfb3c7ef54,Nederduitse Gereformeerde Teologiese Tydskrif,,,,,,
Q15716275,Neue Zeitschrift fuer Systematische Theologie und Religionsphilosophie,60E66E36-B4EA-4D64-9D76-9FBA5F809B90,Neue Zeitschrift für Systematische Theologie und Religionsphilosophie,,,,,,
Q38312865,New Directions for Philanthropic Fundraising,0e8ff0ef-40ff-1da6-36eb-9f843dc8d035,New Directions for Philanthropic Fundraising,,,,,,
Q15716715,Notre Dame Philosophical Reviews,13955DEB-E682-4B32-8217-314DD5D3D885,Notre Dame Philosophical Reviews,,,,,,
Q15763977,Perspectives in Religious Studies,7D096A48-B9F9-4BF5-B645-231917558F75,Perspectives in Religious Studies,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15716423,Philosophy Today,4B1D57F7-9E2E-42FB-BB3A-D3AE3D827E46,Philosophy Today,,,,,,
Q50816836,Podium,,,,,,,,
Q15755002,Political Theology,5D3755AD-7BF9-4120-B0DB-48242F0C5A5C,Political Theology,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q15756294,Practical Theology,66396316-FD99-45D7-B25E-29735D086BA8,Practical Theology,1643281ef6e577673e4272176fc12a9fcfa37747,Q15735759,,,,
Q6087079,Proceedings of the American Philosophical Society,4340A250-E1E3-4816-AABB-5EE677FE9957,Proceedings of the American Philosophical Society,,,,,,
