qid,label_en,language_of_work_uuid,language_of_work,language_of_work_ref1_hash,language_of_work_ref1_statedIn,language_of_work_ref1_referenceUrl,language_of_work_ref1_retrieved_nodeId,language_of_work_ref1_retrieved_val,language_of_work_ref1_retrieved_prec
Q100138720,Mari Annales de Recherches Interdisciplinaires,9c41f16f-4427-8c41-bfab-9062a51c4000,Q150,9c4cef29e329aae55fe33567aa5b1612031aee41,Q70460099,,,,
Q100144386,NABU Nouvelles Assyriologiques Breves et Utilitaires,8fadf5ad-4212-c1f7-0264-25ee3650b796,Q150,,,,,,
Q100144386,NABU Nouvelles Assyriologiques Breves et Utilitaires,0cf3a973-4f0a-3851-7f61-5cba5536fc5e,Q1860,,,,,,
Q100145461,Ideas: From the National Humanities Center,b066c045-4dd3-bcfa-620e-ff633e5e64ff,Q1860,19924451666e5aca24cc1cd75b5a992cded55e62,Q70460099,,,,
Q100152626,Orientalia,3f7506ce-4df1-13f8-f021-88b78fddcc51,Q1860,,,,,,
Q100152626,Orientalia,24f3221f-4cc7-9b1f-faf0-8b493179c17e,Q652,,,,,,
Q100152626,Orientalia,26558e5d-40e2-4227-9b2d-60f74c2933d4,Q150,,,,,,
Q100152626,Orientalia,82c636a4-4341-7c46-d72d-f01c231938cd,Q188,,,,,,
Q100152964,Revue Hittite et Asianique,62b23e06-4902-d635-fe45-b990eb411a1f,Q150,,,,,,
Q100203879,Essedue Edizioni,,,,,,,,
Q100326549,Bulletin dei verbum,ba598921-4012-5b1a-ce5d-7cee6c11b8ec,Q1860,,,,,,
Q100326621,"Listening: journal of communication ethics, religion, and culture",3a7bf975-4002-dfeb-8366-e700ab126d1e,Q1860,,,,,,
Q100328257,SBL Society Report,,,,,,,,
Q100354047,Journal of Hispanic/Latino Theology,27def7a9-44f4-ffd3-c6c8-c3d94fa96823,Q1860,,,,,,
Q100354778,The Virginia Seminary Journal,,,,,,,,
Q100388108,Trinity Theological Journal,a365bb72-4021-8b42-fdd7-8c3fd146ab20,Q7850,,,,,,
Q100388108,Trinity Theological Journal,874396dc-44e1-b580-6e9e-2b7234f46ee2,Q1860,,,,,,
Q100602071,Bridges: a cross-cultural quarterly,53f42a28-4946-ae43-0afc-f66adc742f57,Q1860,,,,,,
Q100604470,Health Wise,f796d6ba-4acf-b9b8-1d1f-d5f0d310e8fc,Q1860,,,,,,
Q100604537,The Other Journal,1d95d6b3-45b6-c735-8770-3cba7df87649,Q1860,26074fedcd627335c8a8435ca6e23289dc7744d7,Q70460099,,,,
Q100605109,Wellsprings,0ab9233b-453e-611b-748f-7bf3aa0d7e5a,Q1860,,,,,,
Q100605240,Vanderbilt University Daily Register,87bdde6e-4c68-fed1-7c17-f5dd558ccc52,Q1860,,,,,,
Q100694040,Alive Now,0b618a4e-4415-ec56-de67-10f866c2cd4e,Q1860,,,,,,
Q100697033,Reflections,01da1fd4-4a97-b5b6-88e0-610ec0ef28e5,Q1860,,,,,,
Q100697813,Journal of Women and Religion,b7a92cf5-4544-f334-f18f-f72debcbdb2d,Q1860,4a67346d11bdcfc871bbdc0ac5e02550594231d7,Q70460099,,,,
Q100698279,The Other Side,f7282da8-4c3d-607e-337f-39fcb78e6011,Q1860,4b01ecef45c6b176a622ebd9730bca90d6133a0e,Q70460099,,,,
Q100698886,Annual of the Society of Christian Ethics,4c4522f1-41cd-245e-f116-832be591a4ed,Q1860,8261ec5c5d6bf441fa7a03f2ec9494cf61074bc1,Q70460099,,,,
Q100699162,AME Church Review,566e80f5-407c-2366-f398-9b3498d3f3a5,Q1860,8c3be177f33f38bd13fba6ccb3ed0be57b1dfbb5,Q70460099,,,,
Q100699691,Grey City of the Chicago Maroon,165c382d-4f6b-251f-13e4-27827a841c33,Q1860,,,,,,
Q100708533,Harvard Divinity Bulletin,ad39ef0d-429a-f16e-6821-c59e081172b7,Q1860,1d8c6affe7923c727043920d1f6200a1263afc58,Q70460099,,,,
Q100708763,Womanist,16bc3313-4447-8ce9-d7f8-2c1068fa6dc9,Q1860,,,,,,
Q100718707,Achaemenid Research on Texts and Archaeology,f0ffcf1f-40a8-eef5-646a-fd81f0593ae2,Q1860,,,,,,
Q100718707,Achaemenid Research on Texts and Archaeology,6ae146fb-4bd5-edcf-400f-0c77d97f7332,Q150,,,,,,
Q100724052,Bulletin of Council on the Study of Religion,e20b12f8-468b-cf22-5bf6-0b0aa72ba5ba,Q1860,20426f850b7473414e516f319953c5b24f52be0a,Q70460099,,,,
Q100938316,Faith and Form,6a4c1168-453f-1182-c67b-57ee30c783e2,Q1860,66d825de4fad14c4e087bde120d99ae4333cbb1c,Q70460099,,,,
Q100938861,Faith and Leadership,15bcfa21-44fb-c07c-218d-c0a8dead822b,Q1860,,,,,,
Q100943219,Journal of Namibian Studies: History Politics Culture,c065a528-45f6-02fa-a601-0288ba715aa3,Q1860,,,,,,
Q100978677,New Conversations,f75a2373-4314-4ffa-1e4b-813285aa6ff5,Q1860,7c0c7ad890fc707a9fbbbb3545f979f4aeeeb2b6,Q70460099,,,,
Q100979453,Nova et Vetera (English version),67958ca0-4ee9-5f5b-d5a3-b97345044820,Q1860,,,,,,
Q100979880,Occasional Papers,1013e8a4-444a-0f77-7ed5-9db92ca93e6e,Q1860,,,,,,
Q100980103,Soma: An International Journal of Theological Discourses and Counter-Discourses,cbb2ba83-4459-d9f4-4e77-e3c400eb01e0,Q1860,,,,,,
Q100980566,Christian Spirituality Bulletin,a836768f-461b-51f5-6423-295e302c6517,Q1860,fbdcfb034100cb369d163c4d87bc03c87badabb2,Q70460099,,,,
Q100997636,Vital Theology,bf860fef-477c-4c3f-51d4-48658dd29dd0,Q1860,,,,,,
Q1107510,Keresztény Szó,906EB456-0AA8-427C-8251-617992003DAB,Q9067,,,,,,
Q1167163,Das Argument,02F8241B-6978-419D-A8B6-1DDF4C056EFC,Q188,ab4f08a58d2b1fd54fe9ae12e4f71f95f31cbd87,Q70460099,,,,
Q11956877,Acta ad Archaeologiam et Artium Historiam Pertinentia,3BA293DC-6EEB-440C-97C4-9911607CB4AF,Q652,,,,,,
Q11956877,Acta ad Archaeologiam et Artium Historiam Pertinentia,A6BDB0A7-FA73-4867-9914-D3E74E2287F8,Q397,,,,,,
Q11956877,Acta ad Archaeologiam et Artium Historiam Pertinentia,5fd91f2d-4375-67d3-8898-7cf545aabe72,Q1860,,,,,,
Q1273053,Journal of Cuneiform Studies,28F58C55-82BD-46A2-AF6A-B63D91224627,Q1860,06ecd77881c8c09db05a9341af100bb7369f316f,Q70460099,,,,
Q1273053,Journal of Cuneiform Studies,2EA14118-BFDD-4669-9003-E416BA551F9E,Q188,,,,,,
Q1273053,Journal of Cuneiform Studies,608FDF0A-00DB-44BB-8188-C688A24E9635,Q150,,,,,,
Q1381202,Evangelische Theologie,8e7e725f-4673-3adc-975c-5cad011d4485,Q188,,,,,,
Q1514304,Journal of Homosexuality,523CC2D1-66DB-4924-8B57-BBBBB77ADFCD,Q1860,b458ceff911a49380eb096f6efbf96fcf5d02aa6,Q70460099,,,,
Q15707062,Journal of American History,E73135AB-9123-4FDE-B34D-F154AC53C0EE,Q1860,,,,,,
Q15707782,Journal of Early Christian Studies,E761BD8C-8558-44C5-A07D-F894CBD0D2AC,Q1860,4b6e86ef9e892a4a606623001fe8b5e445fa1c34,Q70460099,,,,
Q15710058,Studies in Iconography,2A448C10-D41D-4669-B5F3-E8DCC4F6AA67,Q1860,1ae5bbacec9719dbc99424f89df18e06f4490ec7,,,0a8f688406e3fc53d0119eafcd2c0396,2019-09-08T00:00:00Z,11
Q15710071,Journal of the American Academy of Religion,E5155252-6A87-4A48-B927-E6C89AC9BDCE,Q1860,,,,,,
Q15710137,Review & Expositor,7F781BD6-8CCF-4E78-B356-97A89C182E00,Q1860,bbf602fba5fc4379332ed4e3c4458fb3cbc7e3b0,Q70460099,,,,
Q15710287,Toronto Journal of Theology,F4395D67-5E0B-4941-A1BE-FADE5E058234,Q1860,e60e6d4cce9627ed93f9a4f6cd40e7d95d3cf0c2,Q70460099,,,,
Q15716275,Neue Zeitschrift fuer Systematische Theologie und Religionsphilosophie,3fc262df-42c0-f3e3-0998-9a286a4d6c28,Q188,,,,,,
Q15716275,Neue Zeitschrift fuer Systematische Theologie und Religionsphilosophie,d16b6c90-4396-47fb-7955-b31a4930a198,Q1860,,,,,,
Q15716275,Neue Zeitschrift fuer Systematische Theologie und Religionsphilosophie,E3DC582C-14FF-43F9-BC24-A2B9C2A3BA72,Q20923490,6733b78227ba7ddb1664b4fd4f545592e7e7d20e,Q70460099,,,,
Q15716311,Sixteenth Century Journal,F4998447-25EC-4DDD-B776-C215744E5026,Q1860,d09b6a4e532f01162be7c4758277986b09200206,Q70460099,,,,
Q15716311,Sixteenth Century Journal,F4998447-25EC-4DDD-B776-C215744E5026,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q15716423,Philosophy Today,C38D7D3D-A728-439E-9D1B-DDE0765AC8A9,Q1860,17d719ac08e8afe94baf5eec07faa2ade80c1fee,Q70460099,,,,
Q15716491,Union Seminary Quarterly Review,18D18B77-2E41-4933-BC80-A4A88B16A1BC,Q1860,4d4eeb26435f37f7aabff68b4d5a8553f4c8f3b0,Q70460099,,,,
Q15716523,Fides et Historia,a7a99d2c-4569-97ca-ac8f-95b00dab18cb,Q1860,6478cc861fcbc83d0f667d8bd10bebaf99f1c346,Q70460099,,,,
Q15716715,Notre Dame Philosophical Reviews,d9c50c2c-49e0-8c96-8767-98e0b8a24637,Q1860,,,,,,
Q15724368,Intercultural Theology: Journal of Mission Studies,cd1e0fbd-4e73-023d-1a3b-77e787754d8c,Q188,cfacb68a5f37334271f8b5d4052b2e9b97a07557,Q70460099,,,,
Q15724475,Praktische Theologie,bd3e3e27-4e91-95c5-fbe4-28727352db89,Q188,394f33a0562cc3bf7c124a0da07839cdd7af6e8d,Q186844,,,,
Q15746149,Maarav: a journal for the study of the Northwest Semitic languages and literatures,b62e67e0-4697-1de4-c3b1-2a3df6434f37,Q1860,491550e01d27d08511328b15a55361386a3644c6,Q70460099,,,,
Q15746151,Mission Studies,e5eca2d4-4af4-22b8-0f09-304bf57c262b,Q1860,d68380470bd6d17971504047a6884dc181c1ad01,Q70460099,,,,
Q15746447,The Bible Today,09e288da-47e6-849c-2b5c-d920b15c693c,Q1860,,,,,,
