qid,label_en,title_de_uuid,title_de,title_de_ref1_hash,title_de_ref1_statedIn,title_de_ref1_referenceUrl,title_de_ref1_retrieved_nodeId,title_de_ref1_retrieved_val,title_de_ref1_retrieved_prec,title_en_subtitle
Q4051385,HTS Theological Studies/Teologiese Studies,,,,,,,,,
Q50432461,Nederduitse Gereformeerde Teologiese Tydskrif,,,,,,,,,
Q100699691,Grey City of the Chicago Maroon,,,,,,,,,
Q100978677,New Conversations,,,,,,,,,
Q100699162,AME Church Review,,,,,,,,,
Q100698279,The Other Side,,,,,,,,,
Q100605240,Vanderbilt University Daily Register,,,,,,,,,
Q100602071,Bridges: a cross-cultural quarterly,,,,,,,,,
Q100697033,Reflections,,,,,,,,,
Q100694040,Alive Now,,,,,,,,,
Q100938316,Faith and Form,,,,,,,,,
Q100997636,Vital Theology,,,,,,,,,
Q100718707,Achaemenid Research on Texts and Archaeology,,,,,,,,,
Q100604537,The Other Journal,,,,,,,,,
Q100943219,Journal of Namibian Studies: History Politics Culture,,,,,,,,,
Q100979880,Occasional Papers,,,,,,,,,
Q100697813,Journal of Women and Religion,,,,,,,,,
Q100979453,Nova et Vetera (English version),,,,,,,,,
Q100605109,Wellsprings,,,,,,,,,
Q100604470,Health Wise,,,,,,,,,
Q100980103,Soma: An International Journal of Theological Discourses and Counter-Discourses,,,,,,,,,
Q100980566,Christian Spirituality Bulletin,,,,,,,,,
Q100724052,Bulletin of Council on the Study of Religion,,,,,,,,,
Q100708763,Womanist,,,,,,,,,
Q100708533,Harvard Divinity Bulletin,,,,,,,,,
Q100938861,Faith and Leadership,,,,,,,,,
Q100698886,Annual of the Society of Christian Ethics,,,,,,,,,
Q100138720,Mari Annales de Recherches Interdisciplinaires,,,,,,,,,
Q99544102,Ecothology,,,,,,,,,
Q98833935,C21 Resources,,,,,,,,,
Q99735829,Syndicate,,,,,,,,,
Q99578960,Zion's Herald,,,,,,,,,
Q99737338,Religion and Society,,,,,,,,,
Q100152626,Orientalia,,,,,,,,,
Q98833987,Liturgical Ministry,,,,,,,,,
Q99737535,Response: the magazine of women in mission,,,,,,,,,
Q98608890,Journal of Supervision and Training in Ministry,,,,,,,,,
Q99760349,Practical Matters,,,,,,,,,
Q98380242,Congregations,,,,,,,,,
Q98380090,Presbyterians Today,,,,,,,,,
Q98850260,Proceedings of the Catholic Theological Society of America,,,,,,,,,
Q98497359,Journal of Religious Thought,,,,,,,,,
Q97584635,Faultline,,,,,,,,,
Q98606254,Disciples Divinity House Bulletin,,,,,,,,,
Q100328257,SBL Society Report,,,,,,,,,
Q97579679,Black Renaissance,,,,,,,,,
Q98821386,Net Results,,,,,,,,,
Q98653905,The Cresset,,,,,,,,,
Q97397804,Journal of Unitarian Universalist History,,,,,,,,,
Q97393882,Sightings,,,,,,,,,
Q97389745,Making Christ Known,,,,,,,,,
Q97622700,Critical Review of Books in Religion,,,,,,,,,
Q100388108,Trinity Theological Journal,,,,,,,,,
Q98526338,Una Sancta : Zeitschrift für ökumenische Begegnung,050a27c6-4625-f423-0914-9b1257f3158d,Una Sancta : Zeitschrift für ökumenische Begegnung,,,,,,,
Q97843689,Journal for Preachers,,,,,,,,,
Q97784372,national Baptist Voice,,,,,,,,,
Q99542272,Theologie für die Praxis,b0497392-4915-8714-92a4-365e0a63b5cd,Theologie für die Praxis,,,,,,,
Q98109467,Echoing the Word,,,,,,,,,
Q98821988,The Five Stones,,,,,,,,,
Q98526055,Living Pulpit,,,,,,,,,
Q97446840,Acme: annali della Facolta di Lettere e Filosofia dell'Universita degli Studi di Milano,,,,,,,,,
Q98222919,Dialogue Australasia,,,,,,,,,
Q100326549,Bulletin dei verbum,,,,,,,,,
Q97581053,The African American Lectionary,,,,,,,,,
Q98821922,The Disciple,,,,,,,,,
Q99579301,Apuntes,,,,,,,,,
Q97772375,National Baptist Union-Review,,,,,,,,,
Q98821824,Your Church,,,,,,,,,
Q97773782,Journal of Intergroup Relations,,,,,,,,,
Q98094387,Religion in the News,,,,,,,,,
Q98637260,Women's VU,,,,,,,,,
Q98688147,Lifelong Faith,,,,,,,,,
Q100326621,"Listening: journal of communication ethics, religion, and culture",,,,,,,,,
Q97729464,Sacred Spaces,,,,,,,,,
Q97729090,Reformed Review,,,,,,,,,
Q98311737,Circuit Rider,,,,,,,,,
Q98461378,Consider This…A Newsletter for Pastors,,,,,,,,,
Q97395520,"Journal of Race, Ethnicity, and Religion",,,,,,,,,
Q98313448,"Colloquium, Music, Worship, Arts",,,,,,,,,
Q97450170,Lectionary Homiletics,,,,,,,,,
Q98526165,Lutheran World,,,,,,,,,
Q98380311,Reformed Liturgy & Music,,,,,,,,,
Q97600243,Papers of the Nineteenth Century Theology Group : AAR 1986 annual meeting,,,,,,,,,
Q98227015,IOUDAIOS Review,,,,,,,,,
Q97388791,Lutheran Women Today,,,,,,,,,
Q98221934,Christian Feminism Today,,,,,,,,,
Q100145461,Ideas: From the National Humanities Center,,,,,,,,,
Q97580025,Religious Studies News,,,,,,,,,
Q99736600,Interreligious Studies and Intercultural Theology,,,,,,,,,
Q98496683,Prism: a theological forum for the United Church of Christ,,,,,,,,,
Q99735501,"The Ecumenist: A Journal of Theology, Culture, and Society",,,,,,,,,
