qid,label_en,label_zh,label_zh_hans,label_zh_hant,label_de,label_fr,description_en,description_zh,description_zh_hans,description_zh_hant,description_de,description_fr,title_en_uuid,title_en,title_en_subtitle,title_en_ref1_hash,title_en_ref1_statedIn,title_en_ref1_referenceUrl,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec
Q100138720,Mari Annales de Recherches Interdisciplinaires,,,,,[Mari],French academic journal,,,,,,,,,,,,,,
Q100144386,NABU Nouvelles Assyriologiques Breves et Utilitaires,,,,,,French academic journal,,,,,,,,,,,,,,
Q100145461,Ideas: From the National Humanities Center,意念：国家人类中心发行,意念：国家人类中心发行,意念：國家人類中心發行,,,newsletter published by National Humanities Center,国家人类中心发行的时报,国家人类中心发行的时报,國家人類中心發行的時報,,,D8D21E17-1E5B-4CB9-8453-9DEF596F09A8,Ideas,From the National Humanities Center,19924451666e5aca24cc1cd75b5a992cded55e62,Q70460099,,,,
Q100152626,Orientalia,东方事务,东方事务,東方事務,,,Italian academic journal,意大利学术期刊,意大利学术期刊,意大利學術期刊,,,,,,,,,,,
Q100152964,Revue Hittite et Asianique,,,,,,French academic journal,,,,,,,,,,,,,,
Q100203879,Essedue Edizioni,,,,,,Italian feminist publishing houses,,,,,,,,,,,,,,
Q100326549,Bulletin dei verbum,,,,,,academic journal,,,,,,8ba6f651-4794-af7a-d251-4a8c50b3b324,Bulletin dei verbum,,,,,,,
Q100326621,"Listening: journal of communication ethics, religion, and culture",聆听：沟通伦理，宗教与文化的期刊,聆听：沟通伦理，宗教与文化的期刊,聆聽：溝通倫理，宗教與文化的期刊,,,academic journal,学术期刊,学术期刊,學術期刊,,,9eb1998a-41fb-0488-de36-df1c2e9987e5,Listening,"Journal of communication ethics, religion, and culture",,,,,,
Q100328257,SBL Society Report,圣经文学学会报告,圣经文学学会报告,聖經文學學會報告,,,annual report to the members of SBL,给圣经文学学会成员年度报告,给圣经文学学会成员年度报告,給聖經文學學會成員年度報告,,,,,,,,,,,
Q100354047,Journal of Hispanic/Latino Theology,西班牙/拉丁美洲神学期刊,西班牙/拉丁美洲神学期刊,西班牙/拉丁美洲神學期刊,,,academic journal,学术期刊,学术期刊,學術期刊,,,9c436183-4720-d24f-6580-08b93f12a74e,Journal of Hispanic/Latino Theology,,,,,,,
Q100354778,The Virginia Seminary Journal,维吉尼亚神学院期刊,维吉尼亚神学院期刊,維吉尼亞神學院期刊,,,academic journal,学术期刊,学术期刊,學術期刊,,,7b884d6b-461d-2f7f-da6b-10b32cf33df0,The Virginia Seminary Journal,,,,,,,
Q100388108,Trinity Theological Journal,三一神学期刊,三一神学期刊,三一神學期刊,,,journal published by Trinity Theological College in Singapore,星加坡三一神学院发行的期刊,星加坡三一神学院发行的期刊,星加坡三一神學院發行的期刊,,,70e7294a-4e94-621c-fbeb-4ac749853fdb,Trinity Theological Journal,,,,,,,
Q100602071,Bridges: a cross-cultural quarterly,桥梁：一个跨越文化的季刊,桥梁：一个跨越文化的季刊,橋樑：一個跨越文化的季刊,,,academic journal,学术期刊,学术期刊,學術期刊,,,f5a6ecf1-4887-6d3c-f1e0-912df5049ef3,Bridges: a cross-cultural quarterly,,,,,,,
Q100604470,Health Wise,健康智慧,健康智慧,健康智慧,,,academic journal,学术期刊,学术期刊,學術期刊,,,d3063976-40f1-4d5b-be97-29a4ff813c28,Health Wise,,,,,,,
Q100604537,The Other Journal,另一个期刊,另一个期刊,另一個期刊,,,online academic journal,线上学术期刊,线上学术期刊,線上學術期刊,,,b73089eb-4f87-8018-f872-55a15a26f038,The Other Journal,,b2f945f383667f4e15828231e1768d993b59285b,,https://theotherjournal.com/about/contact-us/,7786f290ae5ab0713853972a095d0c20,2020-11-12T00:00:00Z,11
Q100605109,Wellsprings,泉源,泉源,泉源,,,journal published by the Higher Education and Ministry of the United Methodist Church,卫理教会高等教育与牧养所发行的期刊,卫理教会高等教育与牧养所发行的期刊,衛理教會高等教育與牧養所發行的期刊,,,1af74c8c-492a-5ca4-6e64-50c9a817d4e5,Wellsprins,,,,,,,
Q100605240,Vanderbilt University Daily Register,范德堡大学日常记录,范德堡大学日常记录,範德堡大學日常記錄,,,online magazine published by Vanderbilt University,范德堡大学发行的线上杂志,范德堡大学发行的线上杂志,範德堡大學發行的線上雜誌,,,,,,,,,,,
Q100694040,Alive Now,活着，现在,活着，现在,活着，現在,,,Christian magazine,基督教杂志,基督教杂志,基督教雜誌,,,5a158136-427c-a250-f768-bc1a8d9d8cac,Alive Now,,,,,,,
Q100697033,Reflections,反思,反思,反思,,,magazine published by Yale Divinity School,耶鲁神学院发行的杂志,耶鲁神学院发行的杂志,耶魯神學院發行的雜誌,,,380af722-419a-bb37-901f-211a2e2f1ae9,Reflections,,,,,,,
Q100697813,Journal of Women and Religion,女人与宗教期刊,女人与宗教期刊,女人與宗教期刊,,,academic journal,学术期刊,学术期刊,學術期刊,,,b471eb7a-4a40-4659-4d87-8bc2eef655f1,Journal of Women and Religion,,4a67346d11bdcfc871bbdc0ac5e02550594231d7,Q70460099,,,,
Q100698279,The Other Side,另一边,另一边,另一邊,,,Christian journal,基督教期刊,基督教期刊,基督教期刊,,,cfffe0eb-4634-336a-57c1-ee9da2a49b19,The Other Side,,4b01ecef45c6b176a622ebd9730bca90d6133a0e,Q70460099,,,,
Q100698886,Annual of the Society of Christian Ethics,美国基督教伦理学会年度期刊,美国基督教伦理学会年度期刊,美國基督教倫理學會年度期刊,,,academic journal,学术期刊,学术期刊,學術期刊,,,3F3ECBE0-7245-41EE-BA4E-FB05BA29A4A2,The Annual of the Society of Christian Ethics,,8261ec5c5d6bf441fa7a03f2ec9494cf61074bc1,Q70460099,,,,
Q100699162,AME Church Review,非洲卫理主教教会评论,非洲卫理主教教会评论,非洲衛理主教教會評論,,,academic journal,学术期刊,学术期刊,學術期刊,,,c6d5991f-4f50-7a16-8da3-f93b1a32daf9,The AME Church Review,,6f274f0ad39f8012b0e18ad03fe57316c5d5b9ce,,http://iibp.chadwyck.com/infopage/publ/ame.htm,7786f290ae5ab0713853972a095d0c20,2020-11-12T00:00:00Z,11
Q100699691,Grey City of the Chicago Maroon,芝加哥褐红色里的灰色城市,芝加哥褐红色里的灰色城市,芝加哥褐紅色裏的灰色城市,,,magazine published by University of Chicago,芝加哥大学发行的杂志,芝加哥大学发行的杂志,芝加哥大學發行的雜誌,,,d28de71b-4a09-2004-58db-e14f35d10e5b,Grey City of the Chicago Maroon,,,,,,,
Q100708533,Harvard Divinity Bulletin,哈佛神学院公告,哈佛神学院公告,哈佛神學院公告,,,magazine published by Harvard Divinity School,哈佛神学院发行的杂志,哈佛神学院发行的杂志,哈佛神學院發行的雜誌,,,5c7ec9c4-4511-f963-1eeb-a9f4997855a0,Harvard Divinity Bulletin,,1d8c6affe7923c727043920d1f6200a1263afc58,Q70460099,,,,
Q100708763,Womanist,女人主义者,女人主义者,女人主義者,,,academic journal published by University of Georgia,乔治亚大学发行的学术期刊,乔治亚大学发行的学术期刊,喬治亞大學發行的學術期刊,,,235d0a43-41ef-a48d-2c3d-19c0eebd7f1e,Womanist,,,,,,,
Q100718707,Achaemenid Research on Texts and Archaeology,阿契美尼德研究于文字与考古,阿契美尼德研究于文字与考古,阿契美尼德研究於文字與考古,,,French online academic journal,法国线上学术期刊,法国线上学术期刊,法國線上學術期刊,,,2093bc2e-4693-f7aa-63c9-2363bd6b4266,Achaemenid Research on Texts and Archaeology,,,,,,,
Q100724052,Bulletin of Council on the Study of Religion,宗教研究理事会的公告,宗教研究理事会的公告,宗教研究理事會的公告,,,academic journal,学术期刊,学术期刊,學術期刊,,,3E6CC24F-D6BD-4D19-929E-14A4FB8572AF,Bulletin - Council on the Study of Religion,,20426f850b7473414e516f319953c5b24f52be0a,Q70460099,,,,
Q100938316,Faith and Form,信仰与形式,信仰与形式,信仰與形式,,,academic journal,学术期刊,学术期刊,學術期刊,,,55BBD285-3C63-4166-8507-9A2035CE1B1C,Faith & Form,,66d825de4fad14c4e087bde120d99ae4333cbb1c,Q70460099,,,,
Q100938861,Faith and Leadership,信仰与领导力,信仰与领导力,信仰與領導力,,,online magazine published by Duke University,杜克大学发行的线上杂志,杜克大学发行的线上杂志,杜克大學發行的線上雜誌,,,b2af1cf1-4126-0802-0fd1-6300847a46d0,Faith & Leadership,,,,,,,
Q100943219,Journal of Namibian Studies: History Politics Culture,纳米比亚的研究期刊：历史，政治，文化,纳米比亚的研究期刊：历史，政治，文化,納米比亞的研究期刊：歷史，政治，文化,,,academic journal,学术期刊,学术期刊,學術期刊,,,abfa771a-47c2-70cf-2753-4d82da03fe4f,Journal of Namibian Studies: History Politics Culture,,,,,,,
Q100978677,New Conversations,新的会谈,新的会谈,新的會談,,,church magazine published by United Church Board for Homeland Ministries,联合教会理事会发行的教会杂志,联合教会理事会发行的教会杂志,聯合教會理事會發行的教會雜誌,,,bd4b3986-4fb6-23f4-5035-210a7c3e0fb6,New Conversations,,7c0c7ad890fc707a9fbbbb3545f979f4aeeeb2b6,Q70460099,,,,
Q100979453,Nova et Vetera (English version),新与旧 (英文版）,新与旧 (英文版）,新與舊 (英文版）,,,academic journal published by Catholic University of America Press,美国天主教大学发行的学术期刊,美国天主教大学发行的学术期刊,美國天主教大學發行的學術期刊,,,f98a7dfb-49fb-f429-b252-80550fb01fbe,Nova et Vetera,,,,,,,
Q100979880,Occasional Papers,偶发的论文,偶发的论文,偶發的論文,,,academic journal published by General Board of Higher Education and Ministry,高等教育与教会牧养总理事会发行的学术期刊,高等教育与教会牧养总理事会发行的学术期刊,高等教育與教會牧養總理事會發行的學術期刊,,,d87c2194-4263-ba65-6b7b-e11d66a7f0ba,Occasional Papers,,,,,,,
Q100980103,Soma: An International Journal of Theological Discourses and Counter-Discourses,身体：神学议论与反议论的国际期刊,身体：神学议论与反议论的国际期刊,身體：神學議論與反議論的國際期刊,,,academic journal,学术期刊,学术期刊,學術期刊,,,04cea046-4dbb-432e-55d1-b6d4123df3a5,Soma,An International Journal of Theological Discourses and Counter-Discourses,,,,,,
Q100980566,Christian Spirituality Bulletin,,,,,,academic journal,,,,,,b5b7e430-4166-49f6-400f-017027e1778e,Christian Spirituality Bulletin,,fbdcfb034100cb369d163c4d87bc03c87badabb2,Q70460099,,,,
