value,label,count
Q13442814,scholarly article,82
Q3331189,"version, edition, or translation",33
Q23927052,conference paper,13
Q18918145,academic journal article,7
Q21481766,academic chapter,7
Q603773,lecture,6
Q637866,book review,6
Q13433827,encyclopedic article,5
Q604733,presentation,2
Q1980247,chapter,2
Q30070590,magazine article,2
Q83790,textbook,1
Q193495,monograph,1
Q464980,exhibition,1
Q780605,exhibition catalogue,1
Q1907875,master's thesis,1
Q2894989,poster session,1
Q7216866,post,1
Q7318358,review article,1
Q10870555,report,1
Q17928402,blog post,1
Q571,book,1
Q35760,essay,1
Q38926,news,1
