Librarian,Unit,Type,Variety,pub_qid,Title,Venue,Year
"Anderson, Cliff",Admin,Publication,CA Book,,XQuery for Digital Humanists,Texas A&M University Press,2020
"Anderson, Cliff",Admin,Publication,CEd Book,,Karl Barth and the Making of Evangelical Theology: A Fifty-Year Perspective,Eerdmans,2015
"Anderson, Cliff",Admin,Publication,PR Article,,Digital Humanities and the Future of Theology.,Cursur_: Zeitschrift für explorative Theologie,2018
"Anderson, Cliff",Admin,Publication,CPR Article,,Developing Data Curation Protocols for Digital Projects at Vanderbilt,International Journal of Digital Curation,2018
"Anderson, Cliff",Admin,Publication,CPR Article,Q57317494,Text Mining in Business Libraries,Journal of Business & Finance Librarianship,2017
"Anderson, Cliff",Admin,Publication,NR Article,Q57083115,Data-First Manifesto: Shifting Priorities in Scholarly Communications,Information Services & Use,2017
"Anderson, Cliff",Admin,Publication,CNR Article,,Perspectives on Scholarly Communications,Choice,2017
"Anderson, Cliff",Admin,Publication,Chapter,Q57455182,Liberalism versus Democracy? Abraham Kuyper and Carl Schmitt as Critics of Liberalism.,The Kuyper Center Review: Calvinism and Democracy,2014
"Anderson, Cliff",Admin,Publication,Chapter,,Volume Introduction,Pro Rege: Living Under Christ’s Kingship,2016
"Anderson, Cliff",Admin,Publication,Proceedings,Q57205615,On Teaching XQuery to Digital Humanists,Proceedings of Balisage: The Markup Conference 2014,2014
"Anderson, Cliff",Admin,Publication,Proceedings,Q61718081,Introduction to Wikidata: The Wikipedia of Facts,"Summary of Proceedings, 72nd Annual Conference of the American Theological Library Association.",2018
"Anderson, Cliff",Admin,Publication,Proceedings,,Scholarly Communication: A Guide for the Perplexed.,"Summary of Proceedings, 71st Annual Conference of the American Theological Library Association.",2017
"Anderson, Cliff",Admin,Publication,Proceedings,Q104976160,Data Curation 101 for Theological Librarians.,"Summary of Proceedings, 71st Annual Conference of the American Theological Library Association.",2017
"Anderson, Cliff",Admin,Publication,Proceedings,Q104738349,Building Institutional Repositories in Theological Libraries,"Summary of Proceedings, 70th Annual Conference of the American Theological Library Association.",2016
"Anderson, Cliff",Admin,Publication,Proceedings,Q105100066,Doing Digital Humanities in Theological Libraries,"Summary of Proceedings, 69th Annual Conference of the American Theological Library Association.",2015
"Anderson, Cliff",Admin,Publication,Entry,,Belgium,Religion and Contemporary Politics: A Global Encyclopedia,2019
"Anderson, Cliff",Admin,Publication,Entry,,The Netherlands,Religion and Contemporary Politics: A Global Encyclopedia,2019
"Anderson, Cliff",Admin,Publication,Entry,,Carl Schmitt,Religion and Contemporary Politics: A Global Encyclopedia,2019
"Anderson, Cliff",Admin,Publication,Entry,,Political Theology,Religion and Contemporary Politics: A Global Encyclopedia,2019
"Anderson, Cliff",Admin,Publication,Entry,,Protestantism and Democracy,Religion and Contemporary Politics: A Global Encyclopedia,2019
"Anderson, Cliff",Admin,Publication,Review,,Abraham Kuyper: A Pictorial Biography by Jan de Bruijn,Calvin Theological Journal,2016
"Anderson, Cliff",Admin,Publication,Review,,Going Dutch in the Modern Age: Abraham Kuyper’s Struggle for a Free Church in the Netherlands by John Halsey Wood,Cultural Encounters,2016
"Anderson, Cliff",Admin,Publication,Review,,Holocaust Memory Reframed: Museums and the Challenges of Representation by Jennifer Hansen- Glucklich,Journal of Religious & Theological Information,2016
"Anderson, Cliff",Admin,Publication,Review,,"Neo-Calvinism and the French Revolution, edited by James Eglinton and George Harinck.",Journal of Reformed Theology,2016
"Anderson, Cliff",Admin,Publication,Review,,When We Are No More: How Digital Memory is Shaping our Future by Abbey Smith Rumsey,Science,2016
"Anderson, Cliff",Admin,Publication,Review,,"Abraham Kuyper: Modern Calvinist, Christian Democrat by James D. Bratt.",Calvin Theological Journal,2014
"Anderson, Cliff",Admin,Publication,Review,,"Barth und Goethe: Die Goethe-Rezeption Karl Barths, 1906-1921 by Qu Xutong",Cultural Encounters,2014
"Anderson, Cliff",Admin,Publication,Review,,The Challenges of Cultural Discipleship: Essays in the Line of Abraham Kuyper by Richard J. Mouw,Journal of Reformed Theology,2014
"Baskauf, Steven",DiSC,Publication,CPR Article,,TDWG Standards Documentation Specification,Biodiversity Information Standards,2017
"Baskauf, Steven",DiSC,Publication,CPR Article,,TDWG Vocabulary Maintenance Specification,Biodiversity Information Standards,2017
"Baskauf, Steven",DiSC,Publication,CPR Article,Q57817918,Lessons learned from adapting the Darwin Core vocabulary standard for use in RDF,Semantic Web Journal,2016
"Baskauf, Steven",DiSC,Publication,CPR Article,Q44943965,Darwin-SW: Darwin Core-based terms for expressing biodiversity data as RDF,Semantic Web Journal,2016
"Baskauf, Steven",DiSC,Publication,CPR Article,Q28658282,Semantics in Support of Biodiversity Knowledge Discovery: An Introduction to the Biological Collections Ontology and Related Ontologies.,PLoS ONE,2014
"Baskauf, Steven",DiSC,Presentation,Talk,,Introduction to Bioimages in Crowd-sourcing with a Human Face,Cultural Hertiage at Scale,2017
"Baskauf, Steven",DiSC,Presentation,Talk,,"A High-altitude View of TDWG Standards: Machine Processing, Graphs, and the Vocabulary Development Process in A Roadmap for Standards-based Data Integration in Biodiversity Science",Biodiversity Information Standards (TDWG) Conference,2016
"Baskauf, Steven",DiSC,Presentation,Talk,,Darwin Core as RDF: Applying the DwC RDF Guide to Real Data,Biodiversity Information Standards (TDWG) Conference,2016
"Baskauf, Steven",DiSC,Presentation,Talk,,Vocabulary Maintenance Task Group Report,Biodiversity Information Standards (TDWG) Conference,2016
"Benda, Chris",Divinity,Publication,CA Report,Q58763061,Supporting the Changing Research Practices of Religious Studies ,Ithaka S+R,2017
"Benda, Chris",Divinity,Presentation,CP Talk,Q105100066,Doing Digital Humanities in Theological Libraries,American Theological Library Association (ATLA) Annual Conference,2015
"Benda, Chris",Divinity,Presentation,Talk,Q105100042,Talking about Religion: Faculty Book Interviews as a Contribution to Interreligious Dialogue,IFLA World Library and Information Congress,2017
"Benda, Yu-Fen",Central,Presentation,CP Talk,,An Impossible Mission? Tadoku Pedagogy and Library Collaboration with Limited Institutional Resources,Annual Meeting of the American Association of Teachers of Japanese,2018
"Benda, Yu-Fen",Central,Presentation,Invited Talk,,Experiences with Diversity Initiatives: IMLS-RBS Fellows Speak,Annual Meeting of the Rare Books and Manuscripts Section (RBMS),2016
"Benda, Yu-Fen",Central,Presentation,Talk,,Session on how to apply for a grant from NCC as a small collection institution – speaking as a successful applicant,Annual Meeting of Council for East Asian Librarians,2016
"Boyer, Yvonne",Central,Publication,NR Article,,The W.T. Bandy Center for Baudelaire and Modern French Studies at Vanderbilt University Libraries,L’Année Baudelaire,2017
"Boyer, Yvonne",Central,Publication,NR Article,,Baudelaire in Nashville,Comparative Critical Studies,2015
"Brown, Melinda",Central,Publication,CA Chapter,,Finding the B in LGBTQ+: Collections and Practices that Support the Bisexual and Pansexual Communities,Librarianship in the 21st Century: Emerging Directions of Advocacy and Community Engagement in Diverse Information Environments,2019
"Carroll, Alexander",SEL,Publication,CPR Article,,Lab-integrated librarians: A model for research engagement.,College and Research Libraries,2019
"Carroll, Alexander",SEL,Publication,CPR Article,,"Talent, schmalent: an instructional design/action research framework for the professionalization of teaching in academic libraries",Journal of Academic Librarianship,2019
"Carroll, Alexander",SEL,Publication,CPR Article,Q64094757,Using information literacy to teach medical entrepreneurship and healthcare economics,Journal of the Medical Library Association,2019
"Carroll, Alexander",SEL,Publication,CPR Article,,"""I never knew I could be a teacher"": A student-centered MLIS fellowship for future teacher-librarians.",portal: Libraries and the Academy,2018
"Carroll, Alexander",SEL,Publication,CPR Article,,"Collaborating for success: A case study on mentoring, partnering, and teaching",Collaborative Librarianship,2016
"Carroll, Alexander",SEL,Publication,CPR Article,Q35989299,Flipping one-shot library instruction: using Canvas and Pecha Kucha for peer teaching of evidence-based practice,Journal of the Medical Library Association,2016
"Carroll, Alexander",SEL,Publication,CPR Article,,E-book perceptions and use in STEM and non-STEM disciplines: A comparative follow-up study,portal: Libraries and the Academy,2016
"Carroll, Alexander",SEL,Publication,CPR Article,,A cohort study of entry level librarians and the academic job search,Endnotes: The Journal of the New Members Round Table,2015
"Carroll, Alexander",SEL,Publication,CPR Article,,"""Scholarship is a conversation"": Discourse, attribution, and Twitter’s role in information literacy instruction",Journal of Creative Library Practice,2015
"Carroll, Alexander",SEL,Presentation,CP Talk,,Lab-integrated librarians: Engagement with unreachable researchers. ,ASEE Annual Conference & Exposition,2018
"Carroll, Alexander",SEL,Presentation,CP Talk,,Sharing our success: Using a teacher training program to improve information literacy instruction and support MLIS students,ACRL 2017 Conference,2017
"Carroll, Alexander",SEL,Presentation,Invited Talk,,Using Backwards Design to Improve Your Teaching Practice and Presentation Skills,Medical Library Association Annual Meeting,2020
"Carroll, Alexander",SEL,Presentation,CP Talk,,Learning by Listening: Identifying User Needs through Semi-Structured Interviews,Charleston Conference,2019
"Carroll, Alexander",SEL,Presentation,Workshop,,Integrating instruction into the curriculum,Cooperating Raleigh Colleges Library Workshop,2017
"Carroll, Alexander",SEL,Presentation,CP Talk,,Investigating emerging roles for medical librarians at college and university libraries,Medical Library Association Annual Meeting,2019
"Carroll, Alexander",SEL,Presentation,CP Talk,,"""They use the library, don’t they?"": Investigating our researchers’ workflows through qualitative inquiry.",Empirical Librarians Conference,2019
"Carroll, Alexander",SEL,Presentation,CP Talk,,Supporting medical innovation and entrepreneurship through curriculum-integrated information literacy instruction.,Triangle Research Libraries Network (TRLN) Annual Meeting,2018
"Carroll, Alexander",SEL,Presentation,CP Talk,, Scaffolding an LIS educational partnership: The UMD libraries research & teaching fellowship.,ALISE 2017 Annual Conference,2017
"Carroll, Alexander",SEL,Presentation,CP Talk,,Using Canvas and PechaKucha to facilitate undergraduate peer teaching of evidence based practice.,2015 MAC/MLA Annual Meeting,2015
"Carroll, Alexander",SEL,Presentation,CP Talk,,Uncorking learning: Flipping library instruction PechaKucha style,The Innovative Library Classroom,2015
"Carroll, Alexander",SEL,Presentation,CP Talk,,Librarians as action researchers: A practical framework for evidence-based information literacy instruction,LOEX Annual Conference,2015
"Carroll, Alexander",SEL,Presentation,CP Talk,,A booster shot for health science librarianship: Using Canvas and PechaKucha to flip the library classroom,2014 MAC/MLA Annual Meeting,2014
"Carroll, Alexander",SEL,Presentation,Talk,,Preparing medical students for residency: Efficacy of evidence based medicine instruction.,Medical Library Association Annual Meeting,2014
"Carroll, Alexander",SEL,Presentation,CP Talk,,Are ebooks used equally across the disciplines?,Triangle Research Libraries Network (TRLN) Annual Meeting,2014
"Carroll, Alexander",SEL,Presentation,Poster,,Work in Progress: Healthcare economics and information literacy – Resources for success in undergraduate biomedical engineering education.,ASEE Annual Conference & Exposition,2015
"Carroll, Alexander",SEL,Presentation,Poster,,Don’t go it alone: Collaborating across institutions to provide bioinformatics instruction,2017 MAC/MLA Annual Meeting,2017
"Carroll, Alexander",SEL,Presentation,Poster,,Integrating medical economic perspectives through information literacy in a biomedical clinical immersion design course (Work in Progress),ASEE Annual Conference & Exposition,2017
"Carroll, Alexander",SEL,Presentation,Poster,,Lab-integrated librarians: Providing point-of-need research support and contextualized information literacy instruction,ACRL 2017 Conference,2017
"Carroll, Alexander",SEL,Presentation,Poster,,Better together: combining research and writing support for student scholars,Medical Library Association Annual Meeting,2016
"Carroll, Alexander",SEL,Presentation,Poster,,Landing your first academic library job: A cohort study of recent graduates from the UNC at Chapel Hill’s School of Information and Library Science,ALA Annual,2015
"Carroll, Alexander",SEL,Presentation,Poster,,The retweet of academia: Using twitter to improve information literacy instruction,ALISE 2014 Annual Conference,2014
"Carroll, Alexander",SEL,Presentation,CP Talk,,Engaging with High-Impact Education Initiatives to Facilitate Student Success,ACRL 2019 Conference,2019
"Carroll, Alexander",SEL,Presentation,CP Talk,,Supporting Emerging Professionals in Academic Librarianship,ACRL 2019 Conference,2019
"Carroll, Alexander",SEL,Presentation,CP Talk,,Developing library support for undergraduate researchers,Triangle Research Libraries Network (TRLN) Annual Meeting,2018
"Carroll, Alexander",SEL,Presentation,CP Talk,,Supporting Undergraduate Engineering Researchers,ASEE Annual Conference & Exposition,2018
"Carroll, Alexander",SEL,Presentation,CP Talk,,The retweet of academia: Using twitter to improve information literacy instruction,The Innovative Library Classroom,2014
"Covington, Paula",Central,Presentation,Talk,,Fuentes Digitales Colombianas en Vanderbilt,Encuentro internacional de bibliotecarios,2018
"Covington, Paula",Central,Presentation,Talk,,Digital Colombiana at Vanderbilt,Third International DH Slavery Workshop,2018
"Craiglow, Hilary",Owen,Presentation,Talk,,Data Science and Business Libraries,ABLD Annual Meeting,2018
"Craiglow, Hilary",Owen,Presentation,Talk,,ABLD Academic Business Library Directors,EBSLG European Business School Library Group,2017
"Craiglow, Hilary",Owen,Publication,CPR Article,Q57317494,Text mining in business libraries,Journal of Business and Finance Librarianship,2017
"Craiglow, Hilary",Owen,Presentation,Webinar,,Business & Financial Data,CRL Licensing Big Data: an eDesiderata,2016
"Craiglow, Hilary",Owen,Presentation,Talk,Q57317494,Text Mining in Business Libraries,EBSLG–ABLD-APBSLG Joint Meeting,2016
"Craiglow, Hilary",Owen,Presentation,CP Talk,,Text Mining in Libraries: How Librarians Develop Skills Required to Support this Evolving Form of Research,ASIS&T Association for Information Science & Technology Annual Conference,2015
"DePerri, Robbi",Owen,Presentation,Poster,,Embedding Librarians: How One University Used Technology to Connect Students to the Library (and you can too!),ACRL 2019 Conference,2019
"Dunaway, Sarah",Law,Publication,Chapter,,Immigration Law,Specialized Legal Research ,2016
"Dunaway, Sarah",Law,Publication,PR Article,,"¿Dónde Está La Biblioteca? It’s a Damn Shame: Outdated, Inadequate, and Nonexistent Law Libraries in Immigrant Detention Facilities",Legal Reference Services Quarterly ,2017
"Duran, James",DiSC,Publication,Book,,Cenreal Bench History,City of Boise & Central Bench Neighborhood Association,2016
"Duran, James",DiSC,Publication,CA Chapter,,Going Mobile: Using iPads to Improve the Reading Room Experience,Reference and Access: Innovative Practices for Archives and Special Collections,2014
"Estridge, Honora",SEL,Publication,CPR Article,,Lab-integrated librarians: A model for research engagement,College and Research Libraries,2020
"Estridge, Honora",SEL,Publication,Proceedings,,Lab Integrated Librarians: Engagement with Unreachable Researchers,2017 ASEE Conference Proceedings,2017
"Estridge, Honora",SEL,Publication,Proceedings,,What Engineers Want: Lessons Learned from Five Years of Studying Library Users,2015 ASEE Conference Proceedings,2015
"Estridge, Honora",SEL,Presentation,Talk,,Re-Skilling for a Digital Future: Developing Training and Instruction in Digital Scholarship for Academic Librarian,ACRL 2017 Conference,2017
"Estridge, Honora",SEL,Presentation,Poster,,Lab-Integrated Librarians: Providing Point-of-Need Research Support and Contextualized Information Literacy Instruction,ACRL 2017 Conference,2017
"Estridge, Honora",SEL,Presentation,CP Talk,,Developing Research-Engaged Librarians at the Interface of Data Science and Visualization,DLF Forum,2016
"Estridge, Honora",SEL,Presentation,Talk,,Developing Research-Engaged Librarians at the Interface of Data Science and Visualization,Imagine the NEXT!: The 2016 Conference for Entrepreneurial Librarians,2016
"Estridge, Honora",SEL,Presentation,Poster,,The Move from Subject to Functional Roles: What Does It Mean for the Engineering Librarian,ASEE Annual Conference & Exposition,2016
"Estridge, Honora",SEL,Presentation,CP Talk,,What Engineers Want: Lessons Learned from Five Years of Studying Library Users,ASEE Annual Conference & Exposition,2015
"Foutch, Leslie",Peabody,Publication,PR Article,,A new partner in the process: The role of a librarian on a faculty research team,Collaborative Librarianship,2016
"Foutch, Leslie",Peabody,Presentation,Talk,,Time to Reflect: Changing the Course of Student Learning,Library Instruction Tennessee (LIT) ,2018
"Gambill, Jodi",LTDS,Publication,CA Chapter,,Implementing an Open News and Information System in the Vanderbilt University Libraries,Leading Change in Academic Libraries,2019
"Gonnerman, Kasia",Central,Presentation,Talk,,Application of Flipped Classroom Techniques in Library Instruction,New Directions in Information Fluency ,2014
"Gonnerman, Kasia",Central,Presentation,CP Talk,,Deep Collaboration for Digital Humanities,Minnesota Library Association Conference,2016
"Gonnerman, Kasia",Central,Presentation,CP Talk,,Cultivating and Sustaining Deep Collaboration for Digital Humanities,ACRL 2015 Conference,2015
"Gonnerman, Kasia",Central,Publication,CA Chapter,,Shaping the Roles of Academic Librarians to Meet Emerging Demands of DH Scholarship,Supporting Digital Humanities for Knowledge Acquisition in Modern Libraries,2015
"Gonnerman, Kasia",Central,Publication,CA Chapter,,Job-Embedded Training to Support New Librarians and New Skills in Higher Education: A Case Study from a Liberal Arts College,"Teaching Reference Today: New Directions, Novel Approaches",2016
"Gonnerman, Kasia",Central,Publication,CPR Article,,Peer Reference Assistants in a Small Liberal Arts College: Case Study,Reference Services Review,2016
"Gonnerman, Kasia",Central,Publication,CA Chapter,,Library Spaces Redefined: A Case Study at a Liberal Arts College,Advances in Library Administration and Organization ,2014
"Hanschke, Katie ",Law,Publication,CA Chapter,,Distractedly Engaged or Engagedly Distracted: How Constant Collaboration Breeds Innovation in Millennial Librarians,Millennial Leadership in Libraries,2018
"Hanschke, Katie ",Law,Publication,PA News,,"Program Reviews: Highlights from AALL 2016, B1- Meeting the Legal Information Needs of Transgender Library Patrons Research Findings, Legal Issues & Cataloging Challenges, Poster Session Presentations",ALL-SIS Newsletter (American Association of Law Libraries),2017
"Hanschke, Katie ",Law,Publication,PA News,,The View from the Trenches: An Ode to the Ordinary,ALL-SIS Newsletter (American Association of Law Libraries),2016
"Hanschke, Katie ",Law,Publication,PA News,,"Program Reviews: Highlights from AALL 2016, A3- Crowdsourcing a Skill Set to Manage the Legal Information of the Future, D5-Developing a Business Corporate Legal Research Course Without Ever Having Billed an Hour",ALL-SIS Newsletter (American Association of Law Libraries),2016
"Hanschke, Katie ",Law,Publication,Book Review,,"Review of New Field, New Corn: Essays in Alabama Legal History",Law Library Journal ,2016
"Hanschke, Katie ",Law,Publication,CPR Article,,The Impact of Disability: A Comparative Approach to Medical Resource Allocation in Public Health Emergencies,St. Louis University Journal of Health Law & Policy,2015
"Hanschke, Katie ",Law,Presentation,Poster,,Library Lunch and Learns: How Your Library Can Tap into the Unique Skills and Expertise of Your Staff to Provide Training Opportunities and Professional Development for All Its Members,American Association of Law Libraries Annual Meeting and Conference,2016
"Hook, Bill",Admin,Publication,CA Report,Q58763061,Supporting the Changing Research Practices of Religious Studies ,Ithaka S+R,2017
"Huber, Rahn",Owen,Publication,Chapter,,"Special Library Administration, Standardization and Technological Integration",IGI Global,2014
"Huber, Rahn",Owen,Publication,Chapter,,"Using Electronic Mail to Improve Information Services: Current Practice, Problems and Solutions in Ireland",Virtual Reference in Modern Libraries: Innovative Methods for User Interaction,2016
"Ivey, Camille",EBL,Presentation,Poster,,Who (re) moved my digital library? A case study of library integration and its impact,2017 SC/MLA Annual Meeting,2017
"Ivey, Camille",EBL,Publication,CNR Article,Q55410842,"Choosing the right citation management tool: EndNote, Mendeley, RefWorks, or Zotero",Journal of the Medical Library Association,2018
"Johnson, Stacey Curry",DiSC,Presentation,Poster,,Geophysical Investigations at a Civil War Field Hospital,American Association for the Advancement of Science (AAAS),2015
"Laferriere, Heather",EBL,Publication,PA News,,An update on the newly renovated Eskind Biomedical Library,The Empowered Nurse,2018
"Laferriere, Heather",EBL,Presentation,CP Talk,,Beyond CPU: Development of a pilot survey to gauge library impact and involvement in scholarly activities,2018 SC/MLA Annual Meeting,2018
"Laferriere, Heather",EBL,Presentation,Poster,,Who (re) moved my digital library? A case study of library integration and its impact,2017 SC/MLA Annual Meeting,2017
"Lannom, Lee Ann",ACE,Presentation,Poster,,What’s the ROI? Tracking LibQUAL+® Marketing with Short URLs ,2016 Library Assessment Conference,2016
"LaVoice, Kelly",Owen,Presentation,CP Talk,,It Takes a Community to Cultivate the Assessment Crop,LOEX Annual Conference,2017
"LaVoice, Kelly",Owen,Presentation,CP Talk,,Charting a New Course: New Horizons in For-credit Information Literacy Instruction in the Disciplines,ACRL 2017 Conference,2017
"LaVoice, Kelly",Owen,Presentation,CP Talk,,"Hindsight is 20/20: Garnering Institutional Support for the 
Implementation of Media Literacy in Science and Business Classrooms",LOEX Annual Conference,2016
"LaVoice, Kelly",Owen,Presentation,CP Talk,,Distilled Spirits Industry Update: By the Numbers,American Distilling Institute Annual Conference,2015
