qid,label_en,author_string_uuid,author_string,author_string_series_ordinal,author_string_ref1_hash,author_string_ref1_referenceUrl,author_string_ref1_retrieved_nodeId,author_string_ref1_retrieved_val,author_string_ref1_retrieved_prec
Q101208705,Implementing FAIR data for people and machines: impacts and implications - results of a research data community workshop,,,,,,,,
Q103836674,Exposing the Null Curriculum in Graduate Religious Education,,,,,,,,
Q103836675,"Archive, Anamnesis, & A Real-Beyond-Presence in the Eucharistic Liturgy",,,,,,,,
Q103836679,(Not Your) Grandpa's Church Service: Pyrotheology's Familial Resemblance to Liberal Theology and the Possibilities for Political Liturgy,,,,,,,,
Q103836680,"There is Nothing New Under the Sun? Reflections on ""The New Librarianship"" and the Theological Library",,,,,,,,
Q103836684,Liturgy,,,,,,,,
Q103836687,Sacramental and Liturgical Theology,,,,,,,,
Q103836688,"Haunted Houses, Spooky Rituals, and Practicing Perhaps",,,,,,,,
Q103836690,Radical on the Bookshelf,,,,,,,,
Q103837192,Relational Librarianship @ Your Library,A101FE27-5B5D-4F53-85FE-354221C04603,Christopher J. Anderson,1,,,,,
Q103837275,Library as Thesis Laboratory: A Workshop-Based Approach to How Librarians Can Support Writing and Research,,,,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,34C41FC0-789E-42DD-8668-4F273D11B12A,Melodie McGeoch,9,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,555596B7-1A0C-4FF5-9537-7371F626D26C,Sonia Vanderhoeven,6,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,71C276E0-DAD9-461F-809B-5362880CD5C8,John Wilson,12,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,34C41FC0-789E-42DD-8668-4F273D11B12A,Melodie McGeoch,9,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,555596B7-1A0C-4FF5-9537-7371F626D26C,Sonia Vanderhoeven,6,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,71C276E0-DAD9-461F-809B-5362880CD5C8,John Wilson,12,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,BB618E1F-B7F8-4D23-AEA7-8992101C39AE,Arthur Chapman,8,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,C049C89A-4DC6-48FB-B4DD-FAE7131D03D2,Ramona Walls,10,,,,,
Q104738349,Building Institutional Repositories in Theological Libraries,f57f7a6f-44c7-448f-5830-65b6b26311fd,Ed Warga,,,,,,
Q104778096,A Reflection on Seven Years in the Divinity Library Exhibit Programs,,,,,,,,
Q104822949,The library's role in countering infodemics,,,,,,,,
Q104976160,Data Curation 101 for Theological Librarians,,,,,,,,
Q104976841,Digital Humanities and Academic Libraries,07c93eaf-4dce-dc16-e178-135412a29672,Michael Rodriguez,1,,,,,
Q104977852,Crosswalking the Disciplines: Reimagining Information Literacy Instruction for a History Methods Course,,,,,,,,
Q104978597,"From Humanities to Scholarship: Librarians, Labor, and the Digital",,,,,,,,
Q104986918,New Haven,,,,,,,,
Q104987001,"Taylor, Nathaniel William (1786-1858)",,,,,,,,
Q104987222,Saudi Arabia,,,,,,,,
Q104987330,Sudan,,,,,,,,
Q104987401,"Publishing Theory and Praxis: Information Literary, Theological Librarianship, and Atla Open Press",ed2e6f5d-4e9e-e512-cba4-3983a2c80b9d,Matthew S. Collins,1,,,,,
Q104987401,"Publishing Theory and Praxis: Information Literary, Theological Librarianship, and Atla Open Press",9ab72900-420d-f1c0-6eb8-c01c26dc6981,Kaeley McMahan,2,,,,,
Q104987548,Theological Librarianship in the Age of Digital Humanities,,,,,,,,
Q104987704,Sensational Religion: Sensory Cultures in Material Practice,,,,,,,,
Q104987956,Comparative Textual Media: Transforming the Humanities in the Postprint Era,,,,,,,,
Q104988071,Import of the Archive: U.S. Colonial Rule of the Philippines and the Making of American Archival History,,,,,,,,
Q104988221,Toward Spatial Humanities: Historical GIS and Spatial History,,,,,,,,
Q104988832,Proposed Model of Information Behaviour in Crisis: The Case of Hurricane Sandy,00688982-45fb-901f-3100-5129dcc89861,Irene Lopatovska,1,,,,,
Q105090971,Checking Under the Hood: Evaluating Google Scholar for Reference Use,37b1b6a8-449b-cdab-2bba-de968057aecf,Janice Adlington,1,,,,,
Q105100042,Talking about Religion: Faculty Book Interviews as a Contribution to Interreligious Dialogue,,,,,,,,
Q105100066,Doing Digital Humanities in Theological Libraries,32bbf49d-409f-4070-9d4a-32c10bda9537,Eileen Crawford,3,,,,,
Q105100078,"Virtual Reference: The Good, the Bad, and the In-Between",cb5f8dae-476e-320c-81de-ac5127171417,Suzanne Estelle-Holmer,2,,,,,
Q105100078,"Virtual Reference: The Good, the Bad, and the In-Between",3ee411dd-41d6-5642-8e31-4077e8683ffd,Amy Limpitlaw,3,,,,,
Q105100088,Battle of the Bibliographic Managers: EndNote vs. RefWorks vs. Zotero!,caeb0697-402f-dad8-dce5-69a374b04117,Amy Limpitlaw,2,,,,,
Q105100088,Battle of the Bibliographic Managers: EndNote vs. RefWorks vs. Zotero!,d15eb3fa-4335-4a1d-476a-dd1f25bad374,Suzanne Estelle-Holmer,3,,,,,
Q105100111,Author Interviews Panel: Faculty Involvement via Self-Promotion,7b2d9697-46d8-685b-e3b0-89a81392f9ac,Brad Ost,2,,,,,
Q105100120,Next-Generation Library Systems for Theological and Religious Studies Panel Discussion,5be01b3c-41ab-9b79-ebb3-f6e2567d83ef,Beth Bidlack,3,,,,,
Q105100120,Next-Generation Library Systems for Theological and Religious Studies Panel Discussion,b05d2a8a-4411-a562-3e49-07d1a8c3ec18,Andrew J. Keck,4,,,,,
Q105100164,User Design,,,,,,,,
Q105100764,Christian Literature,,,,,,,,
Q105302090,"Computationally Driven Characterization of Magnetism, Adsorption, and Reactivity in Metal-Organic Frameworks",,,,,,,,
Q105302428,Cultural values predict national COVID-19 death rates,,,,,,,,
Q105302602,From Chemistry to Data Management,,,,,,,,
Q105302711,Internet Research Agency Twitter activity predicted 2016 U.S. election polls,,,,,,,,
Q105302822,Machine learning for rediscovering revolutionary ideas of the past,,,,,,,,
Q105302938,Managing Digital Research Objects in an Expanding Science Ecosystem: 2017 Conference Summary,ed1c81ff-4c3e-7e0b-e325-ee663c3aa7d5,Bonnie Carroll,2,,,,,
Q105303074,Radiation-induced cathodoluminescent signatures in calcite,58917029-42e6-7140-dc0b-16951ae2f862,Danielle K.Silletti,1,,,,,
Q105303074,Radiation-induced cathodoluminescent signatures in calcite,fec02fcd-4c4e-ad42-f577-4e7b66198e43,Sarah A. Brokus,2,,,,,
Q105303074,Radiation-induced cathodoluminescent signatures in calcite,ab5dfbb9-4631-8af2-b453-ee85fd437824,Elly B. Earlywine,3,,,,,
Q105303074,Radiation-induced cathodoluminescent signatures in calcite,6d4b737c-4425-0b79-a796-4729204244cf,Paul A. DeYoung,6,,,,,
Q105303074,Radiation-induced cathodoluminescent signatures in calcite,6d9aea1e-4249-4596-71ec-fe9096b6af5d,Nickie J. Peters,7,,,,,
Q105303074,Radiation-induced cathodoluminescent signatures in calcite,3835fd85-4706-73cd-6511-6f96773e0446,JoAnn Buscaglia,9,,,,,
Q105423346,Using OER to Promote Inclusion in Higher Education Institutions,,,,,,,,
Q105529868,Cooperative Strategies for European Libraries,,,,,,,,
Q105530032,"Finding the ""B"" in Lgbtq+: Collections and Practices That Support the Bisexual and Pansexual Communities",e9ba426b-4739-4f9b-7e32-3559e6593049,Deborah L. Lilton,2,,,,,
Q105572763,"“Scholarship is a Conversation”: Discourse, Attribution, and Twitter’s Role in Information Literacy Instruction",,,,,,,,
Q105572865,“Why Do We Need an Engineering Library?”: Designing Team-Based Liaison Services for STEM Educators and Researchers,,,,,,,,
Q105573030,A Booster Shot for Health Science Librarianship : Using Canvas and PechaKucha to Flip the Library Classroom,75a2bfcf-4b86-014e-4d48-5f3bd7a77f0a,Nedelina Tchangalova,2,,,,,
Q105573030,A Booster Shot for Health Science Librarianship : Using Canvas and PechaKucha to Flip the Library Classroom,d2b87dcc-4487-cba3-0036-ebe86c31d66b,Eileen G. Harrington,3,,,,,
Q105573632,A Case Study of Narrative Marketing and Appreciative Inquiry in a Special Library,,,,,,,,
Q105574298,A Cohort Study of Entry Level Librarians and the Academic Job Search,b1d72372-4558-b229-4eac-fb1b08a538f2,Jason B. Reed,1,,,,,
Q105574298,A Cohort Study of Entry Level Librarians and the Academic Job Search,9968965f-4ceb-e364-c107-1ecbbf18dcc1,Benjamin Jahre,3,,,,,
Q105574523,"A Study of Research Support Service Needs for Civil, Construction, and Environmental Engineering Researchers at North Carolina State University",bafa63e2-4595-3a4e-8e9f-0c87ce577727,Bertha Chang,1,,,,,
Q105574523,"A Study of Research Support Service Needs for Civil, Construction, and Environmental Engineering Researchers at North Carolina State University",d415070c-49b5-f685-bc0f-2325e4a2a3a0,Colin Nickels,3,,,,,
Q105575935,A Case Study of Narrative Marketing and Appreciative Inquiry in a Special Library,,,,,,,,
Q105575952,A Very Embedded Librarian: Using Captive Audiences (and a Bus) to Build Collaborative Relationships,,,,,,,,
Q105575961,Are Ebooks Used Equally Across the Disciplines?,360b7040-4978-ae33-02af-e30264f93f7c,Teddy Gray,1,,,,,
Q105575971,Better together: combining research and writing support for student scholars,c752be1a-4a48-73d5-58ce-c35a1bbbbe7e,Kelsey Corlett-Rivera,2,,,,,
Q105575971,Better together: combining research and writing support for student scholars,b8f6a6e9-4911-4966-9ba3-ca07da207700,Linda Macri,3,,,,,
Q105635784,Board #2: Integrating Medical Economic Perspectives through Information Literacy in a Biomedical Clinical Immersion Design Course (Work in Progress),15f1c68b-49cf-2b52-f1de-0f9703d9bf8b,Andrew J. DiMeo,2,,,,,
Q105635784,Board #2: Integrating Medical Economic Perspectives through Information Literacy in a Biomedical Clinical Immersion Design Course (Work in Progress),7fef3e34-48bd-c13c-084b-3660d445086f,Hatice O. Ozturk,3,,,,,
Q105635784,Board #2: Integrating Medical Economic Perspectives through Information Literacy in a Biomedical Clinical Immersion Design Course (Work in Progress),1e0e352a-453a-bb7a-c60f-ed30daa5ce46,James McCall,4,,,,,
Q105635799,Board 9 : Work in Progress: Healthcare Economics and Information Literacy - Resources for Success in Undergraduate Biomedical Engineering Education,eeba04eb-4335-fea2-29cc-51d60f207cbd,Andrew J. DiMeo,2,,,,,
Q105635799,Board 9 : Work in Progress: Healthcare Economics and Information Literacy - Resources for Success in Undergraduate Biomedical Engineering Education,ce028b99-408a-b806-7efc-cbe4406ae7f9,James McCall,3,,,,,
Q105635799,Board 9 : Work in Progress: Healthcare Economics and Information Literacy - Resources for Success in Undergraduate Biomedical Engineering Education,82d0c5ea-4ab5-3ddd-bc12-dade09960d73,Hatice O. Ozturk,4,,,,,
Q105635799,Board 9 : Work in Progress: Healthcare Economics and Information Literacy - Resources for Success in Undergraduate Biomedical Engineering Education,78d91ab6-4315-0ed5-de8e-88eb74310f2f,Kelly A. Umstead,5,,,,,
Q105635805,Champagne Information Literacy Workshops on a Beer Budget,245af051-4d70-4998-5110-4565d0f1fbf9,Kelsey Corlett-Rivera,1,,,,,
Q105635805,Champagne Information Literacy Workshops on a Beer Budget,78b69d9f-4962-1095-5123-dff669e2940a,Linda Macri,3,,,,,
Q105635809,"Collaborating for Success: A Case Study on Mentoring, Partnering, and Teaching",e50c7a08-4a0f-af8f-d1a8-b18cbabfa811,Megan N. Kellner,1,,,,,
Q105635809,"Collaborating for Success: A Case Study on Mentoring, Partnering, and Teaching",b7a04ab0-4dcc-5911-4dd5-ec8121d3e304,Nedelina Tchangalova,2,,,,,
Q105635809,"Collaborating for Success: A Case Study on Mentoring, Partnering, and Teaching",f148268d-4c24-4330-757c-7b992dd1fbab,Rachel W. Gammons,3,,,,,
Q105635815,E-Book Perceptions and Use in STEM and Non-STEM Disciplines: A Comparative Follow-Up Study,04ff9b44-4297-afdb-f5f3-170f9ee00741,Kelsey Corlett-Rivera,2,,,,,
Q105635815,E-Book Perceptions and Use in STEM and Non-STEM Disciplines: A Comparative Follow-Up Study,2306fe91-4d91-78da-b153-87016ff27290,Timothy Hackman,3,,,,,
Q105635815,E-Book Perceptions and Use in STEM and Non-STEM Disciplines: A Comparative Follow-Up Study,d9ff4d54-4e26-1df4-5e72-e6a5f7d81a0c,Jinwang Zou,4,,,,,
Q105889905,E-Book Use and Opinions at UMD,7a991382-44d0-bca7-bc10-a3f89bf0955b,Kelsey Corlett-Rivera,2,,,,,
Q105889905,E-Book Use and Opinions at UMD,8573a015-40e2-86a8-b989-fe558ae3a59b,Timothy Hackman,3,,,,,
Q105899588,Evaluation of Low Temperature Mortality as a Range-limiting Factor for the Southwestern Corn Borer (Lepidoptera: Crambidae),,,,,,,,
Q105949854,A new partner in the process: The role of a librarian on a faculty research team,,,,,,,,
Q106066456,Stealing the Limelight? Examining the Relationship Between New Librarians and Their Supervisors,,,,,,,,
Q106067099,Engaging and Empowering High-Impact Educational Communities through Cross-Disciplinary Liaisonship,115acb6f-4178-e9b0-b5a9-62daa5aea5ce,Jennifer Garrett,2,,,,,
Q106067368,"""I Never Knew I Could Be a Teacher"": A Student-Centered MLIS Fellowship for Future Teacher-Librarians",138a4ac9-4bfb-7d83-e8bb-42307cad8191,Rachel W. Gammons,1,,,,,
Q106067368,"""I Never Knew I Could Be a Teacher"": A Student-Centered MLIS Fellowship for Future Teacher-Librarians",6d9cd891-4a9c-f57f-86be-ae6d0a05d19a,Lindsay Inge Carpenter,3,,,,,
Q106067724,Investigating Emerging Roles for Medical Librarians at College and University Libraries,24d2479d-4083-a061-e6e0-0e2c81eda670,Jason B. Reed,2,,,,,
Q106068060,Lab-Integrated Librarians: A Model for Research Engagement,7c4c4a64-4450-37b1-c16f-00dd6438ee6c,Bertha P. Chang,3,,,,,
Q106070195,Lab-integrated librarians: engagement with unreachable researchers,98E80B4A-FFB8-4397-BD12-571767A7B971,Bertha Chang,2,81ec93aed6604549e5aafac5e8c182a44190c6ff,http://doi.org/10.18260/1-2--28603,f21433ce18ccd7a8e2b7ef732fdbc131,2021-04-12T00:00:00Z,11
Q106186862,The Pivotal Role of Academic Librarians in Digital Learning,,,,,,,,
Q106328066,Landing Your First Academic Library Job: A Cohort Study of Recent Graduates from the UNC at Chapel Hill’s School of Information and Library Science,96034d9e-44f7-d93c-ea17-767b628bf5a9,Jason Reed,1,,,,,
Q106328066,Landing Your First Academic Library Job: A Cohort Study of Recent Graduates from the UNC at Chapel Hill’s School of Information and Library Science,428ea2bd-42e7-48fe-66ac-d60776537d7c,Ben Jahre,3,,,,,
Q106328117,Librarians as Action Researchers: A Practical Framework for Evidence-Based Information Literacy Instruction,45b9eef1-4192-a690-3920-e6dcb134c6d5,Kevin Michael Klipfel,1,,,,,
Q106328229,Part of the team: Lab-integrated research support and information literacy instruction,,,,,,,,
Q106328891,Preparing Medical Students for Residency: Efficacy of Evidence Based Medicine Instruction,,,,,,,,
Q106328920,Replicating our Instructional Capacity: Developing Shared Workshops across Institutions,c187227f-4555-176f-a887-c22d0dcd868c,Danica Lewis,1,,,,,
Q106328960,Roles for Health Sciences Librarians at College and University Libraries,bd24c740-476e-b831-cf29-4ed45bd3cc20,Jason B. Reed,1,,,,,
Q106329001,Sharing Our Success: Using a Teacher Training Program to Improve Information Literacy Instruction and Support MLIS Students,9e18d484-4e17-de59-e799-7d5323f10602,Rachel Gammons,1,,,,,
Q106329001,Sharing Our Success: Using a Teacher Training Program to Improve Information Literacy Instruction and Support MLIS Students,1400da6b-4e1c-3800-44b9-a4e878b42aad,Lindsay Inge,2,,,,,
Q106329033,STEM Abstracting and Indexing (A&I) Tool Overlap Analysis in 2020: An Open Science Informed Approach Amid Pandemic Budgets,,,,,,,,
Q106395870,"Stephanie Davis-Kahl and Melinda Kaye Hensley, eds., Common Ground at the Nexus of Information Literacy and Scholarly Communication",,,,,,,,
Q106395888,Supporting medical innovation and entrepreneurship through curriculum-integrated information literacy instruction,,,,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,dacd3e33-4482-9fd5-adcf-0b4f5303dff8,Rebecca Springer,2,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,be8c38d5-4870-9167-5a41-a516c17869dd,Jessica G. Benner,3,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,128dd6a7-4dea-ba39-5846-712994945e5d,David Bloom,4,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,66e6d9c7-4892-afe2-75e6-c4df6c64ec86,Erin Carrillo,5,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,7188a19d-404e-f7f9-f400-8959eb9d77df,Bertha Chang,7,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,b4ba0b68-4b04-5389-536b-c8bf8c368e36,Erin Daix,9,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,b1041a53-4369-e4a9-1cc4-0d92e306ddce,Emily Dommermuth,10,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,bc3ada11-4052-58ec-34b4-a0ab243bbfc9,Rachel Figueiredo,11,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,1e5c743d-4a90-c9cf-d3aa-3ce654daaab2,Jennifer Haas,12,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,294c063f-420a-0930-4493-c82a97b46f8a,Carly A. Hafner,13,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,f400c9ad-4c27-c391-3240-49455090d4cd,Whitney Hayes,14,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,bff5e8ed-4f82-973e-dca9-137a113e3fc6,Angela Henshilwood,15,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,6523e951-45da-6dd6-f58c-33c2520d5a6f,Alexandra Lyn Craig Krogman,16,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,8cd8e9e0-4b5a-81f1-7b06-9ccb69bc9f29,Rebecca Zuege Kuglitsch,17,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,e7117040-41d8-ec03-8dec-aad62ba8a02c,Sabine Lanteri,18,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,e528762f-4616-e531-d414-6a8e20a229a6,Abbey Lewis,19,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,4db693cd-4cef-a7e4-737c-e0a0bc0194ac,Lisha Li,20,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,854c5759-4c30-cee3-b42b-90ee533a0387,Tom Melvin,22,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,7c8a15d4-4b58-f297-31be-464b54ecc63d,Todd Michelson-Ambelang,23,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,54915e05-4c28-4cbc-caee-025411beafb6,Colin Nickels,25,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,10d43587-4c51-6367-a0cf-9dfcd63b8501,Ginny Pannabecker,26,,,,,
Q106395980,Supporting the Changing Research Practices of Civil and Environmental Engineering Scholars,470b911a-409d-7f49-c6c7-5103a5639d36,Fred Rascoe,27,,,,,
