qid,label_en,author_uuid,author,author_series_ordinal,author_stated_as,author_ref1_hash,author_ref1_referenceUrl,author_ref1_retrieved_nodeId,author_ref1_retrieved_val,author_ref1_retrieved_prec
Q103836674,Exposing the Null Curriculum in Graduate Religious Education,F60571FA-A22F-48AC-8022-1F56D13A650E,Q101542405,1,,,,,,
Q103836675,"Archive, Anamnesis, & A Real-Beyond-Presence in the Eucharistic Liturgy",21040ECF-08ED-407A-BF50-59BF2CE6E1BB,Q101542405,1,,,,,,
Q103836679,(Not Your) Grandpa's Church Service: Pyrotheology's Familial Resemblance to Liberal Theology and the Possibilities for Political Liturgy,44A5C6FA-52EA-47AB-BE7E-1D8EF4C49CCE,Q101542405,1,,,,,,
Q103836680,"There is Nothing New Under the Sun? Reflections on ""The New Librarianship"" and the Theological Library",28F5E445-0E6C-4E5B-A98B-AA9E9A2E33CB,Q101542405,1,,,,,,
Q103836684,Liturgy,CC4BF626-0377-4E14-9312-2127720AFDB6,Q101542405,1,,,,,,
Q103836687,Sacramental and Liturgical Theology,63218C6E-9742-4DB5-ACCF-CD93FA18CBC2,Q101542405,1,,,,,,
Q103836688,"Haunted Houses, Spooky Rituals, and Practicing Perhaps",62918D4B-6B43-4C6D-AA69-2C1D9F9F3170,Q101542405,1,,,,,,
Q103836690,Radical on the Bookshelf,4C1A4A60-320A-47F7-AFA7-3E883B4A3EF1,Q101542405,1,,,,,,
Q103837192,Relational Librarianship @ Your Library,DFB345CE-FD36-4F97-8E95-E36EEDE81A87,Q101542405,1,,,,,,
Q103837275,Library as Thesis Laboratory: A Workshop-Based Approach to How Librarians Can Support Writing and Research,833B86FF-6994-4920-B916-331EA4C9031C,Q97445911,1,,,,,,
Q103837275,Library as Thesis Laboratory: A Workshop-Based Approach to How Librarians Can Support Writing and Research,A2BB4AF3-176B-4BCE-A190-6DAE98DD74F4,Q101542405,1,,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,A444D7ED-2AD5-4F99-9F46-18C35FA91AB8,Q56839813,13,Paula F Zermoglio,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,1FB73393-A7AF-4944-8133-256F31252526,Q56798499,14,Annie Simpson,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,8A347CD5-58C3-4730-905C-1733D7C6E19B,Q40670042,7,Steven J Baskauf,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,A9737FC0-51E0-4E26-A104-EDB6B63BC57D,Q52833318,5,Damiano Oldoni,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,A9C2CE2C-CCC9-4FA0-9AFF-E45425D601B8,Q57561067,3,Lien Reyserhove,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,71F8941D-5FA5-4C98-8A10-E22BFC10E17A,Q28913658,1,Quentin Groom,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,8E091BA3-9C7D-4582-9DE9-0C1D477C2175,Q56296490,4,Tim Adriaens,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,FEE278BD-9A51-4F01-B4AA-4E2A28AF7152,Q25802817,2,Peter Desmet,,,,,
Q104738349,Building Institutional Repositories in Theological Libraries,ae4abcb4-4be7-ee01-4073-0123894d395e,Q38099106,1,,,,,,
Q104738349,Building Institutional Repositories in Theological Libraries,1e05c0f0-4813-377e-55dc-c071d56b3036,Q104738269,2,,,,,,
Q104778096,A Reflection on Seven Years in the Divinity Library Exhibit Programs,c9bd7e66-43f2-051e-3380-c4e1bdb10bfa,Q104738269,1,,,,,,
Q104822949,The library's role in countering infodemics,bb63a382-4aea-fcaf-b546-77257ff7d4de,Q96400978,,Philip Walker,,,,,
Q104976160,Data Curation 101 for Theological Librarians,7bbd3ff7-423c-8566-6169-d04cb81db96f,Q38099106,1,,,,,,
Q104976160,Data Curation 101 for Theological Librarians,2b76740a-4067-3ae3-0374-7a977f8bb815,Q97445911,2,,,,,,
Q104976841,Digital Humanities and Academic Libraries,d11dc48a-437b-b894-1afc-dc6e4e92ccbd,Q97445911,2,,,,,,
Q104977852,Crosswalking the Disciplines: Reimagining Information Literacy Instruction for a History Methods Course,b105e8df-4cd6-d6dd-0049-d6b0f0d6fc4c,Q97445911,1,,,,,,
Q104978597,"From Humanities to Scholarship: Librarians, Labor, and the Digital",941752e6-41cb-5ba2-d994-e4fa2de302d1,Q97445911,1,,,,,,
Q104986918,New Haven,965223e2-4bfb-7572-1927-fa79f4693bdf,Q97445911,1,,,,,,
Q104987001,"Taylor, Nathaniel William (1786-1858)",8aafa808-4c0c-6e8f-f309-a2c18722e016,Q97445911,1,,,,,,
Q104987222,Saudi Arabia,7e7cd63d-45ca-51b1-1cb0-be06b8124999,Q97445911,1,,,,,,
Q104987330,Sudan,3a3325ae-44d1-0547-7e4b-5c51f4caef62,Q97445911,1,,,,,,
Q104987401,"Publishing Theory and Praxis: Information Literary, Theological Librarianship, and Atla Open Press",1bda459e-4257-259a-0bf8-6d5869db82af,Q97445911,3,,,,,,
Q104987548,Theological Librarianship in the Age of Digital Humanities,8eb1c73d-4067-ee8e-8e06-36c3c614c65f,Q97445911,1,,,,,,
Q104987704,Sensational Religion: Sensory Cultures in Material Practice,ef00efb3-4dd2-ef40-b46c-75509737b01d,Q97445911,1,,,,,,
Q104987956,Comparative Textual Media: Transforming the Humanities in the Postprint Era,c1b62cc4-44b7-5631-68bc-57d0713c41d4,Q97445911,1,,,,,,
Q104988071,Import of the Archive: U.S. Colonial Rule of the Philippines and the Making of American Archival History,b3d844c5-49fb-0fd4-7973-9a100b10231d,Q97445911,1,,,,,,
Q104988221,Toward Spatial Humanities: Historical GIS and Spatial History,9496dd0a-4a50-a2b9-061f-7bdb49975eba,Q97445911,1,,,,,,
Q104988832,Proposed Model of Information Behaviour in Crisis: The Case of Hurricane Sandy,fe483226-41ea-9bbb-0b00-35a6e673889e,Q97445911,2,,,,,,
Q105090971,Checking Under the Hood: Evaluating Google Scholar for Reference Use,977aaa95-4935-8c2c-3a9b-e3edeb1e7ec5,Q101542374,2,,,,,,
Q105100042,Talking about Religion: Faculty Book Interviews as a Contribution to Interreligious Dialogue,771bcb56-4a0b-9c80-cdfd-e9cec9701d0d,Q101542374,1,,,,,,
Q105100066,Doing Digital Humanities in Theological Libraries,78215933-4d60-d820-b6b9-6e928e5e24c3,Q101542374,2,,,,,,
Q105100066,Doing Digital Humanities in Theological Libraries,c29d24ab-4af6-395d-e892-ba6758974e5f,Q38099106,1,,,,,,
Q105100078,"Virtual Reference: The Good, the Bad, and the In-Between",534e0a52-4c63-c0cc-2db7-8ae2ae0007e5,Q101542374,1,,,,,,
Q105100088,Battle of the Bibliographic Managers: EndNote vs. RefWorks vs. Zotero!,c5b6fee5-4b01-5824-e1e4-d8a82f591c16,Q101542374,1,,,,,,
Q105100111,Author Interviews Panel: Faculty Involvement via Self-Promotion,84195fdd-41b1-8f0b-644b-371e3d1656b4,Q101542374,1,,,,,,
Q105100120,Next-Generation Library Systems for Theological and Religious Studies Panel Discussion,03553e7c-4df4-6639-fae2-7e5dd09ef1dc,Q101542374,2,,,,,,
Q105100120,Next-Generation Library Systems for Theological and Religious Studies Panel Discussion,661155be-411a-7f1e-3ce6-73a65b849c97,Q21934216,1,,,,,,
Q105100164,User Design,d068ec87-4121-108c-620f-9d3a19de9f86,Q101542374,1,,,,,,
Q105100764,Christian Literature,61f43590-44d9-3fe0-b6d0-cf70bb61e5c9,Q101542374,1,,,,,,
Q105423346,Using OER to Promote Inclusion in Higher Education Institutions,1514244f-4fe2-db74-68c1-fb26feb7402d,Q105423289,1,,,,,,
Q105423346,Using OER to Promote Inclusion in Higher Education Institutions,d167b3ba-4c94-4d64-aa26-efd122836e72,Q38099117,2,,,,,,
Q105529868,Cooperative Strategies for European Libraries,1bd2043b-4149-5c58-85f0-79c562225555,Q101542376,1,,,,,,
Q105530032,"Finding the ""B"" in Lgbtq+: Collections and Practices That Support the Bisexual and Pansexual Communities",5f12e189-464d-0ff8-5945-b4c63dad4ba9,Q86741276,1,,,,,,
Q105572763,"“Scholarship is a Conversation”: Discourse, Attribution, and Twitter’s Role in Information Literacy Instruction",8e238d97-4985-a615-7b36-19ab1a8110f0,Q90285091,1,,,,,,
Q105572763,"“Scholarship is a Conversation”: Discourse, Attribution, and Twitter’s Role in Information Literacy Instruction",764eb807-44c6-34a4-6fbc-9d376ecd9391,Q59510439,2,,,,,,
Q105572865,“Why Do We Need an Engineering Library?”: Designing Team-Based Liaison Services for STEM Educators and Researchers,f10a5d09-4d7e-af5d-bf4b-3cf776986d85,Q101542378,1,,,,,,
Q105572865,“Why Do We Need an Engineering Library?”: Designing Team-Based Liaison Services for STEM Educators and Researchers,7700d714-48ff-d9a9-5cc6-ec6b556370c3,Q90285091,2,,,,,,
Q105573030,A Booster Shot for Health Science Librarianship : Using Canvas and PechaKucha to Flip the Library Classroom,e5da9ae5-434b-548e-a52a-ee3503161a4c,Q90285091,1,,,,,,
Q105573632,A Case Study of Narrative Marketing and Appreciative Inquiry in a Special Library,75bef273-40c8-79eb-e2c7-3f7ce9ba61e2,Q90285091,1,,,,,,
Q105574298,A Cohort Study of Entry Level Librarians and the Academic Job Search,2ac3d3c5-4441-9b52-b217-fa7320b79a35,Q90285091,2,,,,,,
Q105574523,"A Study of Research Support Service Needs for Civil, Construction, and Environmental Engineering Researchers at North Carolina State University",d096639d-4542-8348-2231-cdb9e146f959,Q90285091,2,,,,,,
Q105575935,A Case Study of Narrative Marketing and Appreciative Inquiry in a Special Library,699f484e-4fec-a1f6-39dc-3fef98be75b7,Q90285091,1,,,,,,
Q105575952,A Very Embedded Librarian: Using Captive Audiences (and a Bus) to Build Collaborative Relationships,870e2832-4894-e5fd-812d-9e32f422dd93,Q90285091,1,,,,,,
Q105575961,Are Ebooks Used Equally Across the Disciplines?,154f739e-4d3f-992a-2318-a5612c97a865,Q90285091,2,,,,,,
Q105575971,Better together: combining research and writing support for student scholars,0188abc1-4d26-f15c-6f14-fa235b35117a,Q90285091,1,,,,,,
Q105635784,Board #2: Integrating Medical Economic Perspectives through Information Literacy in a Biomedical Clinical Immersion Design Course (Work in Progress),598da375-47bd-8a5e-ccc3-085f49579c1a,Q90285091,1,,,,,,
Q105635799,Board 9 : Work in Progress: Healthcare Economics and Information Literacy - Resources for Success in Undergraduate Biomedical Engineering Education,185fd84a-466a-9a92-3e5e-9b74e9cb6e6b,Q90285091,1,,,,,,
Q105635799,Board 9 : Work in Progress: Healthcare Economics and Information Literacy - Resources for Success in Undergraduate Biomedical Engineering Education,9c477e5e-4fca-9964-3098-75f64800e775,Q90285096,6,,,,,,
Q105635805,Champagne Information Literacy Workshops on a Beer Budget,ff54d3a8-44f1-99a7-aef2-33b83ec02408,Q90285091,2,,,,,,
Q105635809,"Collaborating for Success: A Case Study on Mentoring, Partnering, and Teaching",103402f2-4f6a-2c07-5c21-ccb79cbfee13,Q90285091,4,,,,,,
Q105635809,"Collaborating for Success: A Case Study on Mentoring, Partnering, and Teaching",280b90a1-41e3-b081-e217-0a9a88192372,Q43073588,5,,,,,,
Q105635815,E-Book Perceptions and Use in STEM and Non-STEM Disciplines: A Comparative Follow-Up Study,bace4f8f-48dd-7484-f98c-07cbb0f552a4,Q90285091,1,,,,,,
Q105889905,E-Book Use and Opinions at UMD,a1ad8bdd-4816-02e9-b731-928802779ec1,Q90285091,1,,,,,,
Q105899588,Evaluation of Low Temperature Mortality as a Range-limiting Factor for the Southwestern Corn Borer (Lepidoptera: Crambidae),C0DF6808-E5B2-4C6E-91B9-65C0C4025319,Q40670042,1,S. J. Baskauf,3eb61d9d40c372cd602838293b8eb42d42482b1f,https://doi.org/10.1603/0046-225X-30.2.181,8a1b1c38ddaee1da42a7aa399ab0742a,2021-03-11T00:00:00Z,11
Q105899588,Evaluation of Low Temperature Mortality as a Range-limiting Factor for the Southwestern Corn Borer (Lepidoptera: Crambidae),8742F251-2F20-453B-9A36-C063BEA23EC0,Q74442060,2,D. E. McCauley,3eb61d9d40c372cd602838293b8eb42d42482b1f,https://doi.org/10.1603/0046-225X-30.2.181,8a1b1c38ddaee1da42a7aa399ab0742a,2021-03-11T00:00:00Z,11
Q105949854,A new partner in the process: The role of a librarian on a faculty research team,170C7C4A-C5A8-42A4-A549-3AF3B9692A23,Q101542379,1,Leslie Foutch,91113cc16ee2adb025d5d7e9e628ee08447f0978,https://digitalcommons.du.edu/collaborativelibrarianship/vol8/iss2/6,19022b66a6d2e931e1fa371c885b3ed3,2021-03-13T00:00:00Z,11
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,28eca154-4592-06a7-9c8c-7d8c1644a027,Q63240627,1,,9406c09c4f684715dc719e34d341fc8ebbd50568,,edd9cb9ea85a1c9f5a9c2c9815fa1279,2017-06-21T00:00:00Z,11
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,ABE6BE1F-97A8-4AB2-B0B3-033301BC8D29,Q55829951,3,Robert Guralnick,9406c09c4f684715dc719e34d341fc8ebbd50568,,edd9cb9ea85a1c9f5a9c2c9815fa1279,2017-06-21T00:00:00Z,11
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,DAB204D4-E79F-4D32-8B70-3BAD77905CD7,Q809101,20,,9406c09c4f684715dc719e34d341fc8ebbd50568,,edd9cb9ea85a1c9f5a9c2c9815fa1279,2017-06-21T00:00:00Z,11
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,13E2A731-2F9F-4EE1-B3B3-E790B3D7354E,Q47502211,19,Mark Schildhauer,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,30558774-8D91-43AE-85F1-B5CC3564E350,Q40670042,4,Steve Baskauf,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,3CBA6638-C99B-4821-B027-D4FDD1557F32,Q47502205,15,Andréa Matsunaga,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,512FB9EA-910C-436B-AE43-085F8791A6CA,Q47502207,22,Andrea Thomer,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,6A178BCA-6A70-406F-974A-407ED667DA77,Q30528088,9,Neil Davies,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,BBAFF157-CE98-4CB6-9FA1-DC4843793EC6,Q47502209,10,Dag Endresen,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,D990012D-F946-4584-B30E-D8F75329A376,Q47502208,16,Peter Midford,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,EFD15735-E6FA-44B4-B39D-5FF049A4C5AF,Q30417030,25,,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,F07BDDE4-5CD1-4600-B76F-2A94C81E995A,Q41566750,8,Pier Luigi Buttigieg,,,,,
Q33201997,A model for training the new bioinformationist.,3B50529F-9028-4A1A-BBA3-6B5C0AAA934B,Q53401108,4,,7816a268641606997209ea44afd5b1ac745d93ef,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:15098047%20AND%20SRC:MED&resulttype=core&format=json,a1f808347877fd06749cf518ec6a2cf8,2019-12-27T00:00:00Z,11
Q33201997,A model for training the new bioinformationist.,72CAAEE1-F202-4BD3-949F-C6239779C39F,Q57375867,3,,7816a268641606997209ea44afd5b1ac745d93ef,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:15098047%20AND%20SRC:MED&resulttype=core&format=json,a1f808347877fd06749cf518ec6a2cf8,2019-12-27T00:00:00Z,11
Q33201997,A model for training the new bioinformationist.,A00ADB08-CA75-4824-BA9E-5A081F7A9E9F,Q79961247,5,,7816a268641606997209ea44afd5b1ac745d93ef,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:15098047%20AND%20SRC:MED&resulttype=core&format=json,a1f808347877fd06749cf518ec6a2cf8,2019-12-27T00:00:00Z,11
Q35026999,Strategically aligning a mandala of competencies to advance a transformative vision.,0D18933F-438F-4F84-BF38-05E51B6F5DE0,Q56000353,1,,1c9439a85b6363e3e319c4f5eb67c569f7b2e677,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:24163597%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q35026999,Strategically aligning a mandala of competencies to advance a transformative vision.,1DC9A25B-61D9-4C30-9E50-F80260AD9A48,Q53401108,3,,1c9439a85b6363e3e319c4f5eb67c569f7b2e677,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:24163597%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q35026999,Strategically aligning a mandala of competencies to advance a transformative vision.,4627D7BA-67A1-4E6B-B0D1-151FB6456B91,Q79961247,5,,1c9439a85b6363e3e319c4f5eb67c569f7b2e677,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:24163597%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q35026999,Strategically aligning a mandala of competencies to advance a transformative vision.,DD9CEDFD-7DE8-4C76-8ABC-9015513A18AC,Q57375867,7,,1c9439a85b6363e3e319c4f5eb67c569f7b2e677,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:24163597%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q35026999,Strategically aligning a mandala of competencies to advance a transformative vision.,7B2A5A27-7E26-449C-AE9F-822CDE470485,Q89949423,8,Rebecca N Jerome,1c9439a85b6363e3e319c4f5eb67c569f7b2e677,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:24163597%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q35072154,Nitrous oxide for the management of labor pain: a systematic review.,008D586B-11D0-472C-8D74-B2FC7532CD0D,Q79961247,7,,e206945bd99a45c1f5db4cb5b8dc0c4dbf188d4f,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:24356165%20AND%20SRC:MED&resulttype=core&format=json,ab3b402b6f07a39b81df83cc13aca66d,2020-03-03T00:00:00Z,11
Q35072154,Nitrous oxide for the management of labor pain: a systematic review.,2AFDE162-63F9-495A-8F4A-EB10904603B1,Q51109528,1,,e206945bd99a45c1f5db4cb5b8dc0c4dbf188d4f,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:24356165%20AND%20SRC:MED&resulttype=core&format=json,ab3b402b6f07a39b81df83cc13aca66d,2020-03-03T00:00:00Z,11
Q35989299,Flipping one-shot library instruction: using Canvas and Pecha Kucha for peer teaching.,01A4F5E7-6BBB-4844-A51D-6DAF1EDC69BA,Q90285091,1,,7b1091d3b00a2bb8c330e7cf31c3f167a57adf22,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:27076799%20AND%20SRC:MED&resulttype=core&format=json,3c2a1b4f8f8ff05f493e1e67095f0ace,2020-06-03T00:00:00Z,11
Q38422208,Integrating computerized clinical decision support systems into clinical work: A meta-synthesis of qualitative research.,AD134BA1-3420-4AC6-8E7D-6DBC3F80BC77,Q79961247,4,,7f82baac91e8a1a0aeb64ab3f278aaabd4e98cc3,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:26391601%20AND%20SRC:MED&resulttype=core&format=json,3c2a1b4f8f8ff05f493e1e67095f0ace,2020-06-03T00:00:00Z,11
Q44943965,Darwin-SW: Darwin Core-based terms for expressing biodiversity data as RDF,5753a4af-4e21-de83-5180-d1322f8faae0,Q45342779,2,Campbell O. Webb,,,,,
Q44943965,Darwin-SW: Darwin Core-based terms for expressing biodiversity data as RDF,d1d2980d-4132-dd53-adb1-649d440ca01c,Q40670042,1,Steven J. Baskauf,,,,,
