value,label,count
P31,instance of,139
P50,author,139
P577,publication date,136
P1476,title,132
P1433,published in,111
P304,page(s),100
P478,volume,88
P356,DOI,75
P433,issue,70
P2093,author name string,46
P1104,number of pages,39
P953,full work available at URL,36
P921,main subject,35
P407,language of work or name,24
P698,PubMed ID,16
P2860,cites work,13
P932,PMCID,10
P859,sponsor,8
P212,ISBN-13,8
P856,official website,7
P123,publisher,7
P6977,review of,6
P291,place of publication,4
P5875,ResearchGate publication ID,4
P8978,DBLP publication ID,4
P243,OCLC control number,4
P648,Open Library ID,3
P973,described at URL,3
P2969,Goodreads version/edition ID,3
P276,location,2
P888,JSTOR article ID,2
P8383,Goodreads work ID,2
P275,copyright license,1
P585,point in time,1
P629,edition or translation of,1
P664,organizer,1
P675,Google Books ID,1
P1581,official blog,1
P1640,curator,1
P1680,subtitle,1
P2699,URL,1
P3181,OpenCitations bibliographic resource ID,1
P4011,Semantic Scholar paper ID,1
P4101,dissertation submitted to,1
P6216,copyright status,1
P6721,K10plus PPN ID,1
P136,genre,1
