qid,label_en,author_uuid,author,author_ordinal,author_ref1_hash,author_ref1_statedIn,author_ref1_referenceUrl,author_ref1_retrieved_nodeId,author_ref1_retrieved_val,author_ref1_retrieved_prec
Q103836674,Exposing the Null Curriculum in Graduate Religious Education,F60571FA-A22F-48AC-8022-1F56D13A650E,Q101542405,1,,,,,,
Q103836675,"Archive, Anamnesis, & A Real-Beyond-Presence in the Eucharistic Liturgy",21040ECF-08ED-407A-BF50-59BF2CE6E1BB,Q101542405,1,,,,,,
Q103836679,(Not Your) Grandpa's Church Service: Pyrotheology's Familial Resemblance to Liberal Theology and the Possibilities for Political Liturgy,44A5C6FA-52EA-47AB-BE7E-1D8EF4C49CCE,Q101542405,1,,,,,,
Q103836680,"There is Nothing New Under the Sun? Reflections on ""The New Librarianship"" and the Theological Library",28F5E445-0E6C-4E5B-A98B-AA9E9A2E33CB,Q101542405,1,,,,,,
Q103836684,Liturgy,CC4BF626-0377-4E14-9312-2127720AFDB6,Q101542405,1,,,,,,
Q103836687,Sacramental and Liturgical Theology,63218C6E-9742-4DB5-ACCF-CD93FA18CBC2,Q101542405,1,,,,,,
Q103836688,"Haunted Houses, Spooky Rituals, and Practicing Perhaps",62918D4B-6B43-4C6D-AA69-2C1D9F9F3170,Q101542405,1,,,,,,
Q103836690,Radical on the Bookshelf,4C1A4A60-320A-47F7-AFA7-3E883B4A3EF1,Q101542405,1,,,,,,
Q103837192,Relational Librarianship @ Your Library,DFB345CE-FD36-4F97-8E95-E36EEDE81A87,Q101542405,1,,,,,,
Q103837275,Library as Thesis Laboratory: A Workshop-Based Approach to How Librarians Can Support Writing and Research,833B86FF-6994-4920-B916-331EA4C9031C,Q97445911,1,,,,,,
Q103837275,Library as Thesis Laboratory: A Workshop-Based Approach to How Librarians Can Support Writing and Research,A2BB4AF3-176B-4BCE-A190-6DAE98DD74F4,Q101542405,1,,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,71F8941D-5FA5-4C98-8A10-E22BFC10E17A,Q28913658,1,,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,8E091BA3-9C7D-4582-9DE9-0C1D477C2175,Q56296490,4,,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,FEE278BD-9A51-4F01-B4AA-4E2A28AF7152,Q25802817,2,,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,A444D7ED-2AD5-4F99-9F46-18C35FA91AB8,Q56839813,13,,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,1FB73393-A7AF-4944-8133-256F31252526,Q56798499,14,,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,8A347CD5-58C3-4730-905C-1733D7C6E19B,Q40670042,7,,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,A9737FC0-51E0-4E26-A104-EDB6B63BC57D,Q52833318,5,,,,,,
Q104154259,Improving Darwin Core for research and management of alien species,A9C2CE2C-CCC9-4FA0-9AFF-E45425D601B8,Q57561067,3,,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,28eca154-4592-06a7-9c8c-7d8c1644a027,Q63240627,1,9406c09c4f684715dc719e34d341fc8ebbd50568,Q5412157,,edd9cb9ea85a1c9f5a9c2c9815fa1279,2017-06-21T00:00:00Z,11
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,ABE6BE1F-97A8-4AB2-B0B3-033301BC8D29,Q55829951,3,9406c09c4f684715dc719e34d341fc8ebbd50568,Q5412157,,edd9cb9ea85a1c9f5a9c2c9815fa1279,2017-06-21T00:00:00Z,11
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,DAB204D4-E79F-4D32-8B70-3BAD77905CD7,Q809101,20,9406c09c4f684715dc719e34d341fc8ebbd50568,Q5412157,,edd9cb9ea85a1c9f5a9c2c9815fa1279,2017-06-21T00:00:00Z,11
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,13E2A731-2F9F-4EE1-B3B3-E790B3D7354E,Q47502211,19,,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,30558774-8D91-43AE-85F1-B5CC3564E350,Q40670042,4,,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,3CBA6638-C99B-4821-B027-D4FDD1557F32,Q47502205,15,,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,512FB9EA-910C-436B-AE43-085F8791A6CA,Q47502207,22,,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,6A178BCA-6A70-406F-974A-407ED667DA77,Q30528088,9,,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,BBAFF157-CE98-4CB6-9FA1-DC4843793EC6,Q47502209,10,,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,D990012D-F946-4584-B30E-D8F75329A376,Q47502208,16,,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,EFD15735-E6FA-44B4-B39D-5FF049A4C5AF,Q30417030,25,,,,,,
Q28658282,Semantics in support of biodiversity knowledge discovery: an introduction to the biological collections ontology and related ontologies.,F07BDDE4-5CD1-4600-B76F-2A94C81E995A,Q41566750,8,,,,,,
Q33201997,A model for training the new bioinformationist.,3B50529F-9028-4A1A-BBA3-6B5C0AAA934B,Q53401108,4,7816a268641606997209ea44afd5b1ac745d93ef,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:15098047%20AND%20SRC:MED&resulttype=core&format=json,a1f808347877fd06749cf518ec6a2cf8,2019-12-27T00:00:00Z,11
Q33201997,A model for training the new bioinformationist.,72CAAEE1-F202-4BD3-949F-C6239779C39F,Q57375867,3,7816a268641606997209ea44afd5b1ac745d93ef,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:15098047%20AND%20SRC:MED&resulttype=core&format=json,a1f808347877fd06749cf518ec6a2cf8,2019-12-27T00:00:00Z,11
Q33201997,A model for training the new bioinformationist.,A00ADB08-CA75-4824-BA9E-5A081F7A9E9F,Q79961247,5,7816a268641606997209ea44afd5b1ac745d93ef,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:15098047%20AND%20SRC:MED&resulttype=core&format=json,a1f808347877fd06749cf518ec6a2cf8,2019-12-27T00:00:00Z,11
Q35026999,Strategically aligning a mandala of competencies to advance a transformative vision.,0D18933F-438F-4F84-BF38-05E51B6F5DE0,Q56000353,1,1c9439a85b6363e3e319c4f5eb67c569f7b2e677,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:24163597%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q35026999,Strategically aligning a mandala of competencies to advance a transformative vision.,1DC9A25B-61D9-4C30-9E50-F80260AD9A48,Q53401108,3,1c9439a85b6363e3e319c4f5eb67c569f7b2e677,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:24163597%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q35026999,Strategically aligning a mandala of competencies to advance a transformative vision.,4627D7BA-67A1-4E6B-B0D1-151FB6456B91,Q79961247,5,1c9439a85b6363e3e319c4f5eb67c569f7b2e677,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:24163597%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q35026999,Strategically aligning a mandala of competencies to advance a transformative vision.,DD9CEDFD-7DE8-4C76-8ABC-9015513A18AC,Q57375867,7,1c9439a85b6363e3e319c4f5eb67c569f7b2e677,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:24163597%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q35026999,Strategically aligning a mandala of competencies to advance a transformative vision.,7B2A5A27-7E26-449C-AE9F-822CDE470485,Q89949423,8,1c9439a85b6363e3e319c4f5eb67c569f7b2e677,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:24163597%20AND%20SRC:MED&resulttype=core&format=json,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q35072154,Nitrous oxide for the management of labor pain: a systematic review.,008D586B-11D0-472C-8D74-B2FC7532CD0D,Q79961247,7,e206945bd99a45c1f5db4cb5b8dc0c4dbf188d4f,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:24356165%20AND%20SRC:MED&resulttype=core&format=json,ab3b402b6f07a39b81df83cc13aca66d,2020-03-03T00:00:00Z,11
Q35072154,Nitrous oxide for the management of labor pain: a systematic review.,2AFDE162-63F9-495A-8F4A-EB10904603B1,Q51109528,1,e206945bd99a45c1f5db4cb5b8dc0c4dbf188d4f,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:24356165%20AND%20SRC:MED&resulttype=core&format=json,ab3b402b6f07a39b81df83cc13aca66d,2020-03-03T00:00:00Z,11
Q35989299,Flipping one-shot library instruction: using Canvas and Pecha Kucha for peer teaching.,01A4F5E7-6BBB-4844-A51D-6DAF1EDC69BA,Q90285091,1,7b1091d3b00a2bb8c330e7cf31c3f167a57adf22,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:27076799%20AND%20SRC:MED&resulttype=core&format=json,3c2a1b4f8f8ff05f493e1e67095f0ace,2020-06-03T00:00:00Z,11
Q38422208,Integrating computerized clinical decision support systems into clinical work: A meta-synthesis of qualitative research.,AD134BA1-3420-4AC6-8E7D-6DBC3F80BC77,Q79961247,4,7f82baac91e8a1a0aeb64ab3f278aaabd4e98cc3,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:26391601%20AND%20SRC:MED&resulttype=core&format=json,3c2a1b4f8f8ff05f493e1e67095f0ace,2020-06-03T00:00:00Z,11
Q44943965,Darwin-SW: Darwin Core-based terms for expressing biodiversity data as RDF,5753a4af-4e21-de83-5180-d1322f8faae0,Q45342779,2,,,,,,
Q44943965,Darwin-SW: Darwin Core-based terms for expressing biodiversity data as RDF,d1d2980d-4132-dd53-adb1-649d440ca01c,Q40670042,1,,,,,,
Q50495620,"For Medical Literature Expertise, Ask a Librarian.",AAA3C45A-9FC3-4831-9F99-535E094F611F,Q79961247,1,b4b29482b264f0ce9991d11df9d092ae11661326,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:27465088%20AND%20SRC:MED&resulttype=core&format=json,9a84b0c06c4a01cb49163fba493831d3,2020-06-11T00:00:00Z,11
Q53870396,Data Management: Streamlining Your Research and Publication Pipeline,97373014-4fb7-f303-7463-474e263825d3,Q38196451,,,,,,,
Q55410842,"Choosing the Right Citation Management Tool: Endnote, Mendeley, Refworks, or Zotero.",9E68F2C1-1DB6-4194-9128-5C8F8203DB8E,Q101542392,1,94408d34045a76d2f4e3da80b695cf5f56afbb74,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID:PMC6013132&resulttype=core&format=json,432cfcae4c654381dfe8a22c833d30aa,2020-05-14T00:00:00Z,11
Q56337275,La presidencia de Sucre en Bolivia,282E4CC6-0356-42D1-AB7E-9A37B9FC152B,Q98845068,1,,,,,,
Q56825246,Open Access Publishing and Scholarship,EA0025DE-AD53-478B-B509-74B5783A0FC9,Q38099117,1,,,,,,
Q56825541,Information Literacy and Writing Assessment http://www.umuc.edu/library/tutorials/information_literacy/toc.html,092B3E89-1CEA-41CB-B31A-DBD3D9B3A432,Q38099117,1,,,,,,
Q56844082,"Bridging the Gap Between Digital Measures and Digital Commons in Support of Open Access: Or, How I Learned to Stop Worrying and Love Human Mediation",89aaeb5c-45d1-295d-b5fe-8ffe0fc2982c,Q57082956,,,,,,,
Q56844082,"Bridging the Gap Between Digital Measures and Digital Commons in Support of Open Access: Or, How I Learned to Stop Worrying and Love Human Mediation",046EDD9C-0F52-4C8E-B60B-8FCBC6B817F3,Q57082956,1,,,,,,
Q57067459,A pragmatic reading of Karl Barth's theological epistemology,48fac05b-4f0e-a75a-2ea7-fb4df7e4f835,Q38099106,1,,,,,,
Q57069121,A canopy of grace: common and particular grace in Abraham Kuyper's theology of science,01b014e0-4e59-2c24-eb29-cee88b6e9f9c,Q38099106,1,,,,,,
Q57081384,Karl Barth and American evangelicalism,A5A17B11-E039-4F56-8CDD-37FD1E640D6F,Q38099106,2,,,,,,
Q57081384,Karl Barth and American evangelicalism,B4B07382-69B9-4F9F-885D-6F5A9B85A81A,Q16876024,1,,,,,,
Q57083009,"The NSF/NIH effect: surveying the effect of data management requirements on faculty, sponsored programs, and institutional repositories",5a13f75b-4070-82ce-4f9d-7629cc8b3b2f,Q57082956,2,,,,,,
Q57083009,"The NSF/NIH effect: surveying the effect of data management requirements on faculty, sponsored programs, and institutional repositories",27E8BEA1-5FB5-46ED-8569-9625EB67E473,Q57082956,2,,,,,,
Q57083115,Data-first manifesto: shifting priorities in scholarly communications,6103add6-4092-47a7-c4c7-682c172024a1,Q38099106,1,,,,,,
Q57203473,Wittgensteinian support for domain analysis in classification,f8406859-4c5c-4321-b8d8-d55994e58c01,Q57082956,,,,,,,
Q57205614,The Problem of Psychologism in Karl Barth's Doctrine of Sanctification,6208CAA8-35C9-4677-8AF6-14602C0A2BFA,Q38099106,1,,,,,,
Q57205615,On Teaching XQuery to Digital Humanists,85A0E8C4-63AD-4B2B-9254-C6F0CC56F580,Q38099106,1,,,,,,
Q57302554,Jesus and the “Christian Worldview”: A Comparative Analysis of Abraham Kuyper and Karl Barth,2ff10320-4c10-477e-4b52-3e4ec78dd4a6,Q38099106,,,,,,,
Q57317494,Text mining in business libraries,54981219-491e-ad48-dc8f-62f6709e588f,Q57317513,2,,,,,,
Q57317494,Text mining in business libraries,c91f2dd7-4748-2990-aed6-1e8fbda20c53,Q38099106,1,,,,,,
Q57345053,Developing Data Curation Protocols for Digital Projects at Vanderbilt: Une Micro-Histoire,3A98016D-8528-4344-A147-0CBCE3DAF2C3,Q57434698,1,,,,,,
Q57345053,Developing Data Curation Protocols for Digital Projects at Vanderbilt: Une Micro-Histoire,B916EBF5-BDC9-4993-A14A-0371EE794B29,Q38099106,2,,,,,,
Q57345060,"Barth und Goethe: Die Goethe-Rezeption Karl Barths, 1906–1921",A4EB8EAC-F1C0-4E04-B8D7-EDD15A7D8DA0,Q38099106,1,,,,,,
Q57345074,To Carl Schmitt: Letters and Reflections,4C905B25-9391-4C33-B56C-2A2CB1679A65,Q38099106,1,,,,,,
Q57345080,Kuyper In The Civil Sphere,4871CE54-15AB-44BC-863D-1455FA69B6BC,Q38099106,1,,,,,,
Q57345082,"Herman Bavinck, Reformed Dogmatics, vol. 3: Sin and Salvation in Christ, ed. John Bolt, trans. John Vriend (Grand Rapids: Baker Academic, 2006), pp. 685. $49.99",56A8C9D8-3DD8-4BBD-B206-6CE9423AE6C8,Q38099106,1,,,,,,
Q57345086,A Theology of Public Life,4CF3D4AC-7CD9-42A6-BDC2-B13FC5323781,Q38099106,1,,,,,,
Q57345088,"Abraham Kuyper: A Centennial Reader; Edited by James D. Bratt; Grand Rapids, Eerdmans, 1998. 498 pp. $29.00",90E0452E-61B8-4851-920B-270042831441,Q38099106,1,,,,,,
Q57396306,The Future of Memory,5ddb9252-47c7-b517-dcf4-da0cccdce5ef,Q38099106,,,,,,,
Q57455182,Liberalism versus Democracy? Abraham Kuyper and Carl Schmitt as Critics of Liberalism,22f756ea-4a50-b5b9-da3d-f0a007e22b94,Q38099106,,,,,,,
Q57561191,The Purpose of a (Barthian) Theology of Religions: A Response to Wolf Krotke,761728ee-4de0-a28d-7fa4-477bc3ba93c5,Q38099106,,,,,,,
Q57680622,Librarian in the Boardroom: Outreach Strategies for an Executive MBA Program,E1790D95-E341-4A94-B3CA-251FB1BD1175,Q38099117,1,,,,,,
Q57683388,Work/Life Flexibility,FA4CCA82-A042-45A0-A9B1-1CD0086B3E81,Q38099117,1,,,,,,
Q57683402,Digital Privacy and Security,753A406A-F15E-4C30-9526-5B1201DD0284,Q38099117,1,,,,,,
Q57683468,DIY Services,D269464C-E7EB-444E-97FD-E37D3E3A18BB,Q38099117,1,,,,,,
Q57683500,Maker Mania,BEE2607E-F9E6-4832-9867-064393EA6B51,Q38099117,1,,,,,,
Q57683532,A Few of Our Favorite Things: Part I,18540AC9-E5D3-4BA3-B54E-3C598E427E9F,Q38099117,1,,,,,,
Q57683554,A Few of Our Favorite Things: Part II,467A7B39-7165-4604-8CEE-9BC803777C91,Q38099117,1,,,,,,
Q57754470,A Theology of Experience? Karl Barth and the Transcendental Argument,108dda37-4fac-4a2f-6927-f146bfd2cf13,Q38099106,,,,,,,
Q57817918,Lessons learned from adapting the Darwin Core vocabulary standard for use in RDF,c62b3996-4c75-5f75-b262-f0ac5d3d43c5,Q45342779,4,,,,,,
Q57817918,Lessons learned from adapting the Darwin Core vocabulary standard for use in RDF,E112587C-9623-4CE8-873E-6C5DF54A73E9,Q40670042,1,,,,,,
Q57817923,Factors Influencing Population Dynamics of the Southwestern Corn Borer (Lepidoptera: Crambidae): A Reassessment,0098662e-4ca1-4c50-3b64-72035c6e3a1b,Q40670042,1,,,,,,
Q58363110,"Adolfo León Gómez, 1858–1927: An early 20th century Colombian nationalist and anti-imperialist",ED890B57-ED0C-4CA5-ACA3-69B84D209D24,Q98845068,1,,,,,,
Q58508738,Holocaust Memory Reframed: Museums and the Challenges of Representation,349E3ECB-8200-4D01-BD7C-FA99B49C8585,Q38099106,1,,,,,,
Q58508760,The Researching Librarian,100F7EB4-E345-47FD-A2BE-ED22EDA29974,Q38099117,1,,,,,,
Q58508829,ALA Connect http://connect.ala.org/,D9117812-A58B-453B-9DD5-CD91C204A1AF,Q38099117,1,,,,,,
Q58554666,There's An App for That! Part I,EC3F38FC-BE5D-4D74-BCC1-3CA507DEA6D4,Q38099117,1,,,,,,
Q58554756,There's An App for That! Part II,C1CB4C8B-C795-43BD-B80E-0493B3C2E352,Q38099117,1,,,,,,
Q58571262,"Who Uses this Stuff, Anyway? An Investigation of Who Uses the DigitalCommons@USU",EC02C489-700F-4298-BD8C-CA4ED6F3DF28,Q57082956,1,,,,,,
Q58579898,Gaming and Gamification Part II,744EDCAA-4F90-4542-96BF-54E85CFA903E,Q38099117,1,,,,,,
Q59699732,"Religion and Popular Culture: A Cultural Studies Approach. By Chris Klassen. Oxford: Oxford University Press, 2014. Pp. xii + 227. $35.00",2DAF0817-E9F5-4A11-B906-76B4D991CD2B,Q97445911,1,,,,,,
Q60616979,Internet Resources,ad65f642-477f-ea35-fda4-475d5402f70a,Q38196451,,,,,,,
Q60616979,Internet Resources,060A3D46-836A-453D-ACC2-E39CE7D75303,Q38099117,1,,,,,,
Q61718081,Introduction to Wikidata: The Wikipedia of Facts,8D6A2655-2E5E-448B-8899-485D65BA5EA8,Q38099106,1,,,,,,
Q63388840,Invasive Organisms Information: A proposed TDWG Task Group,005C34FD-CC09-41E4-9A9F-282BB38465F1,Q25802817,3,,,,,,
Q63388840,Invasive Organisms Information: A proposed TDWG Task Group,1CCF6334-DA2A-42CB-BB46-A4156861F8A0,Q41566748,6,,,,,,
Q63388840,Invasive Organisms Information: A proposed TDWG Task Group,2C009544-1F54-4CDD-B3E1-5ADF06C49792,Q28913658,1,,,,,,
Q63388840,Invasive Organisms Information: A proposed TDWG Task Group,35D98884-8622-4BD9-B48A-90E840DA405B,Q55323668,4,,,,,,
Q63388840,Invasive Organisms Information: A proposed TDWG Task Group,4BBBE5F5-595D-4A1A-9470-3B8DDE8F5820,Q63240627,7,,,,,,
Q63388840,Invasive Organisms Information: A proposed TDWG Task Group,D4452996-32A9-4D60-9392-498BC377F724,Q40670042,2,,,,,,
