sd:name,sd:graph,filename,s3_upload_status,graph_load_status
http://rs.tdwg.org/,http://rs.tdwg.org/index/audubon,audubon.ttl,upload complete in 1.27732s,load complete in 0.467115s
http://rs.tdwg.org/,http://rs.tdwg.org/index/audubon-versions,audubon-versions.ttl,upload complete in 0.654933s,load complete in 0.685002s
http://rs.tdwg.org/,http://rs.tdwg.org/index/curatorial,curatorial.ttl,upload complete in 0.188033s,load complete in 0.3717s
http://rs.tdwg.org/,http://rs.tdwg.org/index/curatorial-versions,curatorial-versions.ttl,upload complete in 0.208401s,load complete in 0.352145s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dc-for-ac,dc-for-ac.ttl,upload complete in 0.205717s,load complete in 0.354855s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dc-for-ac-versions,dc-for-ac-versions.ttl,upload complete in 0.165591s,load complete in 0.418266s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dc-for-dwc,dc-for-dwc.ttl,upload complete in 0.202205s,load complete in 0.351527s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dc-for-dwc-versions,dc-for-dwc-versions.ttl,upload complete in 0.203689s,load complete in 0.382321s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dcterms-for-ac,dcterms-for-ac.ttl,upload complete in 0.156454s,load complete in 0.359598s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dcterms-for-ac-versions,dcterms-for-ac-versions.ttl,upload complete in 0.166382s,load complete in 0.348187s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dcterms-for-dwc,dcterms-for-dwc.ttl,upload complete in 0.146422s,load complete in 0.370184s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dcterms-for-dwc-versions,dcterms-for-dwc-versions.ttl,upload complete in 0.147823s,load complete in 0.357013s
http://rs.tdwg.org/,http://rs.tdwg.org/index/decisions,decisions.ttl,upload complete in 0.191881s,load complete in 0.434203s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dwc-for-ac,dwc-for-ac.ttl,upload complete in 0.176499s,load complete in 0.423303s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dwc-for-ac-versions,dwc-for-ac-versions.ttl,upload complete in 0.393673s,load complete in 0.608492s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dwc-obsolete,dwc-obsolete.ttl,upload complete in 0.452216s,load complete in 0.52536s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dwc-obsolete-versions,dwc-obsolete-versions.ttl,upload complete in 0.297425s,load complete in 0.565118s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dwcore,dwcore.ttl,upload complete in 0.370704s,load complete in 0.431811s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dwcore-versions,dwcore-versions.ttl,upload complete in 0.209169s,load complete in 0.35301s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dwctype,dwctype.ttl,upload complete in 0.14401s,load complete in 0.340841s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dwctype-versions,dwctype-versions.ttl,upload complete in 0.164957s,load complete in 0.321848s
http://rs.tdwg.org/,http://rs.tdwg.org/index/exif-for-ac,exif-for-ac.ttl,upload complete in 0.146646s,load complete in 0.327636s
http://rs.tdwg.org/,http://rs.tdwg.org/index/exif-for-ac-versions,exif-for-ac-versions.ttl,upload complete in 0.14099s,load complete in 0.363085s
http://rs.tdwg.org/,http://rs.tdwg.org/index/geospatial,geospatial.ttl,upload complete in 0.18453s,load complete in 0.353428s
http://rs.tdwg.org/,http://rs.tdwg.org/index/geospatial-versions,geospatial-versions.ttl,upload complete in 0.183644s,load complete in 0.329865s
http://rs.tdwg.org/,http://rs.tdwg.org/index/Iptc4xmpExt-for-ac,Iptc4xmpExt-for-ac.ttl,upload complete in 0.139966s,load complete in 0.316785s
http://rs.tdwg.org/,http://rs.tdwg.org/index/Iptc4xmpExt-for-ac-versions,Iptc4xmpExt-for-ac-versions.ttl,upload complete in 0.194714s,load complete in 0.321971s
http://rs.tdwg.org/,http://rs.tdwg.org/index/iri,iri.ttl,upload complete in 0.195449s,load complete in 0.403593s
http://rs.tdwg.org/,http://rs.tdwg.org/index/iri-versions,iri-versions.ttl,upload complete in 0.197441s,load complete in 0.422771s
http://rs.tdwg.org/,http://rs.tdwg.org/index/photoshop-for-ac,photoshop-for-ac.ttl,upload complete in 0.132189s,load complete in 0.30484s
http://rs.tdwg.org/,http://rs.tdwg.org/index/photoshop-for-ac-versions,photoshop-for-ac-versions.ttl,upload complete in 0.129427s,load complete in 0.290977s
http://rs.tdwg.org/,http://rs.tdwg.org/index/terms,terms.ttl,upload complete in 0.672139s,load complete in 1.158291s
http://rs.tdwg.org/,http://rs.tdwg.org/index/terms-versions,terms-versions.ttl,upload complete in 0.991042s,load complete in 1.521914s
http://rs.tdwg.org/,http://rs.tdwg.org/index/utility,utility.ttl,upload complete in 0.163343s,load complete in 0.366807s
http://rs.tdwg.org/,http://rs.tdwg.org/index/utility-versions,utility-versions.ttl,upload complete in 0.185876s,load complete in 0.357263s
http://rs.tdwg.org/,http://rs.tdwg.org/index/xmp-for-ac,xmp-for-ac.ttl,upload complete in 0.138334s,load complete in 0.355875s
http://rs.tdwg.org/,http://rs.tdwg.org/index/xmp-for-ac-versions,xmp-for-ac-versions.ttl,upload complete in 0.139978s,load complete in 0.315627s
http://rs.tdwg.org/,http://rs.tdwg.org/index/xmpRights-for-ac,xmpRights-for-ac.ttl,upload complete in 0.137708s,load complete in 0.33359s
