sd:name,sd:graph,filename,elapsed_time,graph_load_status
http://rs.tdwg.org/,http://rs.tdwg.org/index/audubon,audubon.ttl,20.846455,load complete in 1.171501s
http://rs.tdwg.org/,http://rs.tdwg.org/index/audubon-versions,audubon-versions.ttl,26.212254,load complete in 1.259244s
http://rs.tdwg.org/,http://rs.tdwg.org/index/curatorial,curatorial.ttl,30.999515,load complete in 0.66783s
http://rs.tdwg.org/,http://rs.tdwg.org/index/curatorial-versions,curatorial-versions.ttl,35.920184,load complete in 0.642018s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dc-for-ac,dc-for-ac.ttl,41.041683,load complete in 0.685991s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dc-for-ac-versions,dc-for-ac-versions.ttl,46.349738,load complete in 0.671749s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dc-for-dwc,dc-for-dwc.ttl,51.251686,load complete in 0.668274s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dc-for-dwc-versions,dc-for-dwc-versions.ttl,55.94766,load complete in 0.665027s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dcterms-for-ac,dcterms-for-ac.ttl,60.857554,load complete in 0.735351s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dcterms-for-ac-versions,dcterms-for-ac-versions.ttl,65.625679,load complete in 0.704176s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dcterms-for-dwc,dcterms-for-dwc.ttl,70.541915,load complete in 0.736726s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dcterms-for-dwc-versions,dcterms-for-dwc-versions.ttl,75.680983,load complete in 0.721334s
http://rs.tdwg.org/,http://rs.tdwg.org/index/decisions,decisions.ttl,80.823483,load complete in 1.166059s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dwc-for-ac,dwc-for-ac.ttl,85.72022,load complete in 0.845816s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dwc-for-ac-versions,dwc-for-ac-versions.ttl,90.883454,load complete in 0.966522s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dwc-obsolete,dwc-obsolete.ttl,96.110734,load complete in 1.041849s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dwc-obsolete-versions,dwc-obsolete-versions.ttl,102.232492,load complete in 1.562726s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dwcore,dwcore.ttl,107.23489,load complete in 0.758717s
http://rs.tdwg.org/,http://rs.tdwg.org/index/dwcore-versions,dwcore-versions.ttl,112.324729,load complete in 0.846775s
