qid,label,unitLabel,label_lang,unitLabel_lang
Q15441392,Jay Clayton,Vanderbilt Department of English,en,en
Q17306401,David H. Price,Jewish Studies at Vanderbilt,en,en
Q17306401,David H. Price,Vanderbilt Department of History,en,en
Q17306401,David H. Price,Vanderbilt Department of Religious Studies,en,en
Q18619149,Lauren Benton,Vanderbilt Department of Anthropology,en,en
Q29050638,Mark S. Ghiorso,Vanderbilt Department of Earth and Environmental Sciences,en,en
Q29349820,Jennifer Reinganum,Vanderbilt Department of Economics,en,en
Q29469869,Mark Magnuson,Vanderbilt Department of Molecular Physiology and Biophysics,en,en
Q30604197,Butch Baldassari,Blair School of Music,en,en
Q41804977,Gregory W. Huffman,Vanderbilt Department of Economics,en,en
Q42327204,Scott F. Aikin,Vanderbilt Department of Classical and Mediterranean Studies,en,en
Q42327204,Scott F. Aikin,Vanderbilt Department of Philosophy,en,en
Q42415822,Satish R. Raj,Vanderbilt Department of Pharmacology,en,en
Q45943775,Seth R. Bordenstein,Vanderbilt Department of Biological Sciences,en,en
Q45943775,Seth R. Bordenstein,Vanderbilt University School of Medicine,en,en
Q4734737,Alp Ikizler,Vanderbilt Department of Medicine,en,en
Q5239546,David Schnaufer,Blair School of Music,en,en
Q52577914,Kathryn M. Edwards,Vanderbilt Department of Pediatrics,en,en
Q5512121,G. Alexander Heard,Jean and Alexander Heard Libraries,en,en
Q5650746,Hans Stoll,Owen Graduate School of Management,en,en
Q58096459,Kevin C. Galloway,Vanderbilt Department of Mechanical Engineering,en,en
Q59748631,Brandon Williams,Vanderbilt Department of Surgery,en,en
Q61108096,David Michael Aronoff,Vanderbilt University School of Medicine,en,en
Q61112722,Lauren R Samuels,Vanderbilt Department of Biostatistics,en,en
Q63198693,Walker Management Library,Jean and Alexander Heard Libraries,en,en
Q63665124,Ann Richmond,Vanderbilt Department of Pharmacology,en,en
Q66104961,John A. Oates,Vanderbilt Department of Medicine,en,en
Q67200580,MacRae F. Linton,Vanderbilt Department of Medicine,en,en
Q7178862,Pietro Castelnuovo-Tedesco,Vanderbilt University School of Medicine,en,en
Q71850074,Jaco Hamman,Vanderbilt University Divinity School,en,en
Q75060085,Sarah Swanz,Jean and Alexander Heard Libraries,en,en
Q79275520,David Ernst,Vanderbilt Department of Electrical Engineering and Computer Science,en,en
Q80460150,Thomas J. Wang,Vanderbilt Department of Medicine,en,en
Q83196562,Tiffiny A. Tung,Vanderbilt Department of Anthropology,en,en
Q83196568,Gregory Barz,Blair School of Music,en,en
Q83422394,Samuel T. McSeveney,Vanderbilt Department of History,en,en
Q83432420,John F. Post,Vanderbilt Department of Philosophy,en,en
Q83439346,Daniel B.  Cornfield,Vanderbilt Department of Political Science,en,en
Q83439346,Daniel B.  Cornfield,Vanderbilt Department of Sociology,en,en
Q83439346,Daniel B.  Cornfield,Vanderbilt Program in American Studies,en,en
Q83500316,Stephanie A. Budwey,Vanderbilt University Divinity School,en,en
Q83505844,John S. McClure,Vanderbilt University Divinity School,en,en
Q83505948,"J. Patout Burns, Jr",Vanderbilt University Divinity School,en,en
Q83546673,José Sibaja,Blair School of Music,en,en
Q84426485,Michael N Kammer,Vanderbilt Department of Chemistry,en,en
Q86177149,Ray Peebles,Vanderbilt Department of Medicine,en,en
Q86508180,Robert Ford Campany,Vanderbilt Asian Studies Program,en,en
Q86508180,Robert Ford Campany,Vanderbilt Department of Religious Studies,en,en
Q86508180,Robert Ford Campany,Vanderbilt Department of Women's and Gender Studies,en,en
Q86508191,Jing Liu,Jean and Alexander Heard Libraries,en,en
Q86531486,James R. McBride,Vanderbilt Department of Chemistry,en,en
Q86600844,F. Hamilton Hazlehurst,Vanderbilt Department of History of Art,en,en
Q86838449,Audrey K. Ellerbee Bowden,Vanderbilt Department of Biomedical Engineering,en,en
Q86838449,Audrey K. Ellerbee Bowden,Vanderbilt Department of Electrical Engineering and Computer Science,en,en
Q86839212,James E. Cassat,Vanderbilt University School of Medicine,en,en
Q86851959,Tim Holman,Institute for Space and Defense Electronics,en,en
Q86852128,George E. Cook,Vanderbilt Department of Electrical Engineering and Computer Science,en,en
Q86852138,Robert Weller,Institute for Space and Defense Electronics,en,en
Q86916207,Jing Wang,Vanderbilt Department of Biostatistics,en,en
Q87871173,Alissa M. Weaver,Vanderbilt University School of Medicine,en,en
Q87908390,Muwei Li,Vanderbilt Department of Radiology,en,en
Q88027010,Anuradha Bapsi Chakravarthy,Vanderbilt Department of Radiation Oncology,en,en
Q88034761,Hui Huang,Vanderbilt Department of Biostatistics,en,en
Q88328556,Benjamin K Mueller,Vanderbilt Department of Chemistry,en,en
Q88657567,Ken Monahan,Vanderbilt Department of Medicine,en,en
Q88723841,Meena S Madhur,Vanderbilt University School of Medicine,en,en
Q88770205,Gurjeet S. Birdee,Vanderbilt Department of Medicine,en,en
Q89100814,Silvana Gaudieri,Vanderbilt University School of Medicine,en,en
Q89505792,Julie A. Bastarache,Vanderbilt University School of Medicine,en,en
Q89949423,Rebecca N Jerome,Vanderbilt Department of Biomedical Informatics,en,en
Q90057565,Nancy J Brown,Vanderbilt Department of Medicine,en,en
Q90344508,Yaomin Xu,Vanderbilt University School of Medicine,en,en
Q90348778,Wendy Rathmell,Vanderbilt Department of Medicine,en,en
Q90356568,Kecia N. Carroll,Vanderbilt University School of Medicine,en,en
Q90397204,William Ben Cutrer,Vanderbilt University School of Medicine,en,en
Q90443568,Kevin High,Vanderbilt Department of Emergency Medicine,en,en
Q91133668,"Harley  E. Odom, Jr.",Vanderbilt Department of Medicine,en,en
Q91134545,Lorraine B. Ware,Vanderbilt University School of Medicine,en,en
Q91155145,Ciara Martin Shaver,Vanderbilt University School of Medicine,en,en
Q91327674,Amanda Yunker,Vanderbilt Department of Obstetrics and Gynecology,en,en
Q91536407,Kristin P O'Grady,Vanderbilt Department of Radiology,en,en
Q92072950,Andrea J Pruijssers,Vanderbilt Department of Pediatrics,en,en
Q92213987,Robin M. Jensen,Vanderbilt Department of History of Art,en,en
Q92213987,Robin M. Jensen,Vanderbilt University Divinity School,en,en
Q92216692,Dale P. Andrews,Vanderbilt University Divinity School,en,en
Q93222253,Stephen Neil Davis,Vanderbilt Department of Medicine,en,en
Q9337045,Simon Collier,Vanderbilt Department of History,en,en
Q94700696,Zachary M. Sandusky,Vanderbilt University School of Medicine,en,en
Q95143880,"Walton D. Plummer, Jr.",Vanderbilt Department of Biostatistics,en,en
Q95570498,Slave Societies Digital Archive,Vanderbilt Department of History,en,en
Q95999574,Matthew T Villaume,Vanderbilt University School of Medicine,en,en
Q96642738,Jean Keller Heard,Blair School of Music,en,en
Q96642738,Jean Keller Heard,Jean and Alexander Heard Libraries,en,en
Q96675039,Sarah E. Igo,Vanderbilt Communication of Science and Technology Program,en,en
Q96675039,Sarah E. Igo,Vanderbilt Department of History,en,en
Q96675039,Sarah E. Igo,Vanderbilt Department of Political Science,en,en
Q96675039,Sarah E. Igo,Vanderbilt Department of Sociology,en,en
Q96675039,Sarah E. Igo,Vanderbilt Department of Women's and Gender Studies,en,en
Q96675039,Sarah E. Igo,Vanderbilt Program in American Studies,en,en
Q96675039,Sarah E. Igo,Vanderbilt University Law School,en,en
Q97398130,April N. Kapu,Vanderbilt University School of Nursing,en,en
Q97448225,Sarah Williams,Blair School of Music,en,en
Q98137637,David Hess,Vanderbilt Department of Sociology,en,en
Q98271315,Fernanda Bretones Lane,Jean and Alexander Heard Libraries,en,en
Q98845068,J. León Helguera,Jean and Alexander Heard Libraries,en,en
Q99199189,Andrew L. Sternberg,Institute for Space and Defense Electronics,en,en
Q99199189,Andrew L. Sternberg,Vanderbilt Department of Electrical Engineering and Computer Science,en,en
