orcid,givenNames,familyName,startDate,endDate,department,organization
0000-0002-7786-4670,Ayush,Giri,2017-08-01,,Obstetrics and Gynecology,Vanderbilt University Medical Center
0000-0001-5498-8489,Rodney,Chenault,2014-04-01,,Occupational Health,Vanderbilt University Medical Center
0000-0001-8703-2678,Erica,Dillon,2017-07-01,,,Vanderbilt University Medical Center
0000-0002-0280-6513,Sarah,Greenberg,2014,,,Vanderbilt University Medical Center
0000-0002-5851-1925,Taylor,Hudson,2015-06,2016-06,Neurology,Vanderbilt University Medical Center
0000-0002-9974-1604,Clayton,Marshall,2016-05-01,,Biochemistry,Vanderbilt University Medical Center
0000-0002-3108-2470,Jose,Arriola Vigo,,,Psychiatry and Behavioral Sciences,Vanderbilt University Medical Center
0000-0001-7731-5885,Abigail,Roux,2017-01-08,,Opthamology,Vanderbilt University Medical Center
0000-0002-3336-0278,Kryseana,Harper,2014-05-11,,Internal Medicine and Public Health,Vanderbilt University Medical Center
0000-0002-9483-860X,Luul,Aden,2019-06-10,,Clinical Pharmacology,Vanderbilt University Medical Center
0000-0003-1111-7127,Jay,Morrison,1997,,Nursing,Vanderbilt University Medical Center
0000-0001-9277-3040,Bohan,Kim,2017-05-23,2020-04-08,Vanderbilt Eye Institute - Tonia Rex Laboratory,Vanderbilt University Medical Center
0000-0002-2670-4335,Kristen,Ogden,2016,,Pediatrics,Vanderbilt University Medical Center
0000-0002-5320-4619,Suzanne,Avery,2020-08-01,,Psychiatry and Behavioral Sciences,Vanderbilt University Medical Center
0000-0002-5320-4619,Suzanne,Avery,2015-08-01,2020-07-31,,Vanderbilt University Medical Center
0000-0003-4974-1830,Amanda,Morgan,2018-08-17,,Psychiatry- Addiction,Vanderbilt University Medical Center
0000-0003-4974-1830,Amanda,Morgan,2016-08-16,2018-08-16,Molecular Physiology and Biophysics,Vanderbilt University
0000-0001-7114-7614,Marie,Griffin,1986-01-01,,Health Policy,Vanderbilt University
0000-0001-7114-7614,Marie,Griffin,1986-01-01,,Health Policy,Vanderbilt University Medical Center
0000-0003-4143-1870,Alacia,Stainbrook,2012-06-01,,Vanderbilt Kennedy Center,Vanderbilt University Medical Center
0000-0002-4597-9705,Sachin,Paranjape,1996-06-01,,,Vanderbilt University Medical Center
0000-0003-3941-5599,Maribeth,Nicholson,,,Pediatrics,Vanderbilt University Medical Center
0000-0002-9978-2203,Richard,Dortch,2015-05-01,,Radiology and Radiological Sciences,Vanderbilt University Medical Center
0000-0002-3603-7185,Kyle,Hocking,2017-07-01,,,Vanderbilt University Medical Center
0000-0003-1132-0782,Barbara,Fingleton,2017-10-01,,Pharmacology,Vanderbilt University
0000-0003-1132-0782,Barbara,Fingleton,2011-09,2017-10,Cancer Biology,Vanderbilt University Medical Center
0000-0003-1132-0782,Barbara,Fingleton,2006,2011,Cancer Biology,Vanderbilt University Medical Center
0000-0003-1132-0782,Barbara,Fingleton,1997-05-01,2001,Cell Biology,Vanderbilt University Medical Center
0000-0002-9782-9944,Logan,Dumitrescu,2016-05,,Neurology,Vanderbilt University Medical Center
0000-0002-2965-2200,Saramati,Narasimhan,2019-07-01,,Neurological Surgery,Vanderbilt University Medical Center
0000-0003-2403-5681,Anne Marie,Tharpe,,,Hearing & Speech Sciences,Vanderbilt University Medical Center
0000-0002-3075-1337,Zhijun,Yin,2018-03-01,,Biomedical Informatics,Vanderbilt University Medical Center
0000-0002-8965-7708,Feng,Wang,2007-08-01,,Radiology and Radiological Sciences,Vanderbilt University Medical Center
0000-0003-2309-8453,Ralph,Conwill,2010-06-01,,Urology,Vanderbilt University Medical Center
0000-0003-2079-3303,Anoop,Chandrashekar,,,,Vanderbilt University Medical Center
0000-0003-3980-8050,Brian,Grieb,2018-07-01,,Hematology Oncology,Vanderbilt University Medical Center
0000-0003-3980-8050,Brian,Grieb,2019-06-05,2020-06-02,Medicine,Vanderbilt University Medical Center
0000-0002-6669-4514,Kate,Sborov,2018-06-10,,,Vanderbilt University School of Medicine
0000-0001-8954-5805,Kate,Thomson,2015-09,2017-05,Civil and Environmental Engineering,Vanderbilt University School of Engineering
0000-0002-0273-1689,Jamie,Reed,2020-02-01,,Psychology,Vanderbilt University
0000-0002-0273-1689,Jamie,Reed,2020-02-01,,Radiology and Radiological Sciences,Vanderbilt University School of Medicine
0000-0002-0273-1689,Jamie,Reed,2020-02-01,,Vanderbilt University Institute for Imaging Science,Vanderbilt University Medical Center
0000-0002-0273-1689,Jamie,Reed,2010-01-01,2020-01-31,Psychology,Vanderbilt University
0000-0003-2565-8012,Jo,Wilson,2014-07-01,,Psychiatry and Behavioral Sciences,Vanderbilt University Medical Center
0000-0003-0094-3677,Kim,Unertl,2020-07-01,,Biomedical Informatics,Vanderbilt University School of Medicine
0000-0003-0094-3677,Kim,Unertl,2020-01-01,,Biomedical Informatics,Vanderbilt University Medical Center
0000-0003-0094-3677,Kim,Unertl,2010-08,2019-12-31,Biomedical Informatics,Vanderbilt University School of Medicine
0000-0001-9447-4431,Sarah,Schneck,2016-08,2017-07,Hearing and Speech Sciences,Vanderbilt University Medical Center
0000-0002-8923-1344,Jonathan,Kropski,2015,,Medicine,Vanderbilt University Medical Center
0000-0003-0744-1362,Derek,Gloudemans,2018-07-15,,Computer Science,Vanderbilt University
0000-0003-3103-6535,Ian,Tomlinson,,,,Vanderbilt University
0000-0002-7163-572X,Joseph,D'Amico,,,Electrical Engineering and Computer Science,Vanderbilt University
0000-0003-4449-9053,Victor,Calderon,,,Physics & Astronomy,Vanderbilt University
0000-0001-5621-1454,Scott,Hiebert,,,Biochemistry,Vanderbilt University
0000-0001-9504-3465,Abigail,Brown,2006-09,,,Vanderbilt University
0000-0003-0765-4990,Dilan,Patel,,,Medicine ,Vanderbilt University
0000-0002-3786-7893,Ronald,Reiserer,2002-07-08,,Physics & Astronomy,Vanderbilt University
0000-0002-2757-8422,Lihong,Bishop,2017-09,,Chemical and Biomolecular Engineering,Vanderbilt University
0000-0002-6582-6482,Ting-Yun,Chang,,,Psychology,Vanderbilt University
0000-0003-2496-8916,Scott,Eisele,,,Electrical Engineering and Computer Science,Vanderbilt University
0000-0003-2070-2547,Leora,Horn,2009-07,2020-09,Hematology Oncology,Vanderbilt University
0000-0002-5865-7115,AICHUROK,KAMALOVA,,,,Vanderbilt University
0000-0001-6707-7596,Bhavani,Sankaralingam,2018-06-04,,Biological Sciences,Vanderbilt University
0000-0001-7216-2664,Steven,McFadyen-Ketchum,,,,Vanderbilt University
0000-0001-6146-0463,Jim,Rossi,2012-06-01,,Law,Vanderbilt University
0000-0002-5591-7575,Martha,Shrubsole,,,Division of Epidemiology,Vanderbilt University
0000-0002-0083-537X,Laura ,Carter-Stone,,,,Vanderbilt University
0000-0002-4339-5351,Yurui,Gao,,,,Vanderbilt University
0000-0002-6018-6527,Christopher,Zachary,2019-06-01,,Physics and Astronomy,Vanderbilt University
0000-0002-4462-8815,Xiangzhu,Zhu,,,Department of Medicine,Vanderbilt University
0000-0002-2960-6773,L. Merkle,Moore,2015-09-01,,,Vanderbilt University
0000-0001-8140-6878,Magaela,Bethune,,,Human and Organizational Development,Vanderbilt University
0000-0002-5485-8294,Kristen,Navarro,2013-08-01,,English,Vanderbilt University
0000-0002-5328-3724,Scott,Perkins,,,Psychology,Vanderbilt University
0000-0001-9705-2525,Hye-Young,Kim,2003-09,,Chemistry,Vanderbilt University
0000-0002-7729-3193,Yihu,Xie,,,Biochemistry,Vanderbilt University
0000-0002-8198-144X,MATTHEW,LANG,,,,Vanderbilt University
0000-0003-0603-989X,Alexander,Reznikov,,,Mathematics,Vanderbilt University
0000-0002-0822-7299,Pamela,Morgan,2011-10-03,,University Library,Vanderbilt University
0000-0001-5774-8317,Kristin,Driscoll,2013,,,Vanderbilt University
0000-0003-0563-4603,Derek,Bruff,2005-07-01,,Center for Teaching,Vanderbilt University
0000-0002-7470-7047,Ana,MD Carneiro,2010-04,,Pharmacology ,Vanderbilt University
0000-0002-9847-2166,David,Michelson,,,,Vanderbilt University
0000-0002-5303-1148,Paola,Molina,2019-07-02,,Cell and Developmental Biology,Vanderbilt University
0000-0002-0356-3613,George,Vejar,2017-08-22,,Physics and Astronomy,Vanderbilt University
0000-0002-3918-6936,Fred,Sienkiewicz,2019-08,,Blair School of Music,Vanderbilt University
0000-0002-3436-3630,Mary,Moore,,,Molecular Physiology and Biophysics,Vanderbilt University
0000-0003-2930-0464,Marshall,Eakin,1983-09-01,,History,Vanderbilt University
0000-0002-7272-9832,Edward,Fischer,,,,Vanderbilt University
0000-0002-3095-2665,David,Wasserman,,,Molecular Physiology and Biophysics,Vanderbilt University
0000-0002-0059-0392,Asa,Brockman,2013,,CDB,Vanderbilt University
0000-0001-5008-5338,Andrzej,Balinski,,,Chemistry,Vanderbilt University
0000-0001-9624-5800,Paul,Park,,,,Vanderbilt University
0000-0001-8625-7031,Erin,Henrick,,,,Vanderbilt University
0000-0002-6690-4315,Moyosore,Ajayi,2014-08-22,,Earth & Environmental Sciences,Vanderbilt University
0000-0002-8355-525X,kelly,oliver,,,Philosophy,Vanderbilt University 
