department,qid,name,labelEn,alias,description,orcidStatementUuid,orcid,orcidReferenceHash,orcidReferenceValue_nodeId,orcidReferenceValue_val,orcidReferenceValue_prec,employerStatementUuid,employer,employerReferenceHash,employerReferenceSourceUrl,employerReferenceRetrieved_nodeId,employerReferenceRetrieved_val,employerReferenceRetrieved_prec,affiliationStatementUuid,affiliation,affiliationReferenceHash,affiliationReferenceSourceUrl,affiliationReferenceRetrieved_nodeId,affiliationReferenceRetrieved_val,affiliationReferenceRetrieved_prec,instanceOfUuid,instanceOf,sexOrGenderUuid,sexOrGenderQId,gender,degree,category,wikidataStatus,role
psychiatry,Q87288191,A. J. Reid Finlayson,A. J. Reid Finlayson,[],psychiatrist,205935C7-A976-4B0B-B6D7-F47851E1060F,0000-0002-6474-6608,886a00dce4ac1dbef3576edda43b2047dedb04b8,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,052AC8EA-AAEC-4638-B7AB-802ED9CB3B05,Q29052,3402cbcaefe4878373c53220d7e6875fe7baa6b4,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=F,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,3B013519-B2C0-47D6-AFB6-125A5A8761EE,Q89953993,3402cbcaefe4878373c53220d7e6875fe7baa6b4,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=F,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,CDF60D7B-1B95-44B9-828E-9F84B823BBF0,Q5,2E0A9DF1-6AD3-4734-B76B-970F60D23DBC,Q6581097,m,M.D.,F,11,"[{""title"": ""Associate Professor of Clinical"", ""department"": ""Psychiatry and Behavioral Sciences""}]"
me,Q86864473,A. V. Anilkumar,A. V. Anilkumar,[],mechanical engineer,,,,,,,4EE374E5-257B-46F2-B5E6-813212F0CD63,Q29052,d62270ef2cbe00d3fe8d9642b8e75d11507c210b,https://engineering.vanderbilt.edu/me/faculty-staff/index.php,7fd48b50-3705-4dba-aace-5154fb9914fc,2020-03-02T00:00:00Z,11,A52FF141-32B0-4CDE-B628-D6616BE43550,Q84270590,d62270ef2cbe00d3fe8d9642b8e75d11507c210b,https://engineering.vanderbilt.edu/me/faculty-staff/index.php,7fd48b50-3705-4dba-aace-5154fb9914fc,2020-03-02T00:00:00Z,11,CF8066B4-6556-4D69-A19E-A7859E3A1464,Q5,3133C531-2784-405E-BEDD-59F6828FF640,Q6581097,m,,,7,"[{""title"": ""faculty"", ""department"": ""Mechanical Engineering""}]"
eecs,Q86851912,A.B. Bonds,A.B. Bonds,[],computer scientist,,,,,,,A24FCEA2-6B49-4970-A8BD-5DB739EA8312,Q29052,2723a56359f76373eeb64ab3e4e1c94d9d640248,https://engineering.vanderbilt.edu/eecs/faculty-staff/index.php,e6c2f37c-d719-457d-ba1e-dbf120a14396,2020-03-01T00:00:00Z,11,6313B6F7-E54A-4839-841C-393D6D9996DD,Q84270584,2723a56359f76373eeb64ab3e4e1c94d9d640248,https://engineering.vanderbilt.edu/eecs/faculty-staff/index.php,e6c2f37c-d719-457d-ba1e-dbf120a14396,2020-03-01T00:00:00Z,11,123DE9A5-4C56-434E-B4D6-9A0765C011BD,Q5,F4C853A1-5480-4527-B84C-D42A51A852ED,Q6581097,m,,,7,"[{""title"": ""faculty"", ""department"": ""Electrical Engineering and Computer Science""}]"
urology,Q91553643,Aaron Alan Laviana,Aaron Alan Laviana,[],urologist,,,,,,,415FC7D5-8F58-4A17-9DFE-FA5AF6D25C5F,Q29052,0a85be162f7741489fb9cfaa2fec76ee3c351e52,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=L,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,085CB33E-8C07-4373-9E8B-9886FC8F702A,Q89954019,0a85be162f7741489fb9cfaa2fec76ee3c351e52,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=L,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,6B38FF34-5B7A-458F-95FB-A63442372EDA,Q5,DC00BCC7-4C67-406C-BDC9-3A171DFC8E8D,Q6581097,m,M.D.,L,7,"[{""title"": ""Instructor in Clinical"", ""department"": ""Urology""}]"
pathology,Q91454917,Aaron C. Shaver,Aaron C. Shaver,[],pathologist,,,,,,,CD93FAB2-D23E-48EC-B83F-23C6D6CDD75D,Q29052,122ab140267f6df49e6a0a8173cea55eca59a129,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=S,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,8A55FC70-5F26-4E9A-99C1-FD450084C4DD,Q89953964,122ab140267f6df49e6a0a8173cea55eca59a129,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=S,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,DBA0D5BA-F706-4940-B6E3-E976D7937E38,Q5,37EE1418-E6E1-44AD-9E57-A4F5F3B00E9D,Q6581097,m,"Ph.D., M.D.",S,7,"[{""title"": ""Associate Professor"", ""department"": ""Pathology, Microbiology and Immunology""}]"
radiology,Q91537505,Aaron Craig Jessop,Aaron Craig Jessop,[],radiologist,,,,,,,3BE8D6F6-A824-49BE-97D1-E8B50F0241F4,Q29052,f5b272576129736f53540c6c7087e1d12763d254,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=J,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,D23C6B15-7378-4687-BD7D-4323142D53AA,Q89954005,f5b272576129736f53540c6c7087e1d12763d254,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=J,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,1B5D5222-6FC1-4459-9A7C-5449C9CE7A00,Q5,CEC30A54-F84D-4D3A-B9BA-9C5548C0ED60,Q6581097,m,"M.D., M.B.A.",J,7,"[{""title"": ""Associate Professor of Clinical"", ""department"": ""Radiology & Radiological Sciences""}]"
chemistry,Q86531418,Aaron Daniel,Aaron Daniel,[],chemist,,,,,,,6EBC740D-2119-4063-833D-6D5E0C01F1C2,Q29052,6e131c6930e3391c789ad641223c28d87d160969,https://www.vanderbilt.edu/chemistry/faculty/index.php,b863766d-aeba-4167-b816-b45039c77d94,2020-02-27T00:00:00Z,11,72F46062-7F3A-4DF6-B29B-AFA278613295,Q45132727,6e131c6930e3391c789ad641223c28d87d160969,https://www.vanderbilt.edu/chemistry/faculty/index.php,b863766d-aeba-4167-b816-b45039c77d94,2020-02-27T00:00:00Z,11,113A5A12-455C-43A6-ACDA-1005F161A870,Q5,865F7288-6B8A-4678-AFD7-75F47C71D1DB,Q6581097,m,,faculty/index.php,7,[]
medicine,Q52720627,Aaron Louis Fidler,Aaron Louis Fidler,[],medical researcher,7447E5BC-A1F3-4308-A194-945AB98AF061,0000-0002-2519-8864,7f81f24a4148728c2eb8e030140bb2808f105296,e05068de-a989-4efb-8e7d-d276e31a4919,2020-04-20T00:00:00Z,11,5B194466-7623-4F88-B8CB-0C4EEBAEEE06,Q29052,9dfde1a23117c82f29ac16f3838aa60eefab432e,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=F,e05068de-a989-4efb-8e7d-d276e31a4919,2020-04-20T00:00:00Z,11,221968FC-74AB-42E0-8384-42587A97CB48,Q89953931,9dfde1a23117c82f29ac16f3838aa60eefab432e,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=F,e05068de-a989-4efb-8e7d-d276e31a4919,2020-04-20T00:00:00Z,11,7CA90372-7A5C-403B-B553-4AF806ECE5D7,Q5,79C23EF8-ECDF-4E74-9A1E-A336D39D9FC4,Q6581097,m,Ph.D.,F,5,"[{""title"": ""Research Assistant Professor"", ""department"": ""Medicine""}]"
psychiatry,Q91526340,Aaron Slone Jeckell,Aaron Slone Jeckell,[],psychiatrist,,,,,,,9331DE8E-0058-4FE1-85AF-90A0B134188D,Q29052,f5b272576129736f53540c6c7087e1d12763d254,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=J,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,99D271EC-36E3-4E34-A823-42B4F448038C,Q89953993,f5b272576129736f53540c6c7087e1d12763d254,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=J,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,48259E23-C68B-41AF-96CE-150AA731BC22,Q5,966AE379-8259-4A1E-8B68-CCE6DD2DE14A,Q6581097,m,M.D.,J,7,"[{""title"": ""Assistant Professor"", ""department"": ""Psychiatry and Behavioral Sciences""}]"
medicine,Q83704384,Aaron Weldon Aday,Aaron Weldon Aday,[],physician,56197C7C-05FF-46C3-9702-0114CF84FCE7,0000-0001-6243-3432,2b78c1aacc8ed75bce734224c910ab3f04c06d56,345c890d-d4dc-4558-b580-fd91b16dd25a,2020-04-19T00:00:00Z,11,7900378B-7547-4690-818D-CBDB90118971,Q29052,1ec6acb28898d602bd4e8abf363ac18eb4596013,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=A,345c890d-d4dc-4558-b580-fd91b16dd25a,2020-04-19T00:00:00Z,11,8101AC66-F750-4341-B0BF-667D875EF8A3,Q89953931,1ec6acb28898d602bd4e8abf363ac18eb4596013,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=A,345c890d-d4dc-4558-b580-fd91b16dd25a,2020-04-19T00:00:00Z,11,227B6D14-6A0B-4A0C-B22E-4A0F45B91563,Q5,9A48C1BB-1C2F-42A8-AF2F-4841AA746124,Q6581097,m,M.D.,A,5,"[{""title"": ""Instructor"", ""department"": ""Medicine""}]"
