wikidataIri,altLabel
http://www.wikidata.org/entity/Q83451281,Jenni Blackford
http://www.wikidata.org/entity/Q83451281,Jennifer U. Blackford
http://www.wikidata.org/entity/Q83451330,David Sweatt
http://www.wikidata.org/entity/Q83499057,Alexandra A. Sargent
http://www.wikidata.org/entity/Q83196588,J. L. Rife
http://www.wikidata.org/entity/Q83260958,Ari Z. Bryen
http://www.wikidata.org/entity/Q83492871,Rosevelt Noble
http://www.wikidata.org/entity/Q83422301,Edward N. Wright-Rios
http://www.wikidata.org/entity/Q83422301,Edward Newport Wright-Rios
http://www.wikidata.org/entity/Q83294355,Peter L. Rousseau
http://www.wikidata.org/entity/Q83426626,Stephen Simpson
http://www.wikidata.org/entity/Q79275520,David Kerns
http://www.wikidata.org/entity/Q83196588,Joseph L. Rife
http://www.wikidata.org/entity/Q83389837,Ari Joskowicz
http://www.wikidata.org/entity/Q83439346,Dan Cornfield
http://www.wikidata.org/entity/Q369638,Sir Vaughan Frederick Randal Jones
http://www.wikidata.org/entity/Q707736,Taylor G. Wang
http://www.wikidata.org/entity/Q707736,Taylor Wang
http://www.wikidata.org/entity/Q1289901,Harold E. Ford Jr.
http://www.wikidata.org/entity/Q1289901,Harold Eugene Ford
http://www.wikidata.org/entity/Q1289901,"Harold Eugene Ford, Jr."
http://www.wikidata.org/entity/Q1289901,Harold Ford
http://www.wikidata.org/entity/Q1289901,"Harold Ford, Jr."
http://www.wikidata.org/entity/Q83568953,Luis Leyva
http://www.wikidata.org/entity/Q86590134,Lynn Ramey
http://www.wikidata.org/entity/Q86835408,Meredith A. Capps
http://www.wikidata.org/entity/Q369638,Vaughan F. R. Jones
http://www.wikidata.org/entity/Q369638,Sir Vaughan Jones
http://www.wikidata.org/entity/Q369638,Vaughan Frederick Randal Jones
http://www.wikidata.org/entity/Q83568858,Ana Christina da Silva
http://www.wikidata.org/entity/Q86600844,Franklin Hamilton Hazlehurst
http://www.wikidata.org/entity/Q86843287,G. Kane Jennings
http://www.wikidata.org/entity/Q86590151,F W Wcislo
http://www.wikidata.org/entity/Q86590151,F. W. Wcislo
http://www.wikidata.org/entity/Q86590151,F.W. Wcislo
http://www.wikidata.org/entity/Q86590151,Francis W Wcislo
http://www.wikidata.org/entity/Q86590151,Francis Wcislo
http://www.wikidata.org/entity/Q86590151,FW Wcislo
http://www.wikidata.org/entity/Q86590151,Francis William Wcislo
http://www.wikidata.org/entity/Q86531551,Rick Haselton
http://www.wikidata.org/entity/Q86508202,Tracy Miller
http://www.wikidata.org/entity/Q88261751,N. E. Kelso-Chichetto
http://www.wikidata.org/entity/Q88261751,Natalie E. Chichetto
http://www.wikidata.org/entity/Q89919328,John Dunning Boice
http://www.wikidata.org/entity/Q91272871,Kevin Maurice Mitchell
http://www.wikidata.org/entity/Q90244216,JM Balko
http://www.wikidata.org/entity/Q43108114,Rachel Bonami
http://www.wikidata.org/entity/Q43108114,Rachel H. Bonami
http://www.wikidata.org/entity/Q37651389,Douglas M. Ruderfer
http://www.wikidata.org/entity/Q37651389,Douglas Ruderfer
http://www.wikidata.org/entity/Q47326567,Deanna Edwards
http://www.wikidata.org/entity/Q57045077,Maciej Buchowski
http://www.wikidata.org/entity/Q53998031,Fiona Harrison
http://www.wikidata.org/entity/Q56855811,Brian Lehmann
http://www.wikidata.org/entity/Q42868598,Jane Ferguson
http://www.wikidata.org/entity/Q73800661,J-R Long
http://www.wikidata.org/entity/Q43108114,Rachel A. Henry
http://www.wikidata.org/entity/Q43108114,Rachel A. Henry-Bonami
http://www.wikidata.org/entity/Q56990564,Jennifer Below
http://www.wikidata.org/entity/Q47985968,Heather M. Limper
http://www.wikidata.org/entity/Q59594110,Mark McClain
http://www.wikidata.org/entity/Q83161830,Amy M. Robertson
http://www.wikidata.org/entity/Q83161830,Amy Robertson
http://www.wikidata.org/entity/Q84703546,J. Matthew Kynes
http://www.wikidata.org/entity/Q90143010,Ryan Lefevre
http://www.wikidata.org/entity/Q90143015,Phil Leisy
http://www.wikidata.org/entity/Q90143336,Chris Sobey
http://www.wikidata.org/entity/Q37838576,Willem
http://www.wikidata.org/entity/Q56558579,Michael Richardson
http://www.wikidata.org/entity/Q47820661,Matthew McEvoy
http://www.wikidata.org/entity/Q47709961,Amanda L. Sherman
http://www.wikidata.org/entity/Q43090215,Warren Sandberg
http://www.wikidata.org/entity/Q59825799,James Lozada
http://www.wikidata.org/entity/Q56600128,Roman Lazarenko
http://www.wikidata.org/entity/Q86839278,Victoria L Morgan
