qid,label_en,affiliation_uuid,affiliation,affiliation_start_time_nodeId,affiliation_start_time_val,affiliation_start_time_prec,affiliation_end_time_nodeId,affiliation_end_time_val,affiliation_end_time_prec,affiliation_ref1_hash,affiliation_ref1_referenceUrl,affiliation_ref1_retrieved_nodeId,affiliation_ref1_retrieved_val,affiliation_ref1_retrieved_prec
Q100300828,William C. Binkley,,,,,,,,,,,,,
Q100306318,James H Nichols,,,,,,,,,,,,,
Q100329025,John R. Bourne,,,,,,,,,,,,,
Q100406257,Mona Mashayekhi,,,,,,,,,,,,,
Q100415173,Juanita Prieto-Garcia,,,,,,,,,,,,,
Q100426955,Frank M Mason,,,,,,,,,,,,,
Q100455202,Dan Zhou,,,,,,,,,,,,,
Q100463385,Athena Lemon,,,,,,,,,,,,,
Q100502411,Alicia M Hymel,,,,,,,,,,,,,
Q100516834,Kelly A Harper,,,,,,,,,,,,,
Q100629608,Corey E Hayford,,,,,,,,,,,,,
Q100753097,Jason J Hughes,,,,,,,,,,,,,
Q101008714,Doug Morin,,,,,,,,,,,,,
Q101051354,Fong Cheng Pan,,,,,,,,,,,,,
Q101225404,Merrida A Childress,,,,,,,,,,,,,
Q101225492,Shawna K Brookens,,,,,,,,,,,,,
Q101232337,Aubrey Land,,,,,,,,,,,,,
Q101542374,Chris Benda,0362B290-9C09-4A80-9D87-F4F4BF2F83EC,Q16849893,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542375,Yu-Fen Benda,CF663B09-F054-4D9B-B5B1-F2D602418131,Q16849893,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542376,Yvonne Boyer,4BFEE1E8-B9F4-4003-9F8A-148EEEC4239C,Q16849893,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542377,James Duran,C56E7329-9DAC-4BC3-9E3C-E76820DE88B6,Q16849893,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542378,Honora Eskridge,B75E988D-419E-4F33-9C02-ECF38B312D01,Q16849893,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542379,Leslie Foutch,87E37DCB-CD47-470A-95A3-F7CE04B39A7E,Q16849893,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542380,Jodi Gambill,B3E4CABE-EB16-4E85-BCFB-FA75C889332A,Q16849893,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542382,Kasia Gonnerman,58144D6E-8FB9-4047-99F8-DF0260001A59,Q16849893,,,,,,,,,,,
