name,orcid_url,orcid,item_url,qid
Michael C Smith,https://orcid.org/0000-0002-1136-0250,0000-0002-1136-0250,http://www.wikidata.org/entity/Q104100679,Q104100679
Nicole Jardine,https://orcid.org/0000-0001-5472-4029,0000-0001-5472-4029,http://www.wikidata.org/entity/Q100939252,Q100939252
E. Young Song,https://orcid.org/0000-0002-4225-0468,0000-0002-4225-0468,http://www.wikidata.org/entity/Q102942709,Q102942709
Laurence M Solberg,https://orcid.org/0000-0001-8764-5335,0000-0001-8764-5335,http://www.wikidata.org/entity/Q101125713,Q101125713
Zeping Xu,https://orcid.org/0000-0001-8282-5265,0000-0001-8282-5265,http://www.wikidata.org/entity/Q104562261,Q104562261
Yoonsung Lee,https://orcid.org/0000-0001-9934-2390,0000-0001-9934-2390,http://www.wikidata.org/entity/Q102369501,Q102369501
Chandra Prakash,https://orcid.org/0000-0001-8662-3054,0000-0001-8662-3054,http://www.wikidata.org/entity/Q99728352,Q99728352
A Krishnamoorthy,https://orcid.org/0000-0002-3305-6612,0000-0002-3305-6612,http://www.wikidata.org/entity/Q102058687,Q102058687
Jessica M Schwartzman,https://orcid.org/0000-0002-9534-7773,0000-0002-9534-7773,http://www.wikidata.org/entity/Q102317599,Q102317599
Janna Brown McClain,https://orcid.org/0000-0002-6190-4711,0000-0002-6190-4711,http://www.wikidata.org/entity/Q106230655,Q106230655
Matthew Steven Krantz,https://orcid.org/0000-0001-7589-9127,0000-0001-7589-9127,http://www.wikidata.org/entity/Q99727326,Q99727326
Shuping Huang,https://orcid.org/0000-0003-1396-8937,0000-0003-1396-8937,http://www.wikidata.org/entity/Q103830148,Q103830148
Kilian Hett,https://orcid.org/0000-0001-8831-4247,0000-0001-8831-4247,http://www.wikidata.org/entity/Q90288674,Q90288674
Amrendra Kumar,https://orcid.org/0000-0002-1191-5228,0000-0002-1191-5228,http://www.wikidata.org/entity/Q96951426,Q96951426
Zachary J Williams,https://orcid.org/0000-0001-7646-423X,0000-0001-7646-423X,http://www.wikidata.org/entity/Q90304057,Q90304057
Joël Jovanovic,https://orcid.org/0000-0002-9195-2239,0000-0002-9195-2239,http://www.wikidata.org/entity/Q87962524,Q87962524
Susan Benear,https://orcid.org/0000-0001-7448-9230,0000-0001-7448-9230,http://www.wikidata.org/entity/Q92979045,Q92979045
Byungil Kim,https://orcid.org/0000-0002-1743-2657,0000-0002-1743-2657,http://www.wikidata.org/entity/Q90412534,Q90412534
Claude J Pirtle,https://orcid.org/0000-0001-6282-9242,0000-0001-6282-9242,http://www.wikidata.org/entity/Q90438859,Q90438859
Sarah K B Bick,https://orcid.org/0000-0003-0753-1720,0000-0003-0753-1720,http://www.wikidata.org/entity/Q88024535,Q88024535
Andrew M Glazer,https://orcid.org/0000-0002-3938-4713,0000-0002-3938-4713,http://www.wikidata.org/entity/Q88032985,Q88032985
Zhang-Jin Zhang,https://orcid.org/0000-0002-8416-3426,0000-0002-8416-3426,http://www.wikidata.org/entity/Q90628577,Q90628577
Pierre Chaurand,https://orcid.org/0000-0001-6821-7001,0000-0001-6821-7001,http://www.wikidata.org/entity/Q87920790,Q87920790
Erin H Seeley,https://orcid.org/0000-0002-8000-5754,0000-0002-8000-5754,http://www.wikidata.org/entity/Q90481101,Q90481101
Néstor de la Visitación,https://orcid.org/0000-0001-7229-9601,0000-0001-7229-9601,http://www.wikidata.org/entity/Q88057757,Q88057757
Michael D Tuck,https://orcid.org/0000-0002-1888-1323,0000-0002-1888-1323,http://www.wikidata.org/entity/Q95931609,Q95931609
Marino A Bruce,https://orcid.org/0000-0002-0643-1640,0000-0002-0643-1640,http://www.wikidata.org/entity/Q88098969,Q88098969
Kang-Hsien Fan,https://orcid.org/0000-0003-0121-3959,0000-0003-0121-3959,http://www.wikidata.org/entity/Q95937100,Q95937100
Mehdi Karzar Jeddi,https://orcid.org/0000-0003-2992-9131,0000-0003-2992-9131,http://www.wikidata.org/entity/Q95945978,Q95945978
Moinul H Choudhury,https://orcid.org/0000-0001-7670-1178,0000-0001-7670-1178,http://www.wikidata.org/entity/Q86814226,Q86814226
Aida Jimenez,https://orcid.org/0000-0002-1614-9390,0000-0002-1614-9390,http://www.wikidata.org/entity/Q93168966,Q93168966
Richard A Roberts,https://orcid.org/0000-0001-9964-2860,0000-0001-9964-2860,http://www.wikidata.org/entity/Q95991581,Q95991581
Nalin Leelatian,https://orcid.org/0000-0003-4284-8272,0000-0003-4284-8272,http://www.wikidata.org/entity/Q87002591,Q87002591
Kai Hong,https://orcid.org/0000-0003-0656-4491,0000-0003-0656-4491,http://www.wikidata.org/entity/Q89499953,Q89499953
Jacob I Feldman,https://orcid.org/0000-0002-5723-5834,0000-0002-5723-5834,http://www.wikidata.org/entity/Q88284427,Q88284427
Fubiao Shi,https://orcid.org/0000-0002-6092-7292,0000-0002-6092-7292,http://www.wikidata.org/entity/Q96097686,Q96097686
G Christopher Stecker,https://orcid.org/0000-0003-1442-9839,0000-0003-1442-9839,http://www.wikidata.org/entity/Q96097998,Q96097998
Teresa H Sanders,https://orcid.org/0000-0001-6374-0389,0000-0001-6374-0389,http://www.wikidata.org/entity/Q86495974,Q86495974
Eric K Donahue,https://orcid.org/0000-0002-7547-3959,0000-0002-7547-3959,http://www.wikidata.org/entity/Q96168003,Q96168003
Amosy E M'Koma,https://orcid.org/0000-0002-1728-8456,0000-0002-1728-8456,http://www.wikidata.org/entity/Q96186869,Q96186869
Jonathan Attalla,https://orcid.org/0000-0002-1787-1799,0000-0002-1787-1799,http://www.wikidata.org/entity/Q96189672,Q96189672
Victoria H Ng,https://orcid.org/0000-0003-2344-8468,0000-0003-2344-8468,http://www.wikidata.org/entity/Q96202177,Q96202177
Benjamin A Smallheer,https://orcid.org/0000-0002-6190-0526,0000-0002-6190-0526,http://www.wikidata.org/entity/Q96224057,Q96224057
Anne K Kenworthy,https://orcid.org/0000-0001-6567-9059,0000-0001-6567-9059,http://www.wikidata.org/entity/Q96229591,Q96229591
Clément M Garin,https://orcid.org/0000-0003-0712-7330,0000-0003-0712-7330,http://www.wikidata.org/entity/Q88488658,Q88488658
Madelyn N Stevens,https://orcid.org/0000-0001-9315-4866,0000-0001-9315-4866,http://www.wikidata.org/entity/Q88493287,Q88493287
Pratibha P Ghodke,https://orcid.org/0000-0002-8402-3933,0000-0002-8402-3933,http://www.wikidata.org/entity/Q90977934,Q90977934
Jean-Jacques Lareyre,https://orcid.org/0000-0003-0747-0024,0000-0003-0747-0024,http://www.wikidata.org/entity/Q91021538,Q91021538
Yu-Wei Chen,https://orcid.org/0000-0001-7988-319X,0000-0001-7988-319X,http://www.wikidata.org/entity/Q88781921,Q88781921
Alejandra Paola Torres-Manzo,https://orcid.org/0000-0001-6499-4129,0000-0001-6499-4129,http://www.wikidata.org/entity/Q88619970,Q88619970
Evan S Krystofiak,https://orcid.org/0000-0002-0043-6977,0000-0002-0043-6977,http://www.wikidata.org/entity/Q88682884,Q88682884
Kristy Kummerow Broman,https://orcid.org/0000-0002-4679-4665,0000-0002-4679-4665,http://www.wikidata.org/entity/Q86084839,Q86084839
Kimberly D Lomis,https://orcid.org/0000-0002-3504-6776,0000-0002-3504-6776,http://www.wikidata.org/entity/Q91242128,Q91242128
Benjamin Chagot,https://orcid.org/0000-0002-9153-0060,0000-0002-9153-0060,http://www.wikidata.org/entity/Q91272107,Q91272107
Joseph A DeCorte,https://orcid.org/0000-0002-0131-6176,0000-0002-0131-6176,http://www.wikidata.org/entity/Q91360555,Q91360555
Wayne F Anderson,https://orcid.org/0000-0003-4181-8127,0000-0003-4181-8127,http://www.wikidata.org/entity/Q88920283,Q88920283
Paulo das Neves Pires,https://orcid.org/0000-0002-2586-9955,0000-0002-2586-9955,http://www.wikidata.org/entity/Q91377657,Q91377657
Anna E Word,https://orcid.org/0000-0002-6088-1781,0000-0002-6088-1781,http://www.wikidata.org/entity/Q88924896,Q88924896
Samuel F Hunter,https://orcid.org/0000-0002-0542-1176,0000-0002-0542-1176,http://www.wikidata.org/entity/Q91383509,Q91383509
Seong-Gon Kim,https://orcid.org/0000-0002-1629-0319,0000-0002-1629-0319,http://www.wikidata.org/entity/Q91594792,Q91594792
Kyla D Gibney,https://orcid.org/0000-0003-4319-9200,0000-0003-4319-9200,http://www.wikidata.org/entity/Q88947998,Q88947998
Denis T Akan,https://orcid.org/0000-0002-1476-4883,0000-0002-1476-4883,http://www.wikidata.org/entity/Q88948724,Q88948724
Barbara L Thompson,https://orcid.org/0000-0002-7294-3900,0000-0002-7294-3900,http://www.wikidata.org/entity/Q98938978,Q98938978
Mark E Anderson,https://orcid.org/0000-0001-6145-5234,0000-0001-6145-5234,http://www.wikidata.org/entity/Q98951972,Q98951972
Bruce Jennings,https://orcid.org/0000-0002-5279-2420,0000-0002-5279-2420,http://www.wikidata.org/entity/Q91101668,Q91101668
Aaron G Wexler,https://orcid.org/0000-0001-7926-089X,0000-0001-7926-089X,http://www.wikidata.org/entity/Q91503030,Q91503030
Mahmud Reaz,https://orcid.org/0000-0002-5896-7850,0000-0002-5896-7850,http://www.wikidata.org/entity/Q91548047,Q91548047
Jason R Schwartz,https://orcid.org/0000-0002-1353-0508,0000-0002-1353-0508,http://www.wikidata.org/entity/Q91553282,Q91553282
Ahmad H Yanis,https://orcid.org/0000-0003-2333-9050,0000-0003-2333-9050,http://www.wikidata.org/entity/Q91588948,Q91588948
David L Mobley,https://orcid.org/0000-0002-6915-5591,0000-0002-6915-5591,http://www.wikidata.org/entity/Q91589172,Q91589172
Jason J Gokey,https://orcid.org/0000-0001-8244-7831,0000-0001-8244-7831,http://www.wikidata.org/entity/Q85856678,Q85856678
Mahesh Vishe,https://orcid.org/0000-0003-1926-0876,0000-0003-1926-0876,http://www.wikidata.org/entity/Q87376510,Q87376510
Tom A Elasy,https://orcid.org/0000-0002-1651-8387,0000-0002-1651-8387,http://www.wikidata.org/entity/Q91699392,Q91699392
Bian Li,https://orcid.org/0000-0002-8280-5018,0000-0002-8280-5018,http://www.wikidata.org/entity/Q96277074,Q96277074
Stephanie Goya,https://orcid.org/0000-0001-7479-3064,0000-0001-7479-3064,http://www.wikidata.org/entity/Q89234594,Q89234594
Lealani Mae Y Acosta,https://orcid.org/0000-0002-3704-124X,0000-0002-3704-124X,http://www.wikidata.org/entity/Q99417388,Q99417388
Carla J Ramos,https://orcid.org/0000-0001-5041-6758,0000-0001-5041-6758,http://www.wikidata.org/entity/Q89344468,Q89344468
Samuel Penziner,https://orcid.org/0000-0003-0010-9746,0000-0003-0010-9746,http://www.wikidata.org/entity/Q86385814,Q86385814
Aimal Khan,https://orcid.org/0000-0003-2851-8330,0000-0003-2851-8330,http://www.wikidata.org/entity/Q89420281,Q89420281
Charles C Hong,https://orcid.org/0000-0002-0424-8252,0000-0002-0424-8252,http://www.wikidata.org/entity/Q94674028,Q94674028
Christine G Mokher,https://orcid.org/0000-0001-6060-6766,0000-0001-6060-6766,http://www.wikidata.org/entity/Q94676475,Q94676475
Inga Saknite,https://orcid.org/0000-0002-4000-5485,0000-0002-4000-5485,http://www.wikidata.org/entity/Q92028045,Q92028045
Alyssa R Merkel,https://orcid.org/0000-0001-6498-4211,0000-0001-6498-4211,http://www.wikidata.org/entity/Q99614828,Q99614828
Dong Hyun Kim,https://orcid.org/0000-0001-9807-4064,0000-0001-9807-4064,http://www.wikidata.org/entity/Q87458242,Q87458242
Dirk Meyer,https://orcid.org/0000-0002-4020-4484,0000-0002-4020-4484,http://www.wikidata.org/entity/Q90305685,Q90305685
Laura J Long,https://orcid.org/0000-0002-3409-4880,0000-0002-3409-4880,http://www.wikidata.org/entity/Q89571909,Q89571909
Yu-Xun Ren,https://orcid.org/0000-0002-9598-932X,0000-0002-9598-932X,http://www.wikidata.org/entity/Q92034726,Q92034726
Shyam S Jayaraman,https://orcid.org/0000-0003-0104-2790,0000-0003-0104-2790,http://www.wikidata.org/entity/Q86963442,Q86963442
Jejoong Kim,https://orcid.org/0000-0002-1196-701X,0000-0002-1196-701X,http://www.wikidata.org/entity/Q89628135,Q89628135
Yasunori Toda,https://orcid.org/0000-0001-9725-9438,0000-0001-9725-9438,http://www.wikidata.org/entity/Q89658291,Q89658291
Amy M Bohnert,https://orcid.org/0000-0002-0864-2900,0000-0002-0864-2900,http://www.wikidata.org/entity/Q89692913,Q89692913
Hua-Chang Chen,https://orcid.org/0000-0003-0497-2483,0000-0003-0497-2483,http://www.wikidata.org/entity/Q92286479,Q92286479
Jae-Kwang Hwang,https://orcid.org/0000-0002-4100-3473,0000-0002-4100-3473,http://www.wikidata.org/entity/Q87365237,Q87365237
Dilek Dervishogullari,https://orcid.org/0000-0002-2596-627X,0000-0002-2596-627X,http://www.wikidata.org/entity/Q92395533,Q92395533
James G Terry,https://orcid.org/0000-0001-6659-3441,0000-0001-6659-3441,http://www.wikidata.org/entity/Q97640008,Q97640008
Jason Pitts,https://orcid.org/0000-0002-4863-9634,0000-0002-4863-9634,http://www.wikidata.org/entity/Q91373785,Q91373785
Jonah Fox,https://orcid.org/0000-0002-1816-7226,0000-0002-1816-7226,http://www.wikidata.org/entity/Q85651825,Q85651825
Mingjie Wei,https://orcid.org/0000-0001-7601-4749,0000-0001-7601-4749,http://www.wikidata.org/entity/Q89946893,Q89946893
Aaron M Kipp,https://orcid.org/0000-0003-2651-2445,0000-0003-2651-2445,http://www.wikidata.org/entity/Q89958953,Q89958953
Harikrishna Sekar Jayanthan,https://orcid.org/0000-0002-8161-8843,0000-0002-8161-8843,http://www.wikidata.org/entity/Q95988486,Q95988486
Behnam Tayebi,https://orcid.org/0000-0002-3800-4723,0000-0002-3800-4723,http://www.wikidata.org/entity/Q85984740,Q85984740
Jessika Boles,https://orcid.org/0000-0002-9278-9453,0000-0002-9278-9453,http://www.wikidata.org/entity/Q92702106,Q92702106
Donald E Moore,https://orcid.org/0000-0002-6176-3920,0000-0002-6176-3920,http://www.wikidata.org/entity/Q92703470,Q92703470
Shaun Lawicki,https://orcid.org/0000-0002-9790-2793,0000-0002-9790-2793,http://www.wikidata.org/entity/Q92744014,Q92744014
Elizabeth Lanphier,https://orcid.org/0000-0001-9888-1253,0000-0001-9888-1253,http://www.wikidata.org/entity/Q90203832,Q90203832
Nicholas O Markham,https://orcid.org/0000-0002-1348-1267,0000-0002-1348-1267,http://www.wikidata.org/entity/Q92809418,Q92809418
Andrew T Hale,https://orcid.org/0000-0003-3182-2966,0000-0003-3182-2966,http://www.wikidata.org/entity/Q92838894,Q92838894
