qid,label_en,description_en,instance_of_uuid,instance_of,gender_uuid,gender,orcid_uuid,orcid,orcid_ref1_hash,orcid_ref1_retrieved_nodeId,orcid_ref1_retrieved_val,orcid_ref1_retrieved_prec,employer_uuid,employer,employer_start_time_nodeId,employer_start_time_val,employer_start_time_prec,employer_end_time_nodeId,employer_end_time_val,employer_end_time_prec,employer_ref1_hash,employer_ref1_referenceUrl,employer_ref1_retrieved_nodeId,employer_ref1_retrieved_val,employer_ref1_retrieved_prec,affiliation_uuid,affiliation,affiliation_start_time_nodeId,affiliation_start_time_val,affiliation_start_time_prec,affiliation_end_time_nodeId,affiliation_end_time_val,affiliation_end_time_prec,affiliation_ref1_hash,affiliation_ref1_referenceUrl,affiliation_ref1_retrieved_nodeId,affiliation_ref1_retrieved_val,affiliation_ref1_retrieved_prec
Q85856678,Jason J. Gokey,medical researcher,77ADFC56-20C8-43E8-B302-65B179EECE53,Q5,8503F2C8-EF72-4D65-8992-C45A4DBA227C,Q6581097,79B1FBCB-5970-4E2F-A0CB-E5D79A0E843B,0000-0001-8244-7831,220cc132746fe9acd80a3cb4f6ae76cf4987b557,1a6bb5ec-aacb-42d8-b2b9-6171fd76d2c8,2021-03-27T00:00:00Z,11,D81CB0D6-703B-41F9-B654-04E5BA690CC9,Q7914455,f5abc434-ea82-470c-bbef-8525e41dab79,2020-06-22T00:00:00Z,11,,,,04dce7770282d3087167325b2a62307058ae506b,https://orcid.org/0000-0001-8244-7831,28e28c72-462d-46de-ac26-692b14baca46,2021-03-27T00:00:00Z,11,BB37A6D4-6488-4B16-A451-F111B96614C6,Q89953931,e7c53a18-73a6-4869-8af6-558acb992031,2020-06-22T00:00:00Z,11,,,,04dce7770282d3087167325b2a62307058ae506b,https://orcid.org/0000-0001-8244-7831,e1f82b28-9093-4931-bcdf-88294ec951ca,2021-03-27T00:00:00Z,11
Q55209168,Malin Andersson,analytical chemist,AE5533A4-C200-4A4F-97B6-091D5E894123,Q5,B30FB5DE-8780-47E7-86A3-54C887F0238B,Q6581072,C93FAD13-6E9F-4185-8E19-DAF60F38B595,0000-0002-1450-8046,220cc132746fe9acd80a3cb4f6ae76cf4987b557,bc828f26-aa69-40ac-bd41-b06e4732f2fe,2021-03-27T00:00:00Z,11,DB07E511-4B87-4583-9AAF-A8B637EE3F96,Q29052,a1063e44-0348-462e-b959-4a27084f5935,2004-01-01T00:00:00Z,11,11cf960f-129f-4fd4-83cf-2ece32987a6d,2007-06-01T00:00:00Z,11,dec3998c1092e883ec9b293b3dcf4ec47661babf,https://orcid.org/0000-0002-1450-8046,2fe691c7-b460-47a7-85c7-496b36af0780,2021-03-27T00:00:00Z,11,4F6E3335-6805-438C-984A-83BFDC5D15DE,Q45132727,9fd0b193-d6b5-43f9-a154-104d9ddaae5f,2004-01-01T00:00:00Z,11,344f7bf9-63d3-4ea6-8fe6-d3b71ea9ebc2,2007-06-01T00:00:00Z,11,dec3998c1092e883ec9b293b3dcf4ec47661babf,https://orcid.org/0000-0002-1450-8046,07b79924-4072-44e9-a886-9af272d9814f,2021-03-27T00:00:00Z,11
Q104562261,Zeping Xu,anesthesiology researcher,9695A083-6923-4B23-BC29-B0C57115A3B1,Q5,4D29990A-2A42-48E6-9901-98B32BF2FFA2,Q6581072,9E4817D8-E928-42D7-B119-6DC8A9181560,0000-0001-8282-5265,220cc132746fe9acd80a3cb4f6ae76cf4987b557,93cc9084-09f8-4a77-ba99-1a1b14f8bd57,2021-03-27T00:00:00Z,11,4A15E1B0-9A73-471B-A078-FC3407D4AB67,Q7914455,8e853053-0872-41d8-bd21-e9a1783cb50a,2016-03-00T00:00:00Z,10,a9bccaad-1a4b-4d47-b879-a036960cb4d5,2018-08-00T00:00:00Z,10,cbf992fae75f9cad1772de5b69f0d6bd63da943a,https://orcid.org/0000-0001-8282-5265,dacd7d9e-e8af-4a80-a784-96f19fd2cd32,2021-03-27T00:00:00Z,11,C145F507-A5BA-4D13-A7BD-519ACD3A10A8,Q89951871,ced7eec5-82e6-47e5-964b-56d5c792aba4,2016-03-00T00:00:00Z,10,552b2a3f-35fc-4c88-b0e0-0f48ce1c8b54,2018-08-00T00:00:00Z,10,cbf992fae75f9cad1772de5b69f0d6bd63da943a,https://orcid.org/0000-0001-8282-5265,cc089045-590f-4bb4-8029-19af037ecc76,2021-03-27T00:00:00Z,11
Q37838510,Richard H. Epstein,anesthesiology researcher,FA25A973-0B0B-46CC-A5DD-8DD14A3FBB7B,Q5,E469868F-A92E-4BB4-AB23-E2B1AF05AE12,Q6581097,964320E5-FF9C-4F5B-99D7-9E964169463C,0000-0001-8466-3845,220cc132746fe9acd80a3cb4f6ae76cf4987b557,9d5bb448-0261-4bc5-8e62-fac0dfb5e6d8,2021-03-27T00:00:00Z,11,2669DB83-5752-4EFB-BAA8-B145D40C0618,Q29052,d4c5b526-174e-4037-ab0d-938bff94fa8f,2012-11-01T00:00:00Z,11,d3af0b9d-762a-4f35-a044-4edf2e1d5771,2013-04-30T00:00:00Z,11,fba8380c984acc57e56eaf192ecaa6c810bfd294,https://orcid.org/0000-0001-8466-3845,49a15523-aa86-4453-a7e9-f7cb18c65da3,2021-03-27T00:00:00Z,11,6004EF46-9604-4361-A440-D9E57A14887C,Q89951871,a48ba61c-042b-4276-bad3-c9a8a8222453,2012-11-01T00:00:00Z,11,049314eb-fd7a-4748-8498-811095631b76,2013-04-30T00:00:00Z,11,fba8380c984acc57e56eaf192ecaa6c810bfd294,https://orcid.org/0000-0001-8466-3845,6d012312-fa19-4139-baa8-c6e1128a28ea,2021-03-27T00:00:00Z,11
Q67543357,Kevin P. M. Currie,anesthesiology researcher,607441E1-F333-4C0B-94AA-4593390B5837,Q5,1703B4FC-456B-481E-835E-C405A9F05B68,Q6581097,B3DE0F9F-3B25-41F1-B66B-118A67910DA8,0000-0002-0861-423X,220cc132746fe9acd80a3cb4f6ae76cf4987b557,a86c16eb-6f25-4fb0-ba54-b229fe9be5d4,2021-03-27T00:00:00Z,11,A96F3A8E-4923-4EAE-9B46-4BA2DACA53B1,Q29052,53c0e30a-1667-42b7-a786-e101bbff3762,2017-08-01T00:00:00Z,11,,,,76ca9429f4faa83b99403bd053006a86fd870b65,https://orcid.org/0000-0002-0861-423X,eb092bff-b069-4435-a815-01846d9d3efc,2021-03-27T00:00:00Z,11,029ABE84-9282-48D5-B2EF-D2940C32FDB9,Q89951871,95a9a3c4-4478-4b13-9cc5-ec557d022206,2017-08-01T00:00:00Z,11,,,,76ca9429f4faa83b99403bd053006a86fd870b65,https://orcid.org/0000-0002-0861-423X,e041afa5-89ec-4dee-b513-a373ced31e2d,2021-03-27T00:00:00Z,11
Q88032985,Andrew M. Glazer,genetics researcher,CA2D330A-191B-469F-998F-5FA31693FFC0,Q5,4F32359B-A7CE-4EA0-908E-41347CDABB3E,Q6581097,BDAB42B9-8A38-4E62-B06D-27C492C7D045,0000-0002-3938-4713,220cc132746fe9acd80a3cb4f6ae76cf4987b557,e5407d72-0224-4d80-9043-6a5b7b55d31f,2021-03-27T00:00:00Z,11,108D0A02-E736-4754-9E34-35ECF942D590,Q7914455,9ef76803-26a1-43c5-80b3-46b04cc819f7,2015-00-00T00:00:00Z,9,,,,1da8652e50bed9c25f6ba52de0254f3c5774e668,https://orcid.org/0000-0002-3938-4713,3f06c968-4b18-49da-80a6-74398300b7db,2021-03-27T00:00:00Z,11,E9BED70D-6AA3-47ED-9DCD-9871AABB80FE,Q89953931,353b7d36-c8ee-43c9-abd2-bdae2fa8b49a,2015-00-00T00:00:00Z,9,,,,1da8652e50bed9c25f6ba52de0254f3c5774e668,https://orcid.org/0000-0002-3938-4713,06ea0b8f-23d5-492d-957e-7eb1bffbe54a,2021-03-27T00:00:00Z,11
Q53996426,Jillian Bellovary,astronomer,B94BAC77-AFB6-4444-8DBB-8BEAA3415C5C,Q5,AB477E12-38B6-418E-AD10-2EA260A54DC5,Q6581072,7876472E-5F2E-42E2-B1C8-D005DD62E947,0000-0001-7596-8372,220cc132746fe9acd80a3cb4f6ae76cf4987b557,89b35321-e94a-4b83-9876-327b7363f839,2021-03-27T00:00:00Z,11,6580D756-2C24-4D0E-A3BE-9D8D1D244F6F,Q29052,c26742bd-e943-4a8e-afe0-aea45bb846f0,2012-09-03T00:00:00Z,11,8bf76ccc-44d1-4930-8a4e-ba29d8030ba6,2015-06-19T00:00:00Z,11,f1d79b0635ed03efcc7c4f432c17d50c692b2844,https://orcid.org/0000-0001-7596-8372,5aea06a4-2055-4b46-ae34-3f71a0ffa83c,2021-03-27T00:00:00Z,11,7CE7F1EE-9423-463C-A2CE-5B9D58D7C06E,Q89953931,5e8bdd90-df32-4765-be54-8f66d98abbad,2012-09-03T00:00:00Z,11,68cf64f7-6527-4945-9ad4-7e5ba4d2ece3,2015-06-19T00:00:00Z,11,f1d79b0635ed03efcc7c4f432c17d50c692b2844,https://orcid.org/0000-0001-7596-8372,c397775c-5eeb-408f-ab8f-cb8b32e7c8e3,2021-03-27T00:00:00Z,11
Q102058687,Archana Krishnamoorthy,biochemist,24649EDC-CD92-45F0-948B-13E4A4A282C2,Q5,EABC0DBA-4B1A-4D97-B6F9-3A38AFA6B8DB,Q6581072,C770F9DB-0731-4993-8032-0A9FDB61DFD6,0000-0002-3305-6612,220cc132746fe9acd80a3cb4f6ae76cf4987b557,26a99b6a-e2e7-4a96-86d8-1f191d1c02e9,2021-03-27T00:00:00Z,11,967436E5-4975-4F9D-974A-E2039838FA2F,Q29052,,,,,,,64ecd2a0511cf738f1d89e8b23054f932ccfa7dd,https://orcid.org/0000-0002-3305-6612,3ca29603-0de4-4af2-98d8-8d070c03cfa0,2021-03-27T00:00:00Z,11,D7EEF9F3-8AC3-4226-88E5-75904A00DEAD,Q89953896,,,,,,,64ecd2a0511cf738f1d89e8b23054f932ccfa7dd,https://orcid.org/0000-0002-3305-6612,b406927b-fd73-4399-8178-07121224c04b,2021-03-27T00:00:00Z,11
Q37839189,Daniel C. Liebler,biochemist,B3BA9A73-6958-48B6-8D27-9814E2284015,Q5,F9DA30BC-8976-4108-BE43-865115BC53BB,Q6581097,F8D03C88-5519-4ECA-AC3D-DB4CAD301F05,0000-0002-7873-3031,220cc132746fe9acd80a3cb4f6ae76cf4987b557,05eaa6a7-ea27-48c5-89e8-e374b233d155,2021-03-27T00:00:00Z,11,52ECAF30-D857-44BD-838E-2DA667E9D909,Q29052,330a4dc9-e33b-4a6f-b092-8499a754f5ba,2003-00-00T00:00:00Z,9,d14ac8fb-16b8-425e-b829-85dde34bb5ab,2016-12-31T00:00:00Z,11,d6c3fece1f693be3bdb947f230f19b9b231f46fa,https://orcid.org/0000-0002-7873-3031,7c8814ed-36d9-4129-9242-fcc3397214cd,2021-03-27T00:00:00Z,11,A30322D9-1816-460B-A341-846017F70143,Q89953896,8226c995-55b6-49f8-ad1d-f579d6f99638,2003-00-00T00:00:00Z,9,43c58c67-a721-4342-ad5e-33fd29c916b8,2016-12-31T00:00:00Z,11,d6c3fece1f693be3bdb947f230f19b9b231f46fa,https://orcid.org/0000-0002-7873-3031,85515bc5-119c-48e1-854e-68c765d846b1,2021-03-27T00:00:00Z,11
Q41044300,Leonard A. Harris,biochemist,1E3BE7DB-ED8D-4768-B637-D1A96DCD1E23,Q5,B71591DA-B971-47F5-B793-27098B0DCABE,Q6581097,1D416F58-96C5-4269-A669-CE297AFADA42,0000-0003-2112-6940,220cc132746fe9acd80a3cb4f6ae76cf4987b557,35b2bfa8-b83e-41cf-a14c-4a88c0431993,2021-03-27T00:00:00Z,11,ECED1037-A65B-4A7B-AE76-A834C9FDC4B7,Q29052,46f3c8d1-1f66-4d90-b5cc-7fcb8575a350,2014-00-00T00:00:00Z,9,32042d2a-7396-4343-94e8-c93ebe93712a,2020-00-00T00:00:00Z,9,2ac2bbe33f832e0315b6ed0678495cc194778f82,https://orcid.org/0000-0003-2112-6940,3ec188a5-14e4-4b62-acbc-cd4c65185679,2021-03-27T00:00:00Z,11,D7E8D2B7-6A58-4310-BE09-86936DD99781,Q89953896,7c513b54-a5d5-48cc-9c08-e2cc06f05df8,2014-00-00T00:00:00Z,9,398b6ee2-f888-4fa5-b325-78e49e2edb40,2020-00-00T00:00:00Z,9,2ac2bbe33f832e0315b6ed0678495cc194778f82,https://orcid.org/0000-0003-2112-6940,c5b8dcda-6539-4f4d-9dbe-b7678c9e00f4,2021-03-27T00:00:00Z,11
Q42319101,Srividya Bhaskara,biochemist,187370B6-0500-4B22-869B-97BBD3CEF956,Q5,CFB98F79-80A4-41E8-BF15-AA333B793D55,Q6581072,9F4B718D-A755-483C-A2F6-56BDC605DD6E,0000-0002-2182-9585,220cc132746fe9acd80a3cb4f6ae76cf4987b557,45974783-738e-452b-a610-521d642ffa90,2021-03-27T00:00:00Z,11,40ED7F46-03CE-4C8B-9837-A2BCFB007A23,Q7914455,f7489aba-9789-40a9-a431-25862532f920,2005-00-00T00:00:00Z,9,251cdb8f-3c2b-49f8-9baf-5186c2a757fe,2011-00-00T00:00:00Z,9,c151b09a3ce931a7c6e7a808e2c2a13463886d67,https://orcid.org/0000-0002-2182-9585,823ad83e-daa6-486c-bd50-4a090f2d284e,2021-03-27T00:00:00Z,11,516F35B4-8343-4746-8C4D-FD836D80BBFB,Q89953896,4d0b6cb1-e46f-4cb1-807c-7cc2cb54b4ce,2005-00-00T00:00:00Z,9,efb60ca3-f50f-4a53-9c44-542b22afe654,2011-00-00T00:00:00Z,9,c151b09a3ce931a7c6e7a808e2c2a13463886d67,https://orcid.org/0000-0002-2182-9585,bd878202-9454-4aa3-8cea-3fd416a62851,2021-03-27T00:00:00Z,11
Q42397402,Damjana Rozman,biochemist,5696B5D5-E44D-4538-A850-1517240DEE72,Q5,ED22311E-C948-49AE-AD5E-9B694CBCC4FC,Q6581072,30246F9A-F20F-44B0-8F07-55F785E780A1,0000-0002-6501-2163,220cc132746fe9acd80a3cb4f6ae76cf4987b557,ef250b46-7c1a-4e89-9a8d-303daed49346,2021-03-27T00:00:00Z,11,9304D8EE-1D4B-4F8E-8399-74F8A0958BC0,Q29052,7b129e04-b851-44f0-baf1-7cc2175d3dfe,1995-00-00T00:00:00Z,9,8355b00b-548b-4416-bb9c-7d5e1b436165,1997-00-00T00:00:00Z,9,b83e3661132840f18ef6e125b88cc25bc6099217,https://orcid.org/0000-0002-6501-2163,bf0c620b-d39d-4876-97bf-972b3305670d,2021-03-27T00:00:00Z,11,1E7992ED-7323-4ABA-9CCB-C160179A21E3,Q89953896,fda1214c-568c-4c88-97da-e21ab09368bd,1995-00-00T00:00:00Z,9,3e8db460-2593-458d-93f3-93c974290539,1997-00-00T00:00:00Z,9,b83e3661132840f18ef6e125b88cc25bc6099217,https://orcid.org/0000-0002-6501-2163,7dee9882-7021-455d-9663-73c2f9a0e038,2021-03-27T00:00:00Z,11
