qid,label_en,description_en,instance_of_uuid,instance_of,gender_uuid,gender,orcid_uuid,orcid,orcid_ref1_hash,orcid_ref1_retrieved_nodeId,orcid_ref1_retrieved_val,orcid_ref1_retrieved_prec,employer_uuid,employer,employer_start_time_nodeId,employer_start_time_val,employer_start_time_prec,employer_end_time_nodeId,employer_end_time_val,employer_end_time_prec,employer_ref1_hash,employer_ref1_referenceUrl,employer_ref1_retrieved_nodeId,employer_ref1_retrieved_val,employer_ref1_retrieved_prec,affiliation_uuid,affiliation,affiliation_start_time_nodeId,affiliation_start_time_val,affiliation_start_time_prec,affiliation_end_time_nodeId,affiliation_end_time_val,affiliation_end_time_prec,affiliation_ref1_hash,affiliation_ref1_referenceUrl,affiliation_ref1_retrieved_nodeId,affiliation_ref1_retrieved_val,affiliation_ref1_retrieved_prec,department
,Meredith Broadway,librarian,,Q5,,Q6581072,,0000-0003-2729-9279,,,2021-03-27,,,Q29052,,2017-10,,,,,,https://orcid.org/0000-0003-2729-9279,,2021-03-27,,,Q14710143,,2017-10,,,,,,https://orcid.org/0000-0003-2729-9279,,2021-03-27,,Owen Graduate School of Management
,Tracy Shields,librarian,,Q5,,,,0000-0001-5670-7388,,,2021-03-27,,,Q7914455,,2007-09,,,2014-05,,,https://orcid.org/0000-0001-5670-7388,,2021-03-27,,,Q16849893,,2007-09,,,2014-05,,,https://orcid.org/0000-0001-5670-7388,,2021-03-27,,Eskind Biomedical Library / Knowledge Management
,Celia Walker,librarian,,Q5,,Q6581072,,0000-0002-8894-4203,,,2021-03-27,,,Q29052,,,,,,,,https://orcid.org/0000-0002-8894-4203,,2021-03-27,,,Q16849893,,,,,,,,https://orcid.org/0000-0002-8894-4203,,2021-03-27,,Jean and Alexander Heard Library
,Lindsey Fox,GIS specialist,,Q5,,Q6581072,,0000-0002-2586-4740,,,2021-03-27,,,Q29052,,2013-09,,,,,,https://orcid.org/0000-0002-2586-4740,,2021-03-27,,,Q16849893,,2013-09,,,,,,https://orcid.org/0000-0002-2586-4740,,2021-03-27,,Library
,Carla Beals,librarian,,Q5,,Q6581072,,0000-0002-5096-7901,,,2021-03-27,,,Q29052,,2011-10,,,,,,https://orcid.org/0000-0002-5096-7901,,2021-03-27,,,Q16849893,,2011-10,,,,,,https://orcid.org/0000-0002-5096-7901,,2021-03-27,,Library
,Edward Warga,librarian,,Q5,,Q6581097,,0000-0003-2445-1511,,,2021-03-27,,,Q29052,,2013-08,,,2016-09,,,https://orcid.org/0000-0003-2445-1511,,2021-03-27,,,Q16849893,,2013-08,,,2016-09,,,https://orcid.org/0000-0003-2445-1511,,2021-03-27,,"Library, Scholarly Communications"
,Christy Smith,librarian,,Q5,,Q6581072,,0000-0003-1030-9514,,,2021-03-27,,,Q29052,,2017-09-18,,,2019-06-03,,,https://orcid.org/0000-0003-1030-9514,,2021-03-27,,,Q16849893,,2017-09-18,,,2019-06-03,,,https://orcid.org/0000-0003-1030-9514,,2021-03-27,,Massey Law Library
,Hendrik Edelman,librarian,,Q5,,Q6581097,,0000-0003-3794-4382,,,2021-03-27,,,Q29052,,1967,,,1969,,,https://orcid.org/0000-0003-3794-4382,,2021-03-27,,,Q16849893,,1967,,,1969,,,https://orcid.org/0000-0003-3794-4382,,2021-03-27,,University libraries
,Rachel Vacek,librarian,,Q5,,Q6581072,,0000-0003-2574-2230,,,2021-03-27,,,Q29052,,2004-07,,,2007-09,,,https://orcid.org/0000-0003-2574-2230,,2021-03-27,,,Q16849893,,2004-07,,,2007-09,,,https://orcid.org/0000-0003-2574-2230,,2021-03-27,,Walker Management Library
,Sara Sterkenburg,librarian,,Q5,,Q6581072,,0000-0003-4421-7335,,,2021-03-27,,,Q29052,,2013-08-02,,,,,,https://orcid.org/0000-0003-4421-7335,,2021-03-27,,,Q16849893,,2013-08-02,,,,,,https://orcid.org/0000-0003-4421-7335,,2021-03-27,,
