qid,label_en,description_en,instance_of_uuid,instance_of,gender_uuid,gender,orcid_uuid,orcid,orcid_ref1_hash,orcid_ref1_retrieved_nodeId,orcid_ref1_retrieved_val,orcid_ref1_retrieved_prec,employer_uuid,employer,employer_start_time_nodeId,employer_start_time_val,employer_start_time_prec,employer_end_time_nodeId,employer_end_time_val,employer_end_time_prec,employer_ref1_hash,employer_ref1_referenceUrl,employer_ref1_retrieved_nodeId,employer_ref1_retrieved_val,employer_ref1_retrieved_prec
Q100300828,William C. Binkley,American historian,00540db8-46ca-177f-0bdf-2b39aa35a4c7,Q5,442a23e6-4aaa-92ab-27b8-2a4461f951e4,Q6581097,,,,,,,1efa2fed-45da-5ca3-9aff-b5a8ad5c6972,Q29052,dbd0be1d7c1dc59596f8f5fa3fc01747,1930-01-01T00:00:00Z,9,986ecd7803f8bd906d8deabf3fc68bd8,1953-01-01T00:00:00Z,9,eb45baba528a09bfbcbc6fc05adca6f3d929672f,https://www.tshaonline.org/handbook/entries/binkley-william-campbell,8c43d4819b89cc34ed20a5c18dbf0c57,2020-10-12T00:00:00Z,11
Q100329025,John R. Bourne,John Ross; 1944-,9B5458F6-FBA2-49E6-AE49-587D00B93802,Q5,1eed4c79-c26e-4cd4-8580-c8b23b94c0fc,Q6581097,,,,,,,cc455c18-ee5e-495b-9087-f1e4470eab50,Q29052,,,,,,,568903046a888fe26374031b4617e1928b457eac,https://academictree.org/chemistry/peopleinfo.php?pid=193228,b2701292a42620d414877e1672330be3,2020-10-13T00:00:00Z,11
Q100406257,Mona Mashayekhi,researcher,BA0EA71A-900C-44EE-91B2-161A9E6210DE,Q5,,,A3EAA46E-43B9-4ACE-AB20-A53815504427,0000-0003-0331-2395,,,,,FAC4ED50-0E9B-43B8-B5FC-71E0966F9E30,Q7914455,2ee298ceca64ed604c9a6eea0049cedf,2020-07-01T00:00:00Z,11,,,,7424f83d124249693498555deb4205748951888f,https://pub.orcid.org/v3.0_rc1/0000-0003-0331-2395/employment/12767508,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
Q100415173,Juanita Prieto-Garcia,researcher,E1D7FEB6-704A-4845-BB8E-27D271E96AEA,Q5,,,7DA48833-362E-4786-8ED2-F1766EA940CA,0000-0002-9241-2293,,,,,EB7CEBDA-D486-4027-A79F-C23A06A6C984,Q7914455,ca6e1c455c7ffcb74c13f1f49d87391e,2016-08-20T00:00:00Z,11,,,,493f8798d68e4f451edcd030eaa8255e0192c012,https://pub.orcid.org/v3.0_rc1/0000-0002-9241-2293/employment/12592688,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
Q100455202,Dan Zhou,researcher ORCID 0000-0002-5313-8164,BE30804F-B85B-4ED3-ADB2-AD933E86F8D9,Q5,,,E946D634-311E-458B-AC2F-D272DC0E072A,0000-0002-5313-8164,,,,,39910239-5240-471D-AEC1-2130F68636D9,Q7914455,,,,,,,99a2acfb339f912959fecbdf79e797d55cf2969a,https://pub.orcid.org/v3.0_rc1/0000-0002-5313-8164/employment/11271817,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
Q100463385,Athena Lemon,researcher,49A48DCF-3F19-4822-8A15-0CF7E01A5C07,Q5,,,C11CFA29-AA6F-43E9-93CF-8C7E04ED0231,0000-0002-3300-9250,,,,,B3287192-F12C-4ECE-98E1-F687DF2B68E8,Q29052,8788646279d40cf316aca6015b6ad22f,2020-03-01T00:00:00Z,10,,,,764a5f3affe91e20aca428c864cef3fa7d920462,https://pub.orcid.org/v3.0_rc1/0000-0002-3300-9250/employment/12638945,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
Q100502411,Alicia M. Hymel,researcher,7921144F-CCDD-4DB6-89C6-AFD75FB7ADDD,Q5,,,DC474741-204B-4E08-BA2B-D8B6B33C4800,0000-0002-8012-4147,,,,,7BE4E42A-A203-476E-B0D7-E5D4AC8B1F7B,Q7914455,,,,,,,d4de0f4089673e03f9e730c530b00f6080305dc0,https://pub.orcid.org/v3.0_rc1/0000-0002-8012-4147/employment/8511496,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
Q100516834,Kelly A. Harper,researcher,1F28E0FD-9AF5-41C0-A587-798864B173BB,Q5,,,D827516D-8444-40F9-A0B4-DE100A211C70,0000-0003-4504-6232,,,,,133F4E34-011B-4CAA-BF73-B60209B20AAA,Q7914455,,,,,,,e588b8a76cc3bb6b5e002a42a64e7129198ec6b8,https://pub.orcid.org/v3.0_rc1/0000-0003-4504-6232/employment/10748591,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
Q100629608,Corey E. Hayford,researcher,AFC7847B-930F-4F79-BE61-BE55CA54BCED,Q5,,,67BCB1AB-6F4A-4ECF-A45F-B0E496E2E927,0000-0002-3006-4852,,,,,EDBFC620-57B5-4B98-919C-D4DB6AB334C3,Q29052,85ecb07bd892f76179229c3b76f1e92f,2015-08-15T00:00:00Z,11,,,,bd31dd6b45af8727c9414e176dd628120a9192a2,https://pub.orcid.org/v3.0_rc1/0000-0002-3006-4852/employment/2142768,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
Q100753097,Jason J. Hughes,researcher,84A97406-5074-48CB-B58A-B5CA2AF79B8D,Q5,,,C3D5FB3C-77B0-4E82-BB51-4F207ED6AC89,0000-0002-5590-5400,,,,,02C9F5A3-9453-475E-8BD7-3B81D57B4D7D,Q29052,511383f2d3ee42326ec1db0bee5a7579,2018-08-01T00:00:00Z,11,,,,d910b87f16664f051f6e97dea7d4df5f05447b47,https://pub.orcid.org/v3.0_rc1/0000-0002-5590-5400/employment/12471337,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
Q100939252,Nicole Jardine,psychologist,FC194DBA-90EA-42A5-90F3-535AD149AB6D,Q5,53268F1D-D4AD-431E-98BF-0250979B5E2C,Q6581072,E34F47C7-FDB9-42B0-B445-278ED2D2E593,0000-0001-5472-4029,220cc132746fe9acd80a3cb4f6ae76cf4987b557,2a68b3b6d92a22e996103537101c3b1b,2021-03-27T00:00:00Z,11,7268E546-8E6C-4EF0-8186-36299ED49408,Q29052,ce90feaacda74eb7f8326b25fb625c6d,2008-01-01T00:00:00Z,9,19fb1e607fb895edac44d92bd9141272,2011-01-01T00:00:00Z,9,83bb027bc7ba4d2c9a442e3b9bcd52de151c66cc,https://orcid.org/0000-0001-5472-4029,2a68b3b6d92a22e996103537101c3b1b,2021-03-27T00:00:00Z,11
Q101008714,Doug Morin,music educator and conductor,a2a50fa6-4dd9-b645-f9c6-ad4e9393ee3a,Q5,22d66e3b-41f5-e05d-fb57-53985313f36a,Q6581097,,,,,,,c9d431ad-45ac-d068-127f-e77570cf4552,Q29052,,,,,,,ee43ebb0a098fb0e93d1b9fd46ca0e6fe21852e0,https://www.dougmorin.us/,c483589e11a345c14148fab460ecd419,2020-10-30T00:00:00Z,11
Q101051354,Fong Cheng Pan,researcher,E879B4F0-756F-4DC2-A583-F66A50F26958,Q5,,,DD57ED7D-4AD8-4788-84F7-160B6A06097D,0000-0002-9393-6574,,,,,0BEB5EA8-A97B-4BCF-985B-3DB1991F9A0D,Q29052,a6f31f224d79529c75d6d53a082abc63,2007-01-12T00:00:00Z,11,b040a6efbbb51048c020703cda68b49b,2015-08-31T00:00:00Z,11,1523eddaea1159a5944a84f4ab44a6384b5a462a,https://pub.orcid.org/v3.0_rc1/0000-0002-9393-6574/employment/1875257,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
