qid,label_en,description_en,instance_of_uuid,instance_of,handle_uuid,handle,handle_ref1_hash,handle_ref1_retrieved_nodeId,handle_ref1_retrieved_val,handle_ref1_retrieved_prec,full_text_available_uuid,full_text_available,full_text_available_ref1_hash,full_text_available_ref1_retrieved_nodeId,full_text_available_ref1_retrieved_val,full_text_available_ref1_retrieved_prec,published_uuid,published_nodeId,published_val,published_prec,published_ref1_hash,published_ref1_referenceUrl,published_ref1_retrieved_nodeId,published_ref1_retrieved_val,published_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,language_uuid,language,language_ref1_hash,language_ref1_referenceUrl,language_ref1_retrieved_nodeId,language_ref1_retrieved_val,language_ref1_retrieved_prec,dissert_submit_to_uuid,dissert_submit_to,dissert_submit_to_ref1_hash,dissert_submit_to_ref1_referenceUrl,dissert_submit_to_ref1_retrieved_nodeId,dissert_submit_to_ref1_retrieved_val,dissert_submit_to_ref1_retrieved_prec
,Development of Decision Support Tools for Water Energy Food Infrastructure Management of Sri Lanka,doctoral thesis,,Q187685,,http://hdl.handle.net/1803/9845,,,2022-04-08,,,http://hdl.handle.net/1803/9845,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/9845,,2022-04-08,,,Development of Decision Support Tools for Water Energy Food Infrastructure Management of Sri Lanka,,http://hdl.handle.net/1803/9845,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/9845,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/9845,,2022-04-08,
,Mechanistic Hypothesis Exploration of Signaling Network Processes  via Bayesian Inference Methods,doctoral thesis,,Q187685,,http://hdl.handle.net/1803/9695||http://hdl.handle.net/1803/9790,,,2022-04-08,,,http://hdl.handle.net/1803/9695||http://hdl.handle.net/1803/9790,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/9695||http://hdl.handle.net/1803/9790,,2022-04-08,,,Mechanistic Hypothesis Exploration of Signaling Network Processes  via Bayesian Inference Methods,,http://hdl.handle.net/1803/9695||http://hdl.handle.net/1803/9790,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/9695||http://hdl.handle.net/1803/9790,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/9695||http://hdl.handle.net/1803/9790,,2022-04-08,
,Elucidating the Membrane Diffusion Dynamics of Muscarinic-1 Acetylcholine Receptors with Quantum Dots,master's thesis,,Q1907875,,http://hdl.handle.net/1803/9825,,,2022-04-08,,,http://hdl.handle.net/1803/9825,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/9825,,2022-04-08,,,Elucidating the Membrane Diffusion Dynamics of Muscarinic-1 Acetylcholine Receptors with Quantum Dots,,http://hdl.handle.net/1803/9825,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/9825,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/9825,,2022-04-08,
,Simulation of Optical Energy Deposition for Pulsed Laser-Induced Single Event Effects Testing in Microelectronic Devices,master's thesis,,Q1907875,,http://hdl.handle.net/1803/9826,,,2022-04-08,,,http://hdl.handle.net/1803/9826,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/9826,,2022-04-08,,,Simulation of Optical Energy Deposition for Pulsed Laser-Induced Single Event Effects Testing in Microelectronic Devices,,http://hdl.handle.net/1803/9826,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/9826,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/9826,,2022-04-08,
,Algorithms and Techniques for Automated Deployment and Efficient Management of Large-Scale Distributed Data Analytics Services,doctoral thesis,,Q187685,,https://ir.vanderbilt.edu/xmlui/handle/1803/9849,,,2022-04-08,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9849,,,2022-04-08,,,,2020,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9849,,2022-04-08,,,Algorithms and Techniques for Automated Deployment and Efficient Management of Large-Scale Distributed Data Analytics Services,,https://ir.vanderbilt.edu/xmlui/handle/1803/9849,,2022-04-08,,,Q1860,,https://ir.vanderbilt.edu/xmlui/handle/1803/9849,,2022-04-08,,,Q29052,,https://ir.vanderbilt.edu/xmlui/handle/1803/9849,,2022-04-08,
,Endocannabinoid Signaling Collapse Mediates Stress-Induced Amygdalo-Cortical Strengthening,doctoral thesis,,Q187685,,https://ir.vanderbilt.edu/xmlui/handle/1803/9850,,,2022-04-08,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9850,,,2022-04-08,,,,2020,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9850,,2022-04-08,,,Endocannabinoid Signaling Collapse Mediates Stress-Induced Amygdalo-Cortical Strengthening,,https://ir.vanderbilt.edu/xmlui/handle/1803/9850,,2022-04-08,,,Q1860,,https://ir.vanderbilt.edu/xmlui/handle/1803/9850,,2022-04-08,,,Q29052,,https://ir.vanderbilt.edu/xmlui/handle/1803/9850,,2022-04-08,
,Regulation of iron homeostasis by the sulfur assimilation pathway,doctoral thesis,,Q187685,,https://ir.vanderbilt.edu/xmlui/handle/1803/9851,,,2022-04-08,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9851,,,2022-04-08,,,,2020,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9851,,2022-04-08,,,Regulation of iron homeostasis by the sulfur assimilation pathway,,https://ir.vanderbilt.edu/xmlui/handle/1803/9851,,2022-04-08,,,Q1860,,https://ir.vanderbilt.edu/xmlui/handle/1803/9851,,2022-04-08,,,Q29052,,https://ir.vanderbilt.edu/xmlui/handle/1803/9851,,2022-04-08,
,Enhanced Charge Collection in Silicon Carbide Power MOSFETs Demonstarted by Pulsed-Laser Two-Photon Absroption SEE Experiments,master's thesis,,Q1907875,,https://ir.vanderbilt.edu/xmlui/handle/1803/9852,,,2022-04-08,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9852,,,2022-04-08,,,,2020,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9852,,2022-04-08,,,Enhanced Charge Collection in Silicon Carbide Power MOSFETs Demonstarted by Pulsed-Laser Two-Photon Absroption SEE Experiments,,https://ir.vanderbilt.edu/xmlui/handle/1803/9852,,2022-04-08,,,Q1860,,https://ir.vanderbilt.edu/xmlui/handle/1803/9852,,2022-04-08,,,Q29052,,https://ir.vanderbilt.edu/xmlui/handle/1803/9852,,2022-04-08,
,COMPUTATIONAL FLUID-STRUCTURE INTERACTION OF SOFT TISSUES USING AN IMMERSED-BOUNDARY METHOD,doctoral thesis,,Q187685,,https://ir.vanderbilt.edu/xmlui/handle/1803/9853,,,2022-04-08,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9853,,,2022-04-08,,,,2020,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9853,,2022-04-08,,,COMPUTATIONAL FLUID-STRUCTURE INTERACTION OF SOFT TISSUES USING AN IMMERSED-BOUNDARY METHOD,,https://ir.vanderbilt.edu/xmlui/handle/1803/9853,,2022-04-08,,,Q1860,,https://ir.vanderbilt.edu/xmlui/handle/1803/9853,,2022-04-08,,,Q29052,,https://ir.vanderbilt.edu/xmlui/handle/1803/9853,,2022-04-08,
,Control of Wnt Trans-Synaptic Signaling by Secreted Extracellular Regulators,doctoral thesis,,Q187685,,https://ir.vanderbilt.edu/xmlui/handle/1803/9854,,,2022-04-08,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9854,,,2022-04-08,,,,2020,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9854,,2022-04-08,,,Control of Wnt Trans-Synaptic Signaling by Secreted Extracellular Regulators,,https://ir.vanderbilt.edu/xmlui/handle/1803/9854,,2022-04-08,,,Q1860,,https://ir.vanderbilt.edu/xmlui/handle/1803/9854,,2022-04-08,,,Q29052,,https://ir.vanderbilt.edu/xmlui/handle/1803/9854,,2022-04-08,
,"Resource Management Algorithms for Edge-Based, Latency-Aware Data Distribution and Processing",doctoral thesis,,Q187685,,https://ir.vanderbilt.edu/xmlui/handle/1803/9855,,,2022-04-08,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9855,,,2022-04-08,,,,2020,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9855,,2022-04-08,,,"Resource Management Algorithms for Edge-Based, Latency-Aware Data Distribution and Processing",,https://ir.vanderbilt.edu/xmlui/handle/1803/9855,,2022-04-08,,,Q1860,,https://ir.vanderbilt.edu/xmlui/handle/1803/9855,,2022-04-08,,,Q29052,,https://ir.vanderbilt.edu/xmlui/handle/1803/9855,,2022-04-08,
,Data-driven Concrete Damage Diagnosis with Thermal Imaging and Vibration Testing,doctoral thesis,,Q187685,,https://ir.vanderbilt.edu/xmlui/handle/1803/9856,,,2022-04-08,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9856,,,2022-04-08,,,,2020,,,https://ir.vanderbilt.edu/xmlui/handle/1803/9856,,2022-04-08,,,Data-driven Concrete Damage Diagnosis with Thermal Imaging and Vibration Testing,,https://ir.vanderbilt.edu/xmlui/handle/1803/9856,,2022-04-08,,,Q1860,,https://ir.vanderbilt.edu/xmlui/handle/1803/9856,,2022-04-08,,,Q29052,,https://ir.vanderbilt.edu/xmlui/handle/1803/9856,,2022-04-08,
,“He Has A Name”: Sense-Making and the Use of Twitter to Disrupt the Dominant Narrative in the Wake of Michael Brown’s Death,master's thesis,,Q1907875,,http://hdl.handle.net/1803/9920,,,2022-04-08,,,http://hdl.handle.net/1803/9920,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/9920,,2022-04-08,,,“He Has A Name”: Sense-Making and the Use of Twitter to Disrupt the Dominant Narrative in the Wake of Michael Brown’s Death,,http://hdl.handle.net/1803/9920,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/9920,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/9920,,2022-04-08,
,Low-dimensional van der Waals Material Based Electronics and Optoelectronics,doctoral thesis,,Q187685,,http://hdl.handle.net/1803/16355,,,2022-04-08,,,http://hdl.handle.net/1803/16355,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/16355,,2022-04-08,,,Low-dimensional van der Waals Material Based Electronics and Optoelectronics,,http://hdl.handle.net/1803/16355,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/16355,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/16355,,2022-04-08,
,Single-Event-Latchup Models Based on Two-Photon-Absorption and Ion Irradiation,doctoral thesis,,Q187685,,http://hdl.handle.net/1803/16356,,,2022-04-08,,,http://hdl.handle.net/1803/16356,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/16356,,2022-04-08,,,Single-Event-Latchup Models Based on Two-Photon-Absorption and Ion Irradiation,,http://hdl.handle.net/1803/16356,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/16356,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/16356,,2022-04-08,
