value,label,count
P31,instance of,199
P1476,title,196
P921,main subject,192
P4101,dissertation submitted to,189
P50,author,186
P953,full work available at URL,183
P407,language of work or name,181
P577,publication date,179
P495,country of origin,176
P1071,location of creation,176
P361,part of,174
P571,inception,170
P1184,Handle ID,39
P2093,author name string,9
P1104,number of pages,5
P1292,DNB editions,5
P123,publisher,5
P291,place of publication,4
P179,part of the series,4
P356,DOI,3
P212,ISBN-13,3
P304,page(s),2
P2860,cites work,2
P512,academic degree,1
P629,edition or translation of,1
P957,ISBN-10,1
P973,described at URL,1
P1680,subtitle,1
P1889,different from,1
P2284,price,1
P2671,Google Knowledge Graph ID,1
P2969,Goodreads version/edition ID,1
P4536,EThOS thesis ID,1
P8359,Dewey Decimal Classification (works and editions),1
P243,OCLC control number,1
